Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Components	Taxonomic lineage	Genome assembly ID	Genome representation
UP000326062	Muntiacus reevesi (Reeves' muntjac) (Cervus reevesi)	9886	25423	C:88.5%[S:86.3%,D:2.1%],F:4.7%,M:6.8%,n:13335	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 6; Chromosome 5; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Cervidae, Muntiacinae, Muntiacus	GCA_008787405.2	full
UP000000539	Gallus gallus (Chicken)	9031	43712	C:98.3%[S:32.3%,D:65.9%],F:0.5%,M:1.2%,n:8338	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome 31; Chromosome 32; Chromosome 33; Chromosome 34; Chromosome 35; Chromosome 36; Chromosome 37; Chromosome 38; Chromosome 39; Chromosome W; Chromosome Z; Mitochondrion MT; Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae, Phasianinae, Gallus	GCA_016699485.1	full
UP000001073	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	40414	C:92.3%[S:57.2%,D:35.1%],F:2.2%,M:5.5%,n:13780	Unknown	Chromosome 1a; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7b; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22a; Chromosome 23; Chromosome 24; Chromosome 25; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hylobatidae, Nomascus	GCA_000146795.3	full
UP000001074	Myotis lucifugus (Little brown bat)	59463	20651	C:88.7%[S:83.5%,D:5.1%],F:2.8%,M:8.5%,n:12234	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Chiroptera, Yangochiroptera, Vespertilionidae, Myotis	GCA_000147115.1	full
UP000001519	Gorilla gorilla gorilla (Western lowland gorilla)	9595	44723	C:95.9%[S:54.2%,D:41.7%],F:1.3%,M:2.8%,n:13780	Unknown	Chromosome 1; Chromosome 2A; Chromosome 2B; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Gorilla, Gorilla gorilla	GCA_000151905.3	full
UP000001595	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	39476	C:97.4%[S:61.3%,D:36.2%],F:0.4%,M:2.2%,n:13780	Unknown	Chromosome 1; Chromosome 2A; Chromosome 2B; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Ponginae, Pongo	GCA_002880775.3	full
UP000001811	Oryctolagus cuniculus (Rabbit)	9986	41468	C:84.8%[S:45.3%,D:39.4%],F:2.3%,M:12.9%,n:13798	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome X; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Lagomorpha, Leporidae, Oryctolagus	GCA_000003625.1	full
UP000002277	Pan troglodytes (Chimpanzee)	9598	48769	C:97.8%[S:50.3%,D:47.6%],F:0.5%,M:1.7%,n:13780	Unknown	Chromosome 1; Chromosome 2A; Chromosome 2B; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome Y; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Pan	GCA_000001515.5	full
UP000002279	Ornithorhynchus anatinus (Duckbill platypus)	9258	32824	C:85.6%[S:50.3%,D:35.2%],F:2.6%,M:11.8%,n:9226	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 14; Chromosome 15; Chromosome 17; Chromosome 18; Chromosome 20; Chromosome X1; Chromosome X2; Chromosome X3; Chromosome X5; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Prototheria, Monotremata, Ornithorhynchidae, Ornithorhynchus	GCA_004115215.2	full
UP000005215	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	43179	25333	C:92.9%[S:69.9%,D:23.0%],F:1.8%,M:5.3%,n:13798	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Sciuromorpha, Sciuridae, Xerinae, Marmotini, Ictidomys	GCA_000236235.1	full
UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	19931	C:92.5%[S:89.5%,D:3.0%],F:1.8%,M:5.7%,n:13780	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Strepsirrhini, Lorisiformes, Galagidae, Otolemur	GCA_000181295.3	full
UP000005447	Cavia porcellus (Guinea pig)	10141	25048	C:92.6%[S:70.3%,D:22.3%],F:1.6%,M:5.8%,n:13798	Unknown	Unassembled WGS sequence; Mitochondrion	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Hystricomorpha, Caviidae, Cavia	GCA_000151735.1	full
UP000007267	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	13735	20509	C:91.2%[S:77.1%,D:14.1%],F:3.7%,M:5.2%,n:7480	Unknown	Mitochondrion; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Testudinata, Testudines, Cryptodira, Trionychia, Trionychidae, Pelodiscus	GCA_000230535.1	full
UP000007646	Loxodonta africana (African elephant)	9785	25615	C:91.5%[S:70.5%,D:21.0%],F:3.2%,M:5.3%,n:11366	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Afrotheria, Proboscidea, Elephantidae, Loxodonta	GCA_000001905.1	full
UP000007648	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	9305	36299	C:91.1%[S:47.3%,D:43.8%],F:1.6%,M:7.4%,n:9226	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Metatheria, Dasyuromorphia, Dasyuridae, Sarcophilus	GCA_902635505.1	full
UP000007754	Taeniopygia guttata (Zebra finch) (Poephila guttata)	59729	31341	C:95.0%[S:49.3%,D:45.7%],F:1.0%,M:4.0%,n:10844	Unknown	Chromosome 1; Chromosome 1A; Chromosome 1B; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 4A; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome LG2; Chromosome LG5; Chromosome LGE22; Chromosome Z; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Passeroidea, Estrildidae, Estrildinae, Taeniopygia	GCA_003957565.2	full
UP000008225	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	9483	48338	C:96.0%[S:46.5%,D:49.5%],F:0.4%,M:3.6%,n:13780	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome X; Chromosome Y; Unplaced; Mitochondrion	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Platyrrhini, Cebidae, Callitrichinae, Callithrix, Callithrix	GCA_011100555.1	full
UP000008227	Sus scrofa (Pig)	9823	46010	C:96.6%[S:47.9%,D:48.7%],F:0.9%,M:2.6%,n:13335	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome X; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome Y; Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Suina, Suidae, Sus	GCA_000003025.6	full
UP000008912	Ailuropoda melanoleuca (Giant panda)	9646	38536	C:95.0%[S:54.1%,D:41.0%],F:1.0%,M:4.0%,n:14502	Unknown	Unassembled WGS sequence; Mitochondrion	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Ursidae, Ailuropoda	GCA_002007445.2	full
UP000016665	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	59894	28852	C:92.7%[S:51.2%,D:41.4%],F:2.0%,M:5.3%,n:10844	Unknown	Chromosome 1; Chromosome 1A; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 4A; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome Z; Linkage group LG34; Linkage group LG35; Linkage group LGE22; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Muscicapidae, Ficedula	GCA_000247815.2	full
UP000028761	Papio anubis (Olive baboon)	9555	43406	C:94.9%[S:53.6%,D:41.3%],F:0.7%,M:4.4%,n:13780	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Mitochondrion; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae, Cercopithecinae, Papio	GCA_008728515.1	full
