contig	n_dark_candidate_ids	duplicated_BUSCO_unique_ids
utg14280	1	0
utg14287	6	0
utg1432	6	0
utg14366	2	0
utg144	11	0
utg14412	1	0
utg145	10	0
utg1450	1	0
utg1452	1	0
utg14533	6	0
utg1455	4	0
utg14556	1	0
utg1459	1	0
utg146	5	1
utg1463	1	1
utg1464	1	0
utg1465	9	0
utg1468	2	0
utg14683	2	0
utg14731	4	0
utg1475	1	1
utg14892	1	0
utg14902	2	0
utg14913	5	0
utg14923	4	0
utg1497	1	1
utg1498	4	0
utg150	7	1
utg15013	2	2
utg15014	2	0
utg15156	2	0
utg15164	3	2
utg1517	4	2
utg15197	2	0
utg152	8	2
utg15210	1	0
utg15226	2	0
utg15232	1	0
utg15244	1	1
utg1525	4	0
utg152524	1	0
utg15281	7	0
utg1530	2	2
utg1542	2	0
utg15427	2	0
utg15453	2	1
utg15522	1	0
utg1555	3	1
utg15552	1	0
utg15556	1	0
utg15578	2	0
utg15585	3	1
utg15629	3	0
utg1563	1	0
utg1565	4	3
utg15686	2	0
utg1569	3	0
utg157399	1	0
utg1575	3	1
utg1579	4	0
utg1581	1	1
utg15813	5	0
utg15832	1	0
utg15839	1	0
utg1588	1	1
utg1594	2	0
utg15941	1	0
utg1596	1	0
utg15960	3	0
utg159686	1	0
utg160	4	1
utg16027	1	0
utg16030	4	0
utg16036	5	0
utg1609	7	4
utg16091	2	0
utg16094	1	0
utg16180	2	0
utg162	6	0
utg16223	4	0
utg162231	1	0
utg1623	7	1
utg16283	2	2
utg163	17	0
utg16443	5	1
utg16444	5	0
utg1645	4	0
utg1648	6	1
utg16484	1	0
utg1654	1	0
utg1662	1	0
utg1663	10	3
utg166658	1	0
utg16690	1	0
utg167	6	0
utg1683	11	0
utg1684	3	0
utg1686	1	0
utg169038	2	0
utg1691	5	0
utg1694	11	0
utg1696	1	1
utg1698	1	1
utg1708	7	4
utg17102	3	0
utg17181	2	0
utg172	7	3
utg1721	2	1
utg17212	1	2
utg1724	1	2
utg17293	3	0
utg173190	3	0
utg1734	5	0
utg17372	1	0
utg1745	1	0
utg174599	1	0
utg1746	1	0
utg1748	3	0
utg17508	2	0
utg17511	1	1
utg1754	4	1
utg17555	1	0
utg17588	2	0
utg17602	2	0
utg17612	10	0
utg1765	8	1
utg17667	1	0
utg178	8	0
utg17809	1	0
utg1781	5	3
utg1786	2	1
utg1796	6	0
utg1799	5	0
utg17994	2	0
utg18	14	0
utg180	5	4
utg1800	3	0
utg18019	1	0
utg18028	5	0
utg18036	1	0
utg18063	1	0
utg181	3	1
utg18118	3	0
utg18125	5	1
utg1818	2	0
utg1819	4	2
utg18228	1	0
utg18233	1	0
utg1825	10	0
utg1828	4	0
utg18294	2	2
utg183	5	0
utg18409	2	0
utg1846	16	4
utg18506	5	0
utg18553	3	2
utg186	1	0
utg18622	1	0
utg18633	5	0
utg18650	3	0
utg1866	3	1
utg18686	4	0
utg18855	1	0
utg1890	4	0
utg18927	6	0
utg18932	4	0
utg1897	7	0
utg190	10	1
utg1900	5	1
utg19074	1	1
utg1910	12	3
utg1918	2	1
utg1919	12	2
utg192	17	0
utg1923	1	1
utg1925	6	0
utg1931	11	2
utg19356	1	0
utg1936	5	0
utg19396	1	1
utg194	3	1
utg19545	1	0
utg19590	3	0
utg19612	1	0
utg1962	4	0
utg19673	4	0
utg1972	2	4
utg1982	3	0
utg19866	3	1
utg1995	2	0
utg2007	5	2
utg20076	5	0
utg20090	2	0
utg2012	2	0
utg2013	3	0
utg2016	1	0
utg2017	3	3
utg2018	2	0
utg20197	3	0
utg2024	13	0
utg203	13	1
utg2045	2	0
utg20635	1	0
utg20678	4	0
utg20679	1	0
utg207	17	3
utg2070	2	0
utg2071	13	0
utg2073	11	0
utg20736	1	2
utg20788	2	0
utg20813	9	0
utg2083	7	1
utg209	6	0
utg209609	1	0
utg2097	4	0
utg2099	9	3
utg2100	7	2
utg2108	2	1
utg21085	1	0
utg2110	1	0
utg2115	2	0
utg21228	2	2
utg2123	5	1
utg2129	12	3
utg213	2	0
utg214	10	2
utg2155	3	0
utg2156	4	1
utg21580	1	0
utg2159	6	0
utg216	1	1
utg217	7	2
utg21766	1	2
utg2185	1	0
utg21873	2	0
utg219	9	4
utg2196	1	0
utg21977	3	0
utg21979	1	0
utg2200	8	1
utg2201	2	0
utg2205	6	1
utg221	7	0
utg2216	4	0
utg2246	8	0
utg225	21	1
utg2255	1	1
utg22559	1	0
utg22669	1	0
utg2269	13	0
utg22693	1	1
utg22722	1	0
utg22736	1	0
utg2274	1	0
utg2279	2	0
utg2291	7	0
utg2298	2	1
utg2299	3	0
utg2303	6	5
utg23030	1	0
utg23189	2	0
utg2323	1	0
utg2327	3	0
utg23296	1	0
utg2338	5	0
utg234	11	3
utg2343	5	0
utg2350	2	2
utg2353	3	1
utg2356	5	0
utg23582	1	0
utg236	5	1
utg2367	2	0
utg237	5	2
utg23708	3	0
utg2371	4	0
utg2379	5	0
utg23803	4	0
utg24075	2	0
utg2417	1	2
utg2426	2	0
utg2427	4	0
utg2428	2	2
utg243	15	1
utg2433	2	1
utg24438	3	0
utg245	13	0
utg24611	1	0
utg24645	1	0
utg24706	2	0
utg24783	1	0
utg2483	1	1
utg2487	9	0
utg24929	4	0
utg25070	1	0
utg25103	2	0
utg25155	1	0
utg2521	1	2
utg2526	5	0
utg25265	1	0
utg2529	6	0
utg25311	2	0
utg25321	5	0
utg25450	2	0
utg255	6	0
utg256	1	1
utg25769	2	0
utg2581	1	1
utg25826	1	0
utg2585	1	0
utg25859	1	0
utg25862	1	0
utg259	4	2
utg2599	4	0
utg2600	7	0
utg2601	6	0
utg2603	2	0
utg2606	3	0
utg26084	1	0
utg26120	2	0
utg2614	3	0
utg262	9	2
utg26219	3	0
utg26337	1	0
utg26474	1	0
utg26572	1	0
utg2661	1	0
utg2667	1	1
utg26697	2	0
utg2672	2	0
utg2674	4	1
utg268	7	0
utg2682	3	1
utg2690	2	0
utg2698	1	0
utg27	8	2
utg2704	4	0
utg2713	1	0
utg2716	2	0
utg27202	3	0
utg27299	1	0
utg27318	5	1
utg2733	5	0
utg27568	2	0
utg2757	7	3
utg276	8	2
utg27676	1	0
utg2779	4	0
utg279	6	0
utg2798	4	4
utg27988	1	0
utg280	5	4
utg2801	3	1
utg28015	2	0
utg28028	1	2
utg28077	4	0
utg2814	2	1
utg2817	1	0
utg2818	11	1
utg28209	6	0
utg2838	2	0
utg2849	2	0
utg2858	1	1
utg286	4	0
utg2869	1	0
utg28737	1	0
utg288	1	0
utg29	4	0
utg2901	7	0
utg2929	1	1
utg293	6	1
utg2932	6	0
utg29536	2	0
utg2967	9	2
utg2969	5	0
utg29733	4	0
utg298	19	2
utg2994	6	0
utg300	3	0
utg30049	2	0
utg301	11	1
utg3013	2	1
utg3019	15	2
utg302	3	3
utg3022	4	0
utg30399	2	0
utg3041	6	3
utg30470	2	0
utg30548	6	0
utg30575	2	0
utg307	2	1
utg309	3	0
utg3090	14	0
utg3092	1	3
utg3093	2	0
utg31	10	0
utg31256	1	1
utg31272	1	0
utg31304	2	0
utg31363	2	0
utg31428	2	0
utg31532	3	0
utg3155	5	0
utg3158	6	0
utg3159	2	0
utg3164	12	1
utg3169	1	0
utg3174	3	3
utg3178	2	0
utg31822	1	0
utg31945	6	0
utg3197	5	0
utg3199	12	0
utg320	7	2
utg3201	2	2
utg32055	1	0
utg3210	4	0
utg3211	3	0
utg3220	1	0
utg3222	3	0
utg32260	1	0
utg32320	2	0
utg3235	3	1
utg324	31	0
utg32484	1	0
utg3260	4	1
utg3284	7	0
utg32914	1	0
utg3292	6	0
utg3295	1	0
utg32989	1	0
utg33038	2	0
utg33128	3	0
utg332	3	0
utg33235	1	0
utg3329	4	0
utg33385	1	0
utg3339	3	0
utg334	14	1
utg33589	1	0
utg33682	2	0
utg33757	2	0
utg338	6	4
utg3380	3	4
utg33828	1	0
utg33938	3	0
utg34	2	1
utg3403	3	0
utg3409	2	0
utg34096	3	0
utg34135	2	0
utg343339	1	2
utg3436	2	0
utg344	8	1
utg3443	12	0
utg3447	2	0
utg34491	1	0
utg3452	1	2
utg34572	1	0
utg34597	1	0
utg3467	5	0
utg34691	5	0
utg347	2	0
utg3470	1	1
utg3474	6	0
utg348	4	0
utg3487	4	0
utg349	1	0
utg34917	1	0
utg3499	1	0
utg35	3	1
utg351	1	0
utg35117	1	0
utg3522	3	0
utg3536	2	0
utg3550	2	0
utg35510	1	0
utg3553	3	0
utg356	7	3
utg35893	1	0
utg359	4	0
utg35997	1	0
utg36040	1	0
utg3605	5	1
utg36089	1	0
utg3609	1	0
utg3622	4	0
utg363	1	0
utg364	2	1
utg3642	4	0
utg36508	2	0
utg3669	3	0
utg36717	1	0
utg3677	5	0
utg3678	1	0
utg3697	1	0
utg36986	1	0
utg370	8	2
utg372	8	1
utg375	2	0
utg3753	5	2
utg376	11	1
utg3761	3	0
utg377	1	0
utg378	6	2
utg3787	3	0
utg379	12	4
utg3797	1	1
utg3799	1	0
utg3800	1	0
utg3803	1	0
utg38078	2	0
utg381	5	0
utg38114	5	0
utg382	10	1
utg38230	1	0
utg3827	3	0
utg3834	3	1
utg3839	10	1
utg386	3	2
utg3870	4	0
utg3871	1	0
utg3872	6	1
utg3876	6	0
utg3878	4	2
utg388	4	0
utg3884	5	2
utg389	8	1
utg3891	3	2
utg38965	1	0
utg3899	2	0
utg3906	5	1
utg3913	5	1
utg395	10	0
utg39725	1	0
utg3980	2	2
utg3986	3	0
utg39996	1	0
utg4	9	3
utg401	9	2
utg402	3	2
utg40335	3	0
utg4046	3	0
utg4049	1	0
utg405	4	2
utg4054	2	0
utg4062	3	0
utg407	1	0
utg40724	1	0
utg4082	6	0
utg410	4	0
utg411	9	1
utg413	2	2
utg4130	4	0
utg41344	1	0
utg415	10	4
utg4155	6	2
utg4157	7	3
utg4163	2	0
utg417	4	0
utg4172	3	1
utg4177	4	3
utg418	7	3
utg4187	6	0
utg4194	19	1
utg420	14	0
utg4207	3	0
utg42119	3	0
utg4231	1	1
utg42547	2	0
utg4265	9	0
utg4271	12	0
utg4273	1	0
utg4290	1	0
utg42902	2	0
utg431	2	0
utg43115	3	0
utg4318	2	1
utg432	5	1
utg4321	2	0
utg4326	2	0
utg4328	4	0
utg4341	1	0
utg43451	3	0
utg435	12	3
utg4351	1	0
utg436	6	1
utg438	2	1
utg4383	3	0
utg439	3	0
utg4398	8	0
utg441	6	0
utg4428	14	0
utg44408	1	0
utg4451	3	0
utg4455	7	2
utg4464	1	1
utg4468	3	0
utg44757	1	0
utg4501	1	2
utg4502	2	0
utg45299	4	0
utg45405	2	0
utg45540	2	1
utg456	10	1
utg4567	4	0
utg4576	2	3
utg45865	1	0
utg4593	1	0
utg4604	2	0
utg4605	6	1
utg4607	1	0
utg4610	7	1
utg4613	11	0
utg4614	2	0
utg463	4	0
utg464	29	0
utg4652	6	0
utg4661	1	1
utg4665	4	1
utg467	1	2
utg469	2	0
utg4695	7	0
utg47	2	1
utg470	9	3
utg4709	2	0
utg4716	12	1
utg47361	1	0
utg4737	3	0
utg4739	5	0
utg477	1	1
utg479	20	3
utg4796	4	0
utg48	5	1
utg4805	2	0
utg483	8	0
utg48491	2	0
utg4856	2	2
utg4872	3	0
utg4879	10	0
utg48808	3	0
utg4886	3	1
utg4898	2	1
utg49	2	1
utg4901	1	0
utg49040	2	0
utg4907	2	2
utg4922	3	1
utg494	7	0
utg496	4	2
utg4972	4	3
utg4977	7	0
utg498	8	3
utg5	5	0
utg501	6	0
utg5033	6	1
utg505	9	1
utg5059	5	0
utg5066	2	0
utg5068	1	0
utg5073	2	0
utg5074	2	1
utg5087	1	1
utg512	8	4
utg5122	3	0
utg514	1	0
utg5157	2	0
utg5184	2	0
utg52	16	3
utg5217	4	0
utg522	4	0
utg52295	1	0
utg5246	3	0
utg5290	2	4
utg5294	7	0
utg530	2	0
utg53173	1	0
utg532	2	1
utg53212	1	0
utg535	7	2
utg536	10	0
utg5367	3	1
utg5370	3	0
utg5390	5	2
utg54	6	0
utg540	12	0
utg5414	10	0
utg542	23	0
utg5421	1	0
utg54229	1	0
utg544	2	1
utg5454	3	0
utg54553	2	1
utg5456	2	0
utg54636	1	0
utg549	1	0
utg55	19	6
utg5513	1	0
utg5557	1	0
utg55667	1	0
utg5578	3	0
utg55781	3	0
utg559	2	0
utg56	4	0
utg560	2	2
utg56260	2	0
utg564	4	1
utg5652	4	0
utg5662	6	0
utg567	4	0
utg5696	1	0
utg56960	2	0
utg57	1	0
utg5716	1	0
utg572	2	0
utg577	6	1
utg5774	1	0
utg579	6	0
utg580	11	1
utg5817	2	0
utg5854	3	0
utg5879	4	0
utg5885	6	2
utg589	9	0
utg590	1	1
utg59087	3	0
utg59213	1	0
utg594	7	2
utg5950	13	2
utg5960	3	0
utg59616	2	0
utg597	21	5
utg5975	2	0
utg5980	1	0
utg5985	1	0
utg599	4	2
utg59939	2	0
utg5996	2	0
utg600	3	1
utg60048	2	0
utg6035	4	2
utg60619	1	0
utg607	3	5
utg6070	5	0
utg6072	2	1
utg6078	6	0
utg6092	7	0
utg612	2	3
utg6123	3	0
utg61244	1	0
utg61418	4	0
utg6155	1	0
utg616	11	1
utg6161	6	0
utg6183	4	0
utg62	9	10
utg622	16	4
utg6220	1	1
utg625	16	1
utg6272	1	0
utg628	1	0
utg6293	9	1
utg62950	2	0
utg6334	2	1
utg637	4	1
utg6373	8	1
utg6379	3	1
utg6392	4	0
utg64	4	2
utg6401	11	0
utg6423	6	0
utg6430	1	0
utg6432	4	0
utg6446	1	0
utg6459	11	1
utg6477	1	1
utg648	8	0
utg6504	1	2
utg6534	2	0
utg6551	1	0
utg659	3	1
utg6610	2	0
utg666	2	2
utg6669	6	0
utg6677	1	0
utg67002	2	0
utg67486	1	0
utg67600	2	0
utg6781	3	0
utg6792	2	0
utg6806	7	0
utg6821	3	1
utg6829	1	0
utg6834	1	0
utg684	3	0
utg6843	6	1
utg6851	3	1
utg686	7	1
utg6875	3	0
utg6924	2	1
utg693	9	1
utg6938	3	0
utg6949	1	0
utg695	8	0
utg6958	1	2
utg6959	1	0
utg696	6	0
utg69632	1	0
utg6976	1	2
utg699	6	2
utg7	11	1
utg700	2	0
utg7008	4	1
utg7042	2	0
utg7048	2	2
utg7053	1	0
utg70613	3	0
utg7066	6	0
utg707	4	0
utg708	1	0
utg7083	1	0
utg709	1	0
utg7090	2	0
utg710	2	0
utg7127	4	0
utg714	1	0
utg7143	1	0
utg7145	9	2
utg7149	1	0
utg715	3	3
utg7168	3	0
utg7179	4	0
utg72	5	2
utg7217	3	1
utg7244	2	1
utg7264	2	0
utg7273	1	0
utg7286	8	0
utg7289	6	1
utg729	8	4
utg73	8	2
utg734	6	1
utg7343	1	0
utg735	12	0
utg736	9	2
utg738	7	0
utg7403	1	0
utg7412	7	1
utg74575	1	0
utg750	6	4
utg7522	4	1
utg7548	4	0
utg7549	3	0
utg7595	9	2
utg7596	3	0
utg761	3	2
utg7616	5	0
utg762	5	1
utg7652	3	0
utg7661	1	0
utg7680	5	0
utg77	24	4
utg7769	3	0
utg777	11	4
utg78	16	3
utg7821	2	1
utg7840	3	1
utg7847	1	0
utg785	4	1
utg7855	2	1
utg788	14	0
utg790	6	3
utg7909	2	1
utg791	7	1
utg7931	3	0
utg7950	4	0
utg797	7	0
utg7977	1	0
utg798	2	4
utg8	2	3
utg800	1	0
utg801	3	1
utg80148	1	0
utg804	1	0
utg8152	1	0
utg816	2	0
utg817	3	0
utg8181	4	0
utg82	11	0
utg820	4	0
utg8262	4	0
utg8316	1	0
utg8357	1	0
utg8380	1	1
utg844	3	0
utg84504	3	0
utg8494	10	1
utg8497	2	0
utg855	5	0
utg857	3	2
utg8578	1	0
utg858	5	1
utg86	8	2
utg8609	4	1
utg861	11	2
utg8615	2	0
utg8672	3	1
utg8674	2	0
utg868	4	3
utg8726	7	1
utg8768	2	0
utg8792	7	0
utg881	2	0
utg882	3	0
utg8820	2	1
utg8851	15	1
utg88612	1	0
utg888	8	0
utg8892	3	0
utg890	6	1
utg891	3	0
utg89561	1	0
utg896	3	2
utg902	2	0
utg9023	3	1
utg910	13	2
utg911	3	1
utg9110	3	2
utg912	2	1
utg9141	2	0
utg9150	1	1
utg9194	5	0
utg92	17	5
utg920	2	0
utg9202	2	0
utg924	8	3
utg9251	2	3
utg9284	3	0
utg9285	3	1
utg9313	8	3
utg935	3	0
utg936	7	0
utg9409	1	0
utg95	2	0
utg950	2	1
utg95251	1	0
utg9561	2	0
utg9602	7	0
utg9603	3	0
utg9623	5	0
utg9625	1	0
utg9668	2	0
utg967	5	0
utg975	9	0
utg9762	2	1
utg9769	8	1
utg978	4	0
utg983	4	1
utg9867	1	0
utg9875	4	0
utg989	3	3
utg9902	3	0
utg99249	1	0
utg993	7	0
