gene_id	excluded_mrna_id	excluded_protein_length	representative_mrna_id	representative_protein_length
evm.TU.utg10041.12	evm.utg10041.12	706	evm.utg10041.12.1.5c278e7c	950
evm.TU.utg1005.1	evm.utg1005.1.1.5c22e7ac	1040	evm.utg1005.1	1154
evm.TU.utg1005.1	evm.utg1005.1.1.5c22e7ac.1.5c278e80	792	evm.utg1005.1	1154
evm.TU.utg1005.1	evm.utg1005.1.1.5c22e7ac.2.5c278e81	741	evm.utg1005.1	1154
evm.TU.utg1005.10.9	evm.utg1005.10.9.1.5c278e81	276	evm.utg1005.10.9	276
evm.TU.utg1005.10.9	evm.utg1005.10.9.2.5c278e81	217	evm.utg1005.10.9	276
evm.TU.utg1005.12	evm.utg1005.12.1.5c22e7ac	171	evm.utg1005.12	171
evm.TU.utg1005.12	evm.utg1005.12.2.5c22e7ac	171	evm.utg1005.12	171
evm.TU.utg1005.32	evm.utg1005.32.1.5c22e7a7	1372	evm.utg1005.32	1498
evm.TU.utg1005.36	evm.utg1005.36.1.5c22e7ad	3453	evm.utg1005.36	3569
evm.TU.utg1005.38	evm.utg1005.38.1.5c22e7ae	146	evm.utg1005.38	198
evm.TU.utg1005.56	evm.utg1005.56.1.5c22e7a8	631	evm.utg1005.56	631
evm.TU.utg1005.56	evm.utg1005.56.2.5c22e7a8	601	evm.utg1005.56	631
evm.TU.utg1005.69	evm.utg1005.69	445	evm.utg1005.69.1.5c22e7ae	456
evm.TU.utg1005.70	evm.utg1005.70	324	evm.utg1005.70.1.5c22e7ae	331
evm.TU.utg1005.70	evm.utg1005.70.1.5c22e7ae.1.5c278e83	324	evm.utg1005.70.1.5c22e7ae	331
evm.TU.utg1005.70	evm.utg1005.70.2.5c22e7ae	324	evm.utg1005.70.1.5c22e7ae	331
evm.TU.utg1005.70	evm.utg1005.70.3.5c22e7af	269	evm.utg1005.70.1.5c22e7ae	331
evm.TU.utg1005.72	evm.utg1005.72.1.5c22e7af	422	evm.utg1005.72	482
evm.TU.utg1005.72	evm.utg1005.72.1.5c22e7af.1.5c278e83	328	evm.utg1005.72	482
evm.TU.utg1005.72	evm.utg1005.72.1.5c22e7af.2.5c278e83	310	evm.utg1005.72	482
evm.TU.utg1005.72	evm.utg1005.72.2.5c22e7b0	394	evm.utg1005.72	482
evm.TU.utg1005.79	evm.utg1005.79	3082	evm.utg1005.79.1.5c278e80	3514
evm.TU.utg1005.82	evm.utg1005.82.1.5c22e7ab	394	evm.utg1005.82	521
evm.TU.utg10077.1	evm.utg10077.1.1.5c22e7b0	1720	evm.utg10077.1	1726
evm.TU.utg10077.7	evm.utg10077.7.1.5c22e7b0	425	evm.utg10077.7	575
evm.TU.utg10077.8	evm.utg10077.8.1.5c22e7af	467	evm.utg10077.8	504
evm.TU.utg101.100	evm.utg101.100.1.5c22e7bc	345	evm.utg101.100	450
evm.TU.utg101.102	evm.utg101.102.1.5c22e7bc	427	evm.utg101.102	427
evm.TU.utg101.163	evm.utg101.163	316	evm.utg101.163.1.5c22e7bd	318
evm.TU.utg101.163	evm.utg101.163.2.5c22e7bd	316	evm.utg101.163.1.5c22e7bd	318
evm.TU.utg101.165	evm.utg101.165	1959	evm.utg101.165.1.5c22e7c9	2203
evm.TU.utg101.165	evm.utg101.165.1.5c22e7c9.1.5c278e8f	1665	evm.utg101.165.1.5c22e7c9	2203
evm.TU.utg101.165	evm.utg101.165.2.5c278e8f	1547	evm.utg101.165.1.5c22e7c9	2203
evm.TU.utg101.170	evm.utg101.170.1.5c22e7bd	557	evm.utg101.170	700
evm.TU.utg101.183	evm.utg101.183.1.5c22e7be	395	evm.utg101.183	442
evm.TU.utg101.183	evm.utg101.183.2.5c22e7be	318	evm.utg101.183	442
evm.TU.utg101.183	evm.utg101.183.2.5c22e7be.1.5c278e8b	305	evm.utg101.183	442
evm.TU.utg101.184	evm.utg101.184.1.5c22e7ca	370	evm.utg101.184	370
evm.TU.utg101.184	evm.utg101.184.2.5c22e7ca	370	evm.utg101.184	370
evm.TU.utg101.207	evm.utg101.207.1.5c22e7cc	2951	evm.utg101.207	3595
evm.TU.utg101.208	evm.utg101.208.1.5c22e7c0	405	evm.utg101.208	486
evm.TU.utg101.208	evm.utg101.208.2.5c22e7c0	412	evm.utg101.208	486
evm.TU.utg101.3.4	evm.utg101.3.4	567	evm.utg101.3.4.1.5c278e85	574
evm.TU.utg101.31	evm.utg101.31.1.5c22e7c2	372	evm.utg101.31	420
evm.TU.utg101.31	evm.utg101.31.2.5c22e7c2	360	evm.utg101.31	420
evm.TU.utg101.31	evm.utg101.31.3.5c22e7c2	367	evm.utg101.31	420
evm.TU.utg101.31	evm.utg101.31.4.5c22e7c2	355	evm.utg101.31	420
evm.TU.utg101.35	evm.utg101.35.1.5c22e7b5	226	evm.utg101.35	259
evm.TU.utg101.39	evm.utg101.39.1.5c22e7b5	608	evm.utg101.39	625
evm.TU.utg101.39	evm.utg101.39.2.5c22e7b5	571	evm.utg101.39	625
evm.TU.utg101.39	evm.utg101.39.3.5c22e7b6	557	evm.utg101.39	625
evm.TU.utg101.39	evm.utg101.39.4.5c22e7b6	488	evm.utg101.39	625
evm.TU.utg101.39	evm.utg101.39.5.5c22e7b6	450	evm.utg101.39	625
evm.TU.utg101.40	evm.utg101.40	736	evm.utg101.40.1.5c22e7c3	744
evm.TU.utg101.40	evm.utg101.40.2.5c22e7c3	716	evm.utg101.40.1.5c22e7c3	744
evm.TU.utg101.41	evm.utg101.41	340	evm.utg101.41.1.5c22e7c3	357
evm.TU.utg101.44	evm.utg101.44.1.5c22e7c4	162	evm.utg101.44	212
evm.TU.utg101.48	evm.utg101.48.1.5c22e7c5	294	evm.utg101.48	356
evm.TU.utg101.61	evm.utg101.61.1.5c22e7b7	573	evm.utg101.61	612
evm.TU.utg101.64	evm.utg101.64.1.5c22e7b7	345	evm.utg101.64	345
evm.TU.utg101.64	evm.utg101.64.2.5c22e7b8	287	evm.utg101.64	345
evm.TU.utg101.64	evm.utg101.64.3.5c22e7b8	327	evm.utg101.64	345
evm.TU.utg101.67	evm.utg101.67.1.5c22e7b8	343	evm.utg101.67	457
evm.TU.utg101.67	evm.utg101.67.1.5c22e7b8.1.5c278e87	268	evm.utg101.67	457
evm.TU.utg101.67	evm.utg101.67.1.5c22e7b8.2.5c278e87	258	evm.utg101.67	457
evm.TU.utg101.67	evm.utg101.67.2.5c22e7b8	399	evm.utg101.67	457
evm.TU.utg101.67	evm.utg101.67.3.5c22e7b9	346	evm.utg101.67	457
evm.TU.utg101.70	evm.utg101.70.1.5c22e7b9	323	evm.utg101.70	434
evm.TU.utg101.71	evm.utg101.71.1.5c22e7b9	402	evm.utg101.71	406
evm.TU.utg101.71	evm.utg101.71.2.5c22e7ba	318	evm.utg101.71	406
evm.TU.utg101.71	evm.utg101.71.3.5c22e7ba	312	evm.utg101.71	406
evm.TU.utg101.8	evm.utg101.8	241	evm.utg101.8.3.5c22e7b4	285
evm.TU.utg101.8	evm.utg101.8.1.5c22e7b4	188	evm.utg101.8.3.5c22e7b4	285
evm.TU.utg101.8	evm.utg101.8.2.5c22e7b4	188	evm.utg101.8.3.5c22e7b4	285
evm.TU.utg101.91	evm.utg101.91.1.5c22e7c7	350	evm.utg101.91	442
evm.TU.utg101.92	evm.utg101.92.1.5c22e7bc	176	evm.utg101.92	187
evm.TU.utg10156.33	evm.utg10156.33.1.5c22e7ca	137	evm.utg10156.33	137
evm.TU.utg1022.13	evm.utg1022.13.1.5c22e7d8	571	evm.utg1022.13	583
evm.TU.utg1022.22	evm.utg1022.22.1.5c22e7d2	885	evm.utg1022.22	1075
evm.TU.utg1022.22	evm.utg1022.22.2.5c22e7d2	885	evm.utg1022.22	1075
evm.TU.utg1022.35	evm.utg1022.35.1.5c278e97	696	evm.utg1022.35	776
evm.TU.utg1022.41	evm.utg1022.41.1.5c22e7d3	267	evm.utg1022.41	286
evm.TU.utg1022.61	evm.utg1022.61.1.5c22e7d4	642	evm.utg1022.61	822
evm.TU.utg1022.71	evm.utg1022.71	626	utg1022.equina_smart_1428023.mrna1	891
evm.TU.utg102448.6	evm.utg102448.6.1.5c22e7df	222	evm.utg102448.6	261
evm.TU.utg1031.15	evm.utg1031.15.1.5c22e7e5	1124	evm.utg1031.15	1163
evm.TU.utg1031.18	evm.utg1031.18.1.5c22e7e9	492	evm.utg1031.18	512
evm.TU.utg1031.29	evm.utg1031.29.1.5c22e7e9	200	evm.utg1031.29	202
evm.TU.utg1031.37	evm.utg1031.37.1.5c22e7ea	445	evm.utg1031.37	478
evm.TU.utg1031.39	evm.utg1031.39.1.5c22e7e6	463	evm.utg1031.39	471
evm.TU.utg1031.39	evm.utg1031.39.2.5c22e7e6	371	evm.utg1031.39	471
evm.TU.utg1031.39	evm.utg1031.39.3.5c22e7e6	346	evm.utg1031.39	471
evm.TU.utg1031.39	evm.utg1031.39.3.5c22e7e6.1.5c278ea0	264	evm.utg1031.39	471
evm.TU.utg1031.43	evm.utg1031.43.1.5c22e7e6	855	evm.utg1031.43	920
evm.TU.utg1031.43	evm.utg1031.43.1.5c22e7e6.1.5c278ea0	632	evm.utg1031.43	920
evm.TU.utg1031.43	evm.utg1031.43.2.5c22e7e6	733	evm.utg1031.43	920
evm.TU.utg1031.64	evm.utg1031.64.1.5c22e7ea	414	evm.utg1031.64	525
evm.TU.utg1031.7	evm.utg1031.7.1.5c22e7e9	438	evm.utg1031.7	557
evm.TU.utg1031.7	evm.utg1031.7.2.5c22e7e9	532	evm.utg1031.7	557
evm.TU.utg1031.70	evm.utg1031.70.1.5c22e7e7	376	evm.utg1031.70	376
evm.TU.utg1031.81	evm.utg1031.81.1.5c22e7e7	276	evm.utg1031.81	366
evm.TU.utg1031.82	evm.utg1031.82	218	evm.utg1031.82.1.5c22e7e8	220
evm.TU.utg1032.10	evm.utg1032.10.1.5c22e7f6	573	evm.utg1032.10	604
evm.TU.utg1032.10	evm.utg1032.10.2.5c22e7f6	603	evm.utg1032.10	604
evm.TU.utg1032.3	evm.utg1032.3.1.5c22e7f3	240	evm.utg1032.3	320
evm.TU.utg1032.3	evm.utg1032.3.1.5c22e7f3.1.5c278ea6	184	evm.utg1032.3	320
evm.TU.utg1032.33	evm.utg1032.33.1.5c22e7f5	822	evm.utg1032.33	822
evm.TU.utg1032.33	evm.utg1032.33.1.5c22e7f5.1.5c278ea7	635	evm.utg1032.33	822
evm.TU.utg1032.33	evm.utg1032.33.1.5c22e7f5.2.5c278ea7	676	evm.utg1032.33	822
evm.TU.utg1032.33	evm.utg1032.33.1.5c22e7f5.3.5c278ea7	822	evm.utg1032.33	822
evm.TU.utg1032.33	evm.utg1032.33.2.5c22e7f5	791	evm.utg1032.33	822
evm.TU.utg1032.34	evm.utg1032.34.1.5c22e7f7	928	evm.utg1032.34	985
evm.TU.utg1032.38	evm.utg1032.38.1.5c22e7f5	185	evm.utg1032.38	218
evm.TU.utg1032.41	evm.utg1032.41.1.5c22e7f8	511	evm.utg1032.41	651
evm.TU.utg1032.7	evm.utg1032.7.1.5c22e7f3	1106	evm.utg1032.7	1310
evm.TU.utg1032.8	evm.utg1032.8	124	evm.utg1032.8.1.5c22e7f4	127
evm.TU.utg1032.8	evm.utg1032.8.2.5c22e7f4	93	evm.utg1032.8.1.5c22e7f4	127
evm.TU.utg10321.10	evm.utg10321.10.1.5c22e7f0	778	evm.utg10321.10	867
evm.TU.utg10321.10	evm.utg10321.10.2.5c22e7f0	648	evm.utg10321.10	867
evm.TU.utg10321.14	evm.utg10321.14.1.5c22e7f0	1018	evm.utg10321.14	1437
evm.TU.utg10321.14	evm.utg10321.14.2.5c22e7f1	1019	evm.utg10321.14	1437
evm.TU.utg10321.14	evm.utg10321.14.3.5c22e7f1	1362	evm.utg10321.14	1437
evm.TU.utg10321.14	evm.utg10321.14.4.5c22e7f1	1084	evm.utg10321.14	1437
evm.TU.utg10321.18	evm.utg10321.18.1.5c22e7f7	638	evm.utg10321.18	640
evm.TU.utg10321.18	evm.utg10321.18.2.5c22e7f7	640	evm.utg10321.18	640
evm.TU.utg10321.19	evm.utg10321.19.1.5c22e7f1	704	evm.utg10321.19	913
evm.TU.utg10321.19	evm.utg10321.19.1.5c22e7f1.1.5c278ea6	798	evm.utg10321.19	913
evm.TU.utg10321.20	evm.utg10321.20.1.5c22e7f8	781	evm.utg10321.20	900
evm.TU.utg104.23	evm.utg104.23.1.5c22e800	775	evm.utg104.23	824
evm.TU.utg104.28	evm.utg104.28.1.5c22e800	396	evm.utg104.28	533
evm.TU.utg104.28	evm.utg104.28.2.5c22e801	480	evm.utg104.28	533
evm.TU.utg104.34	evm.utg104.34.1.5c22e80c	354	evm.utg104.34	471
evm.TU.utg104.39	evm.utg104.39.1.5c22e80c	831	evm.utg104.39	926
evm.TU.utg104.39	evm.utg104.39.2.5c22e80c	914	evm.utg104.39	926
evm.TU.utg104.39	evm.utg104.39.3.5c22e80c	832	evm.utg104.39	926
evm.TU.utg104.39	evm.utg104.39.4.5c22e80c	748	evm.utg104.39	926
evm.TU.utg104.42	evm.utg104.42.1.5c22e80d	79	evm.utg104.42	79
evm.TU.utg104.46	evm.utg104.46.1.5c22e80d	322	evm.utg104.46	396
evm.TU.utg104.51	evm.utg104.51	2587	evm.utg104.51.2.5c22e80e	2668
evm.TU.utg104.51	evm.utg104.51.1.5c22e80e	2659	evm.utg104.51.2.5c22e80e	2668
evm.TU.utg104.51	evm.utg104.51.3.5c22e80e	2668	evm.utg104.51.2.5c22e80e	2668
evm.TU.utg104.53	evm.utg104.53.1.5c22e80e	618	evm.utg104.53	653
evm.TU.utg104.55	evm.utg104.55	1497	evm.utg104.55.2.5c22e80f	1557
evm.TU.utg104.55	evm.utg104.55.1.5c22e80f	1250	evm.utg104.55.2.5c22e80f	1557
evm.TU.utg104.55	evm.utg104.55.3.5c22e80f	1557	evm.utg104.55.2.5c22e80f	1557
evm.TU.utg104.87	evm.utg104.87	540	evm.utg104.87.2.5c22e811	545
evm.TU.utg104.87	evm.utg104.87.1.5c22e811	473	evm.utg104.87.2.5c22e811	545
evm.TU.utg10463.1	evm.utg10463.1.1.5c278eae	446	evm.utg10463.1	594
evm.TU.utg10463.2	evm.utg10463.2.1.5c22e803	1112	evm.utg10463.2	1246
evm.TU.utg10463.2	evm.utg10463.2.2.5c22e804	1245	evm.utg10463.2	1246
evm.TU.utg10463.2	evm.utg10463.2.2.5c22e804.1.5c278eaf	934	evm.utg10463.2	1246
evm.TU.utg10463.2	evm.utg10463.2.2.5c22e804.2.5c278eaf	881	evm.utg10463.2	1246
evm.TU.utg10470.12	evm.utg10470.12.1.5c22e806	210	evm.utg10470.12	213
evm.TU.utg10470.25	evm.utg10470.25.1.5c22e807	467	evm.utg10470.25	514
evm.TU.utg10470.25	evm.utg10470.25.1.5c22e807.1.5c278eb0	340	evm.utg10470.25	514
evm.TU.utg10470.3	evm.utg10470.3.1.5c22e808	576	evm.utg10470.3	666
evm.TU.utg10470.32	evm.utg10470.32.1.5c22e807	205	evm.utg10470.32	224
evm.TU.utg10470.32	evm.utg10470.32.2.5c22e807	207	evm.utg10470.32	224
evm.TU.utg10470.4	evm.utg10470.4.1.5c22e806	388	evm.utg10470.4	413
evm.TU.utg10470.9	evm.utg10470.9.1.5c22e809	378	evm.utg10470.9	451
evm.TU.utg10470.9	evm.utg10470.9.1.5c22e809.1.5c278eb1	285	evm.utg10470.9	451
evm.TU.utg1049.10	evm.utg1049.10	460	evm.utg1049.10.1.5c278eb7	602
evm.TU.utg1049.10	evm.utg1049.10.2.5c278eb7	379	evm.utg1049.10.1.5c278eb7	602
evm.TU.utg1049.15	evm.utg1049.15.1.5c22e817	420	evm.utg1049.15	462
evm.TU.utg1049.20	evm.utg1049.20	718	evm.utg1049.20.1.5c22e818	797
evm.TU.utg1049.24	evm.utg1049.24	483	evm.utg1049.24.1.5c22e815	485
evm.TU.utg1049.24	evm.utg1049.24.2.5c22e815	481	evm.utg1049.24.1.5c22e815	485
evm.TU.utg1049.34	evm.utg1049.34	684	evm.utg1049.34.1.5c22e819.1.5c278eba	775
evm.TU.utg1049.34	evm.utg1049.34.1.5c22e819	704	evm.utg1049.34.1.5c22e819.1.5c278eba	775
evm.TU.utg1049.34	evm.utg1049.34.2.5c22e819	684	evm.utg1049.34.1.5c22e819.1.5c278eba	775
evm.TU.utg1049.46	evm.utg1049.46.1.5c22e816	1193	evm.utg1049.46	1211
evm.TU.utg1049.46	evm.utg1049.46.2.5c22e816	1210	evm.utg1049.46	1211
evm.TU.utg1051.103.104	evm.utg1051.103.104.1.5c278ec7	785	evm.utg1051.103.104	799
evm.TU.utg1051.11	evm.utg1051.11.1.5c22e830	228	evm.utg1051.11	283
evm.TU.utg1051.12	evm.utg1051.12.1.5c22e819	411	evm.utg1051.12	437
evm.TU.utg1051.14	evm.utg1051.14.1.5c22e827	308	evm.utg1051.14	359
evm.TU.utg1051.17	evm.utg1051.17.1.5c22e828	374	evm.utg1051.17	411
evm.TU.utg1051.17	evm.utg1051.17.2.5c22e828	336	evm.utg1051.17	411
evm.TU.utg1051.23	evm.utg1051.23.1.5c22e829	374	evm.utg1051.23	409
evm.TU.utg1051.23	evm.utg1051.23.2.5c22e829	350	evm.utg1051.23	409
evm.TU.utg1051.23	evm.utg1051.23.2.5c22e829.1.5c278ec4	259	evm.utg1051.23	409
evm.TU.utg1051.23	evm.utg1051.23.3.5c22e829	350	evm.utg1051.23	409
evm.TU.utg1051.26	evm.utg1051.26.1.5c22e82a	359	evm.utg1051.26	494
evm.TU.utg1051.39	evm.utg1051.39.1.5c22e82b	208	evm.utg1051.39	272
evm.TU.utg1051.39	evm.utg1051.39.2.5c22e82b	182	evm.utg1051.39	272
evm.TU.utg1051.48	evm.utg1051.48.1.5c22e82c	940	evm.utg1051.48	1116
evm.TU.utg1051.48	evm.utg1051.48.1.5c22e82c.1.5c278ec5	707	evm.utg1051.48	1116
evm.TU.utg1051.50	evm.utg1051.50.1.5c22e81a	280	evm.utg1051.50	339
evm.TU.utg1051.53	evm.utg1051.53.1.5c22e81a	844	evm.utg1051.53	888
evm.TU.utg1051.53	evm.utg1051.53.2.5c22e81b	744	evm.utg1051.53	888
evm.TU.utg1051.54	evm.utg1051.54.1.5c22e82c	319	evm.utg1051.54	350
evm.TU.utg1051.54	evm.utg1051.54.2.5c22e82d	263	evm.utg1051.54	350
evm.TU.utg1051.55	evm.utg1051.55.1.5c22e81b	542	evm.utg1051.55	629
evm.TU.utg1051.55	evm.utg1051.55.2.5c22e81b	491	evm.utg1051.55	629
evm.TU.utg1051.60.61	evm.utg1051.60.61.1.5c278ebc	399	evm.utg1051.60.61	399
evm.TU.utg1051.60.61	evm.utg1051.60.61.2.5c278ebc	399	evm.utg1051.60.61	399
evm.TU.utg1051.60.61	evm.utg1051.60.61.3.5c278ebc	399	evm.utg1051.60.61	399
evm.TU.utg1051.67	evm.utg1051.67.1.5c22e81b	245	evm.utg1051.67	255
evm.TU.utg1051.69	evm.utg1051.69.1.5c22e81c	745	evm.utg1051.69	811
evm.TU.utg1051.70	evm.utg1051.70.1.5c22e82d	335	evm.utg1051.70	340
evm.TU.utg1051.71	evm.utg1051.71.1.5c22e82e	321	evm.utg1051.71	451
evm.TU.utg1051.73	evm.utg1051.73.1.5c22e82e	99	evm.utg1051.73	114
evm.TU.utg1051.76	evm.utg1051.76.1.5c22e81c	148	evm.utg1051.76	210
evm.TU.utg1051.81	evm.utg1051.81.1.5c22e81d	118	evm.utg1051.81	167
evm.TU.utg1051.91	evm.utg1051.91.1.5c22e81d	520	evm.utg1051.91	552
evm.TU.utg1051.91	evm.utg1051.91.1.5c22e81d.1.5c278ebd	379	evm.utg1051.91	552
evm.TU.utg1051.91	evm.utg1051.91.2.5c22e81e	521	evm.utg1051.91	552
evm.TU.utg1051.99	evm.utg1051.99.1.5c22e82f	1057	evm.utg1051.99	1079
evm.TU.utg1051.99	evm.utg1051.99.2.5c22e82f	1058	evm.utg1051.99	1079
evm.TU.utg1052.1	evm.utg1052.1.1.5c278ec1	817	evm.utg1052.1	817
evm.TU.utg1052.13	evm.utg1052.13.1.5c22e825	1544	evm.utg1052.13	1609
evm.TU.utg1052.13	evm.utg1052.13.2.5c22e825	1461	evm.utg1052.13	1609
evm.TU.utg1052.25	evm.utg1052.25.1.5c22e826	710	evm.utg1052.25	749
evm.TU.utg1052.26	evm.utg1052.26.1.5c22e823	607	evm.utg1052.26	623
evm.TU.utg1052.26	evm.utg1052.26.1.5c22e823.1.5c278ec0	541	evm.utg1052.26	623
evm.TU.utg1052.31	evm.utg1052.31.1.5c22e823	638	evm.utg1052.31	685
evm.TU.utg1052.31	evm.utg1052.31.2.5c22e824	677	evm.utg1052.31	685
evm.TU.utg1052.41	evm.utg1052.41.1.5c22e826	1156	evm.utg1052.41	1264
evm.TU.utg1052.41	evm.utg1052.41.2.5c22e827	957	evm.utg1052.41	1264
evm.TU.utg1052.42	evm.utg1052.42.1.5c22e824	941	evm.utg1052.42	989
evm.TU.utg1052.42	evm.utg1052.42.2.5c22e824	711	evm.utg1052.42	989
evm.TU.utg10530.7	evm.utg10530.7.1.5c22e829	666	evm.utg10530.7	848
evm.TU.utg10530.7	evm.utg10530.7.2.5c22e829	626	evm.utg10530.7	848
evm.TU.utg10530.9	evm.utg10530.9.1.5c22e82a	186	evm.utg10530.9	255
evm.TU.utg10541.4	evm.utg10541.4	867	evm.utg10541.4.1.5c22e830	877
evm.TU.utg10541.4	evm.utg10541.4.2.5c22e831	863	evm.utg10541.4.1.5c22e830	877
evm.TU.utg10541.4	evm.utg10541.4.3.5c22e831	867	evm.utg10541.4.1.5c22e830	877
evm.TU.utg10541.4	evm.utg10541.4.4.5c22e831	724	evm.utg10541.4.1.5c22e830	877
evm.TU.utg1056.100	evm.utg1056.100.1.5c22e85a	594	evm.utg1056.100	621
evm.TU.utg1056.100	evm.utg1056.100.2.5c22e85a	532	evm.utg1056.100	621
evm.TU.utg1056.101	evm.utg1056.101.1.5c22e841	828	evm.utg1056.101	888
evm.TU.utg1056.106	evm.utg1056.106.1.5c22e841	350	evm.utg1056.106	350
evm.TU.utg1056.107	evm.utg1056.107	668	evm.utg1056.107.1.5c22e85b	723
evm.TU.utg1056.107	evm.utg1056.107.2.5c22e85b	537	evm.utg1056.107.1.5c22e85b	723
evm.TU.utg1056.107	evm.utg1056.107.3.5c22e85b	491	evm.utg1056.107.1.5c22e85b	723
evm.TU.utg1056.115	evm.utg1056.115.1.5c22e85c	809	evm.utg1056.115	914
evm.TU.utg1056.116	evm.utg1056.116.1.5c22e85e	5433	evm.utg1056.116	5561
evm.TU.utg1056.116	evm.utg1056.116.2.5c22e85e	4828	evm.utg1056.116	5561
evm.TU.utg1056.126	evm.utg1056.126.1.5c22e842	886	evm.utg1056.126	894
evm.TU.utg1056.127	evm.utg1056.127.1.5c22e842	403	evm.utg1056.127	506
evm.TU.utg1056.127	evm.utg1056.127.1.5c22e842.1.5c278ed0	328	evm.utg1056.127	506
evm.TU.utg1056.130	evm.utg1056.130.1.5c22e842	1165	evm.utg1056.130	1320
evm.TU.utg1056.134	evm.utg1056.134.1.5c22e843	811	evm.utg1056.134	1026
evm.TU.utg1056.135	evm.utg1056.135.1.5c22e85f	269	evm.utg1056.135	279
evm.TU.utg1056.137	evm.utg1056.137.1.5c22e860	436	evm.utg1056.137	611
evm.TU.utg1056.137	evm.utg1056.137.2.5c22e860	465	evm.utg1056.137	611
evm.TU.utg1056.139	evm.utg1056.139	1772	evm.utg1056.139.1.5c22e843	1788
evm.TU.utg1056.141	evm.utg1056.141.1.5c22e844	965	evm.utg1056.141	1353
evm.TU.utg1056.142	evm.utg1056.142.1.5c22e844	373	evm.utg1056.142	453
evm.TU.utg1056.143	evm.utg1056.143	614	evm.utg1056.143.2.5c22e861	626
evm.TU.utg1056.143	evm.utg1056.143.1.5c22e860	614	evm.utg1056.143.2.5c22e861	626
evm.TU.utg1056.143	evm.utg1056.143.3.5c22e861	488	evm.utg1056.143.2.5c22e861	626
evm.TU.utg1056.143	evm.utg1056.143.3.5c22e861.1.5c278ee0	488	evm.utg1056.143.2.5c22e861	626
evm.TU.utg1056.147	evm.utg1056.147.1.5c22e845	3771	evm.utg1056.147	4931
evm.TU.utg1056.147	evm.utg1056.147.2.5c22e845	3671	evm.utg1056.147	4931
evm.TU.utg1056.19	evm.utg1056.19	2212	evm.utg1056.19.1.5c22e837	2253
evm.TU.utg1056.22	evm.utg1056.22.1.5c22e837	291	evm.utg1056.22	381
evm.TU.utg1056.22	evm.utg1056.22.1.5c22e837.1.5c278ecb	244	evm.utg1056.22	381
evm.TU.utg1056.22	evm.utg1056.22.2.5c22e837	273	evm.utg1056.22	381
evm.TU.utg1056.26	evm.utg1056.26.1.5c22e857	561	evm.utg1056.26	561
evm.TU.utg1056.27	evm.utg1056.27.1.5c22e838	244	evm.utg1056.27	301
evm.TU.utg1056.27	evm.utg1056.27.1.5c22e838.1.5c278ecb	230	evm.utg1056.27	301
evm.TU.utg1056.28	evm.utg1056.28.1.5c22e857	214	evm.utg1056.28	305
evm.TU.utg1056.34	evm.utg1056.34.1.5c22e839	532	evm.utg1056.34	668
evm.TU.utg1056.35	evm.utg1056.35.1.5c22e857	251	evm.utg1056.35	296
evm.TU.utg1056.35	evm.utg1056.35.1.5c22e857.1.5c278edd	251	evm.utg1056.35	296
evm.TU.utg1056.36	evm.utg1056.36.1.5c22e83a	164	evm.utg1056.36	164
evm.TU.utg1056.4	evm.utg1056.4.1.5c22e835	2346	evm.utg1056.4	2436
evm.TU.utg1056.44	evm.utg1056.44.1.5c22e858	947	evm.utg1056.44	1121
