gene_id	isoform_count	mrna_ids
evm.TU.utg1009.17	1	evm.utg1009.17
evm.TU.utg1009.18	1	evm.utg1009.18
evm.TU.utg1009.19	1	evm.utg1009.19
evm.TU.utg1009.2	1	evm.utg1009.2
evm.TU.utg1009.20	1	evm.utg1009.20
evm.TU.utg1009.21	1	evm.utg1009.21
evm.TU.utg1009.22	1	evm.utg1009.22
evm.TU.utg1009.23	1	evm.utg1009.23
evm.TU.utg1009.24	1	evm.utg1009.24
evm.TU.utg1009.25	1	evm.utg1009.25
evm.TU.utg1009.26	1	evm.utg1009.26
evm.TU.utg1009.27	1	evm.utg1009.27
evm.TU.utg1009.28	1	evm.utg1009.28
evm.TU.utg1009.29	1	evm.utg1009.29
evm.TU.utg1009.3	1	evm.utg1009.3
evm.TU.utg1009.30	1	evm.utg1009.30
evm.TU.utg1009.4	1	evm.utg1009.4
evm.TU.utg1009.5	1	evm.utg1009.5
evm.TU.utg1009.6	1	evm.utg1009.6
evm.TU.utg1009.7	1	evm.utg1009.7
evm.TU.utg1009.8	1	evm.utg1009.8
evm.TU.utg1009.9	1	evm.utg1009.9
evm.TU.utg101.1	1	evm.utg101.1
evm.TU.utg101.10	1	evm.utg101.10
evm.TU.utg101.100	2	evm.utg101.100,evm.utg101.100.1.5c22e7bc
evm.TU.utg101.101	1	evm.utg101.101
evm.TU.utg101.102	2	evm.utg101.102,evm.utg101.102.1.5c22e7bc
evm.TU.utg101.103	1	evm.utg101.103
evm.TU.utg101.104	1	evm.utg101.104
evm.TU.utg101.105	1	evm.utg101.105
evm.TU.utg101.106	1	evm.utg101.106
evm.TU.utg101.107	1	evm.utg101.107
evm.TU.utg101.108	1	evm.utg101.108
evm.TU.utg101.109	1	evm.utg101.109
evm.TU.utg101.11	1	evm.utg101.11
evm.TU.utg101.110	1	evm.utg101.110
evm.TU.utg101.111	1	evm.utg101.111
evm.TU.utg101.112	1	evm.utg101.112
evm.TU.utg101.113	1	evm.utg101.113
evm.TU.utg101.114	1	evm.utg101.114
evm.TU.utg101.115	1	evm.utg101.115
evm.TU.utg101.116	1	evm.utg101.116
evm.TU.utg101.117	1	evm.utg101.117
evm.TU.utg101.118	1	evm.utg101.118
evm.TU.utg101.119	1	evm.utg101.119
evm.TU.utg101.12	1	evm.utg101.12
evm.TU.utg101.120	1	evm.utg101.120
evm.TU.utg101.121	1	evm.utg101.121
evm.TU.utg101.122	1	evm.utg101.122
evm.TU.utg101.123	1	evm.utg101.123
evm.TU.utg101.124	1	evm.utg101.124
evm.TU.utg101.125	1	evm.utg101.125
evm.TU.utg101.126	1	evm.utg101.126
evm.TU.utg101.127	1	evm.utg101.127
evm.TU.utg101.128	1	evm.utg101.128
evm.TU.utg101.129	1	evm.utg101.129
evm.TU.utg101.13	1	evm.utg101.13
evm.TU.utg101.130	1	evm.utg101.130
evm.TU.utg101.131	1	evm.utg101.131
evm.TU.utg101.132	1	evm.utg101.132
evm.TU.utg101.133	1	evm.utg101.133
evm.TU.utg101.134	1	evm.utg101.134
evm.TU.utg101.135	1	evm.utg101.135
evm.TU.utg101.136	1	evm.utg101.136
evm.TU.utg101.137	1	evm.utg101.137
evm.TU.utg101.138	1	evm.utg101.138
evm.TU.utg101.139	1	evm.utg101.139
evm.TU.utg101.14	1	evm.utg101.14
evm.TU.utg101.140	1	evm.utg101.140
evm.TU.utg101.141	1	evm.utg101.141
evm.TU.utg101.142	1	evm.utg101.142
evm.TU.utg101.145	1	evm.utg101.145
evm.TU.utg101.146	1	evm.utg101.146
evm.TU.utg101.147	1	evm.utg101.147
evm.TU.utg101.148	1	evm.utg101.148
evm.TU.utg101.149	1	evm.utg101.149
evm.TU.utg101.15	1	evm.utg101.15
evm.TU.utg101.150	1	evm.utg101.150
evm.TU.utg101.151	1	evm.utg101.151
evm.TU.utg101.152	1	evm.utg101.152
evm.TU.utg101.153	1	evm.utg101.153
evm.TU.utg101.154	1	evm.utg101.154
evm.TU.utg101.155	1	evm.utg101.155
evm.TU.utg101.156	1	evm.utg101.156
evm.TU.utg101.157	1	evm.utg101.157
evm.TU.utg101.158	1	evm.utg101.158
evm.TU.utg101.159	1	evm.utg101.159
evm.TU.utg101.16	1	evm.utg101.16
evm.TU.utg101.160	1	evm.utg101.160
evm.TU.utg101.161	1	evm.utg101.161
evm.TU.utg101.162	1	evm.utg101.162
evm.TU.utg101.163	3	evm.utg101.163.1.5c22e7bd,evm.utg101.163,evm.utg101.163.2.5c22e7bd
evm.TU.utg101.164	1	evm.utg101.164
evm.TU.utg101.165	4	evm.utg101.165,evm.utg101.165.1.5c22e7c9,evm.utg101.165.1.5c22e7c9.1.5c278e8f,evm.utg101.165.2.5c278e8f
evm.TU.utg101.166	1	evm.utg101.166
evm.TU.utg101.167	1	evm.utg101.167
evm.TU.utg101.168	1	evm.utg101.168
evm.TU.utg101.169	1	evm.utg101.169
evm.TU.utg101.17	1	evm.utg101.17
evm.TU.utg101.170	2	evm.utg101.170,evm.utg101.170.1.5c22e7bd
evm.TU.utg101.171	1	evm.utg101.171
evm.TU.utg101.172	1	evm.utg101.172
evm.TU.utg101.173	1	evm.utg101.173
evm.TU.utg101.174	1	evm.utg101.174
evm.TU.utg101.175	1	evm.utg101.175
evm.TU.utg101.176	1	evm.utg101.176
evm.TU.utg101.177	1	evm.utg101.177
evm.TU.utg101.178	1	evm.utg101.178
evm.TU.utg101.179	1	evm.utg101.179
evm.TU.utg101.18	1	evm.utg101.18
evm.TU.utg101.180	1	evm.utg101.180
evm.TU.utg101.181	1	evm.utg101.181
evm.TU.utg101.182	1	evm.utg101.182
evm.TU.utg101.183	4	evm.utg101.183,evm.utg101.183.1.5c22e7be,evm.utg101.183.2.5c22e7be,evm.utg101.183.2.5c22e7be.1.5c278e8b
evm.TU.utg101.184	3	evm.utg101.184.1.5c22e7ca,evm.utg101.184.2.5c22e7ca,evm.utg101.184
evm.TU.utg101.185	1	evm.utg101.185
evm.TU.utg101.186	1	evm.utg101.186
evm.TU.utg101.187	1	evm.utg101.187
evm.TU.utg101.188	1	evm.utg101.188
evm.TU.utg101.189	1	evm.utg101.189
evm.TU.utg101.19	1	evm.utg101.19
evm.TU.utg101.190	1	evm.utg101.190
evm.TU.utg101.193	1	evm.utg101.193
evm.TU.utg101.194	1	evm.utg101.194
evm.TU.utg101.195	1	evm.utg101.195
evm.TU.utg101.196	1	evm.utg101.196
evm.TU.utg101.197	1	evm.utg101.197
evm.TU.utg101.198	1	evm.utg101.198
evm.TU.utg101.199	1	evm.utg101.199
evm.TU.utg101.2	1	evm.utg101.2
evm.TU.utg101.20	1	evm.utg101.20
evm.TU.utg101.200	1	evm.utg101.200
evm.TU.utg101.201	1	evm.utg101.201
evm.TU.utg101.202	1	evm.utg101.202
evm.TU.utg101.203	1	evm.utg101.203
evm.TU.utg101.204	1	evm.utg101.204
evm.TU.utg101.205	1	evm.utg101.205
evm.TU.utg101.206	1	evm.utg101.206
evm.TU.utg101.207	2	evm.utg101.207,evm.utg101.207.1.5c22e7cc
evm.TU.utg101.208	3	evm.utg101.208,evm.utg101.208.1.5c22e7c0,evm.utg101.208.2.5c22e7c0
evm.TU.utg101.209	1	evm.utg101.209
evm.TU.utg101.21	1	evm.utg101.21
evm.TU.utg101.22	1	evm.utg101.22
evm.TU.utg101.23	1	evm.utg101.23
evm.TU.utg101.24	1	evm.utg101.24
evm.TU.utg101.25	1	evm.utg101.25
evm.TU.utg101.26	1	evm.utg101.26
evm.TU.utg101.27	1	evm.utg101.27
evm.TU.utg101.28	1	evm.utg101.28
evm.TU.utg101.29	1	evm.utg101.29
evm.TU.utg101.3.4	2	evm.utg101.3.4,evm.utg101.3.4.1.5c278e85
evm.TU.utg101.30	1	evm.utg101.30
evm.TU.utg101.31	5	evm.utg101.31,evm.utg101.31.1.5c22e7c2,evm.utg101.31.2.5c22e7c2,evm.utg101.31.3.5c22e7c2,evm.utg101.31.4.5c22e7c2
evm.TU.utg101.32	1	evm.utg101.32
evm.TU.utg101.33	1	evm.utg101.33
evm.TU.utg101.34	1	evm.utg101.34
evm.TU.utg101.35	2	evm.utg101.35,evm.utg101.35.1.5c22e7b5
evm.TU.utg101.36	1	evm.utg101.36
evm.TU.utg101.37	1	evm.utg101.37
evm.TU.utg101.38	1	evm.utg101.38
evm.TU.utg101.39	6	evm.utg101.39,evm.utg101.39.1.5c22e7b5,evm.utg101.39.2.5c22e7b5,evm.utg101.39.3.5c22e7b6,evm.utg101.39.4.5c22e7b6,evm.utg101.39.5.5c22e7b6
evm.TU.utg101.40	3	evm.utg101.40,evm.utg101.40.1.5c22e7c3,evm.utg101.40.2.5c22e7c3
evm.TU.utg101.41	2	evm.utg101.41,evm.utg101.41.1.5c22e7c3
evm.TU.utg101.42	1	evm.utg101.42
evm.TU.utg101.43	1	evm.utg101.43
evm.TU.utg101.44	2	evm.utg101.44,evm.utg101.44.1.5c22e7c4
evm.TU.utg101.45	1	evm.utg101.45
evm.TU.utg101.46	1	evm.utg101.46
evm.TU.utg101.47	1	evm.utg101.47
evm.TU.utg101.48	2	evm.utg101.48,evm.utg101.48.1.5c22e7c5
evm.TU.utg101.49	1	evm.utg101.49
evm.TU.utg101.5	1	evm.utg101.5
evm.TU.utg101.50	1	evm.utg101.50
evm.TU.utg101.51	1	evm.utg101.51
evm.TU.utg101.52	1	evm.utg101.52
evm.TU.utg101.53	1	evm.utg101.53
evm.TU.utg101.54	1	evm.utg101.54
evm.TU.utg101.55	1	evm.utg101.55
evm.TU.utg101.56	1	evm.utg101.56
evm.TU.utg101.57	1	evm.utg101.57
evm.TU.utg101.58	1	evm.utg101.58
evm.TU.utg101.59	1	evm.utg101.59
evm.TU.utg101.6	1	evm.utg101.6
evm.TU.utg101.60	1	evm.utg101.60
evm.TU.utg101.61	2	evm.utg101.61,evm.utg101.61.1.5c22e7b7
evm.TU.utg101.62	1	evm.utg101.62
evm.TU.utg101.63	1	evm.utg101.63
evm.TU.utg101.64	4	evm.utg101.64,evm.utg101.64.1.5c22e7b7,evm.utg101.64.2.5c22e7b8,evm.utg101.64.3.5c22e7b8
evm.TU.utg101.65	1	evm.utg101.65
evm.TU.utg101.66	1	evm.utg101.66
evm.TU.utg101.67	6	evm.utg101.67,evm.utg101.67.1.5c22e7b8.1.5c278e87,evm.utg101.67.1.5c22e7b8,evm.utg101.67.2.5c22e7b8,evm.utg101.67.1.5c22e7b8.2.5c278e87,evm.utg101.67.3.5c22e7b9
evm.TU.utg101.68	1	evm.utg101.68
evm.TU.utg101.69	1	evm.utg101.69
evm.TU.utg101.7	1	evm.utg101.7
evm.TU.utg101.70	2	evm.utg101.70,evm.utg101.70.1.5c22e7b9
evm.TU.utg101.71	4	evm.utg101.71,evm.utg101.71.1.5c22e7b9,evm.utg101.71.2.5c22e7ba,evm.utg101.71.3.5c22e7ba
evm.TU.utg101.72	1	evm.utg101.72
evm.TU.utg101.73	1	evm.utg101.73
evm.TU.utg101.74	1	evm.utg101.74
evm.TU.utg101.75	1	evm.utg101.75
evm.TU.utg101.76	1	evm.utg101.76
evm.TU.utg101.77	1	evm.utg101.77
evm.TU.utg101.78	1	evm.utg101.78
evm.TU.utg101.79	1	evm.utg101.79
evm.TU.utg101.8	4	evm.utg101.8,evm.utg101.8.1.5c22e7b4,evm.utg101.8.2.5c22e7b4,evm.utg101.8.3.5c22e7b4
evm.TU.utg101.80	1	evm.utg101.80
evm.TU.utg101.81	1	evm.utg101.81
evm.TU.utg101.82	1	evm.utg101.82
evm.TU.utg101.83	1	evm.utg101.83
evm.TU.utg101.84	1	evm.utg101.84
evm.TU.utg101.86	1	evm.utg101.86
evm.TU.utg101.87	1	evm.utg101.87
evm.TU.utg101.88	1	evm.utg101.88
evm.TU.utg101.89	1	evm.utg101.89
evm.TU.utg101.9	1	evm.utg101.9
evm.TU.utg101.90	1	evm.utg101.90
evm.TU.utg101.91	2	evm.utg101.91,evm.utg101.91.1.5c22e7c7
evm.TU.utg101.92	2	evm.utg101.92,evm.utg101.92.1.5c22e7bc
evm.TU.utg101.93	1	evm.utg101.93
evm.TU.utg101.94	1	evm.utg101.94
evm.TU.utg101.95	1	evm.utg101.95
evm.TU.utg101.96	1	evm.utg101.96
evm.TU.utg101.97	1	evm.utg101.97
evm.TU.utg101.98	1	evm.utg101.98
evm.TU.utg101.99	1	evm.utg101.99
evm.TU.utg10114.1	1	evm.utg10114.1
evm.TU.utg10114.10	1	evm.utg10114.10
evm.TU.utg10114.11	1	evm.utg10114.11
evm.TU.utg10114.12	1	evm.utg10114.12
evm.TU.utg10114.13	1	evm.utg10114.13
evm.TU.utg10114.14	1	evm.utg10114.14
evm.TU.utg10114.15	1	evm.utg10114.15
evm.TU.utg10114.16	1	evm.utg10114.16
evm.TU.utg10114.17	1	evm.utg10114.17
evm.TU.utg10114.18	1	evm.utg10114.18
evm.TU.utg10114.19	1	evm.utg10114.19
evm.TU.utg10114.2	1	evm.utg10114.2
evm.TU.utg10114.20	1	evm.utg10114.20
evm.TU.utg10114.21	1	evm.utg10114.21
evm.TU.utg10114.22	1	evm.utg10114.22
evm.TU.utg10114.23	1	evm.utg10114.23
evm.TU.utg10114.24	1	evm.utg10114.24
evm.TU.utg10114.3	1	evm.utg10114.3
evm.TU.utg10114.4	1	evm.utg10114.4
evm.TU.utg10114.5	1	evm.utg10114.5
evm.TU.utg10114.6	1	evm.utg10114.6
evm.TU.utg10114.7	1	evm.utg10114.7
evm.TU.utg10114.8	1	evm.utg10114.8
evm.TU.utg10114.9	1	evm.utg10114.9
evm.TU.utg10119.1	1	evm.utg10119.1
