mrna_id	protein_length
evm.utg5.67	451
evm.utg5.68	292
evm.utg5.69	562
evm.utg5.70	90
evm.utg5.71	219
evm.utg5.72	111
evm.utg5.73	77
evm.utg7.1	137
evm.utg7.2	317
evm.utg7.3	1555
evm.utg7.4	204
evm.utg7.4.1.5c22f361	179
evm.utg7.4.2.5c22f361	204
evm.utg7.5	945
evm.utg7.6	264
evm.utg7.6.1.5c22f35c	255
evm.utg7.6.2.5c22f35c	213
evm.utg7.6.2.5c22f35c.1.5c279723	161
evm.utg7.7	414
evm.utg7.8	215
evm.utg7.8.1.5c22f361	155
evm.utg7.9	92
evm.utg7.10	259
evm.utg7.11	286
evm.utg7.12.1.5c22f35c	898
evm.utg7.12	878
evm.utg7.12.2.5c22f35d	818
evm.utg7.13	868
evm.utg7.13.1.5c22f362	864
evm.utg7.14	214
evm.utg7.15	1243
evm.utg7.16	466
utg7.equina_smart_1815377.mrna1	687
evm.utg7.17	512
evm.utg7.18	512
evm.utg7.19	440
evm.utg7.20	235
evm.utg7.21	282
evm.utg7.22	665
evm.utg7.22.1.5c22f35d	484
evm.utg7.23	138
utg7.equina_smart_1617407.mrna6	38
utg7.equina_smart_1391965.mrna1	59
evm.utg7.24	94
utg7.equina_smart_496225.mrna2	51
utg7.equina_smart_1617407.mrna5	38
evm.utg7.25	1274
evm.utg7.26	98
evm.utg7.27	192
evm.utg7.28	2136
evm.utg7.28.1.5c22f35d	2020
evm.utg7.28.1.5c279723	2136
evm.utg7.29	1239
evm.utg7.30	323
evm.utg7.34	888
evm.utg7.34.1.5c22f35d	886
evm.utg7.31	84
evm.utg7.32	335
evm.utg7.33	103
evm.utg7.35	494
evm.utg7.36	232
evm.utg7.36.1.5c22f35e	175
evm.utg7.37	185
evm.utg7.38	615
evm.utg7.38.1.5c22f35e	575
evm.utg7.39	562
evm.utg7.40	803
evm.utg7.40.1.5c22f35e	821
evm.utg7.41	252
evm.utg7.42	451
evm.utg7.43	357
evm.utg7.44	1268
evm.utg7.45	223
evm.utg7.46	414
evm.utg7.46.1.5c22f35f	410
evm.utg7.46.2.5c22f35f	414
evm.utg7.46.3.5c22f35f	423
evm.utg7.46.4.5c22f35f	419
evm.utg7.47	474
evm.utg7.47.1.5c22f35f	415
evm.utg7.48	530
evm.utg7.49	421
evm.utg7.50	1016
evm.utg7.51	146
evm.utg7.52	495
evm.utg7.53	359
evm.utg7.54	755
evm.utg7.54.1.5c22f363	727
evm.utg7.54.2.5c22f363	769
evm.utg7.54.3.5c22f363	648
evm.utg7.54.3.5c22f363.1.5c279728	515
evm.utg7.55	1654
evm.utg7.55.1.5c22f360	1552
evm.utg7.55.2.5c22f360	1654
utg7.equina_smart_261687.mrna1	527
evm.utg7.56	76
evm.utg7.57	991
evm.utg7.58	246
evm.utg7.59	206
evm.utg7.59.1.5c22f360	206
evm.utg7.60	583
evm.utg7.61	752
evm.utg7.62	632
evm.utg7.63	497
evm.utg7.64	684
evm.utg7.64.1.5c22f360	596
evm.utg7.65	83
evm.utg7.66	240
evm.utg7.67	2286
evm.utg7.67.1.5c22f363	1784
evm.utg7.68	316
evm.utg7.69	594
evm.utg7.70	98
evm.utg7.71	113
evm.utg7.72	954
evm.utg7.73	195
evm.utg7.74	232
evm.utg7.75	203
evm.utg7.76	287
evm.utg7.77	138
evm.utg7.78	395
evm.utg7.79	506
evm.utg7.80	671
evm.utg7.81	189
utg7.equina_smart_836454.mrna2	62
evm.utg7.82	305
evm.utg7.83	92
utg7.equina_smart_1359323.mrna9	38
utg7.equina_smart_1411062.mrna3	51
utg7.equina_smart_1391965.mrna7	59
evm.utg7.84	84
utg7.equina_smart_1634317.mrna1	38
evm.utg7.85	249
evm.utg7.86	336
utg7.equina_smart_1666003.mrna1	48
evm.utg7.87	87
evm.utg8.1	613
evm.utg8.2	291
evm.utg8.3	862
evm.utg8.4.1.5c22f453	1221
evm.utg8.4.2.5c22f453	1235
evm.utg8.4	1301
evm.utg8.5	718
evm.utg8.6	160
evm.utg8.7	634
evm.utg8.8	578
evm.utg8.8.1.5c22f451	374
evm.utg8.9	556
evm.utg8.10	3579
evm.utg8.11	829
evm.utg8.12	597
evm.utg8.13	288
evm.utg8.14	243
evm.utg8.15	536
evm.utg8.16	169
evm.utg8.17	182
evm.utg8.18	257
evm.utg8.19	483
evm.utg8.20	572
evm.utg8.21	579
evm.utg8.22	583
evm.utg8.23	174
evm.utg8.24	297
evm.utg8.25	878
evm.utg8.26	477
evm.utg8.27	333
evm.utg8.28	417
evm.utg8.29	341
evm.utg8.30	204
evm.utg8.30.1.5c22f454	145
evm.utg8.31	67
evm.utg8.32	354
evm.utg8.33	424
evm.utg8.34	98
evm.utg8.35	2893
evm.utg8.36	1406
evm.utg8.37	354
evm.utg8.38	2016
evm.utg8.39	125
evm.utg8.40	980
evm.utg8.41	261
evm.utg8.42	522
evm.utg8.43	365
evm.utg8.44	219
evm.utg8.45	137
evm.utg8.46	1931
evm.utg8.47	142
evm.utg8.48	119
evm.utg8.49	400
evm.utg8.50	90
evm.utg8.51	473
evm.utg8.52	592
evm.utg8.53	579
evm.utg8.54	633
evm.utg8.55	247
evm.utg8.56	431
evm.utg8.57	227
evm.utg8.58	141
evm.utg8.59	90
evm.utg8.60	625
evm.utg8.61	104
evm.utg8.62	225
evm.utg8.63	612
evm.utg8.64	756
evm.utg8.65	235
evm.utg8.66	484
evm.utg8.67	391
evm.utg8.68	354
evm.utg8.69	104
evm.utg8.70	413
evm.utg8.71	105
evm.utg8.72	383
evm.utg8.73	319
evm.utg8.74	521
evm.utg8.75	294
evm.utg8.76	905
evm.utg8.77	257
evm.utg8.78	530
evm.utg8.79	201
evm.utg8.80	143
evm.utg8.81	239
evm.utg8.82	293
evm.utg8.83	458
evm.utg8.84	323
evm.utg8.85	241
evm.utg8.86	88
evm.utg8.87	791
evm.utg10.1	1333
evm.utg10.2	302
evm.utg10.3	227
evm.utg10.4	220
evm.utg10.5.1.5c22e795	502
evm.utg10.5	502
evm.utg10.5.2.5c22e796	483
evm.utg10.5.3.5c22e796	401
evm.utg10.6	91
evm.utg10.7	297
evm.utg10.8	124
evm.utg10.9	238
evm.utg10.10	2733
evm.utg10.11	69
evm.utg10.12	568
evm.utg10.13	617
evm.utg10.14	452
evm.utg10.15	377
evm.utg10.16	98
evm.utg10.17	309
evm.utg10.18	297
evm.utg10.19	132
utg10.equina_smart_120628.mrna2	75
evm.utg10.20	96
evm.utg10.21	359
evm.utg10.22	400
evm.utg10.22.1.5c278e75	329
evm.utg10.23	410
evm.utg10.24	120
evm.utg10.25	448
evm.utg10.26	193
evm.utg10.27	580
evm.utg10.28	366
evm.utg10.29	127
evm.utg10.30	102
evm.utg10.31	768
evm.utg10.32	239
evm.utg10.33	281
evm.utg10.34	151
evm.utg10.35	385
evm.utg10.36	270
evm.utg10.37	380
evm.utg10.38	272
evm.utg10.39	284
evm.utg10.40	173
evm.utg10.41	373
evm.utg10.42	262
evm.utg10.43	139
evm.utg10.44	90
evm.utg10.45	1030
evm.utg10.46	92
evm.utg10.47	839
evm.utg10.48	489
evm.utg10.49	346
evm.utg10.50	522
evm.utg10.51	158
evm.utg10.52	207
evm.utg13.1	175
evm.utg13.2	123
evm.utg13.3	147
evm.utg13.4	97
evm.utg13.5	109
evm.utg13.6	164
evm.utg13.7	381
evm.utg13.8	219
evm.utg13.9	71
evm.utg13.10	297
utg13.equina_smart_120628.mrna1	75
evm.utg13.13	184
evm.utg13.14	82
evm.utg13.15	135
evm.utg13.16	717
evm.utg13.17	266
evm.utg13.18	564
evm.utg13.19	208
evm.utg13.20	417
evm.utg13.21	410
evm.utg13.22	120
evm.utg13.22.1.5c22ea14	97
evm.utg13.23	580
evm.utg13.24	1132
evm.utg13.25	318
evm.utg13.26	281
evm.utg13.27	152
evm.utg13.28	386
evm.utg13.29	192
evm.utg13.30	656
evm.utg13.31	133
evm.utg13.32	289
evm.utg13.33	88
evm.utg13.34	905
evm.utg13.35	453
evm.utg13.35.1.5c22ea18	412
evm.utg13.36	276
evm.utg13.37	294
evm.utg13.38	562
evm.utg13.38.1.5c22ea18	458
evm.utg13.38.1.5c22ea18.1.5c278fc0	361
evm.utg13.39	2803
utg13.equina_smart_1584572.mrna11	123
evm.utg13.40	898
evm.utg13.41	475
evm.utg13.41.1.5c22ea19	456
evm.utg13.42	193
evm.utg13.43	1000
evm.utg13.44	551
evm.utg13.45	532
evm.utg13.46	1261
utg13.equina_smart_1392268.mrna1	200
evm.utg13.47	312
evm.utg13.48	462
evm.utg13.49	160
evm.utg13.50	256
evm.utg13.51	319
evm.utg13.52	2888
utg13.equina_smart_1392170.mrna2	58
utg13.equina_smart_1392154.mrna1	155
utg13.evm.utg975.36.mrna2	800
utg13.evm.utg464.87.mrna4	69
utg13.equina_smart_1392176.mrna1	129
utg13.equina_smart_204568.mrna1	102
evm.utg13.53	193
evm.utg13.54	356
evm.utg13.55	201
evm.utg13.56	272
evm.utg13.57	299
evm.utg13.58	357
evm.utg13.59	219
evm.utg13.60	112
evm.utg13.61	679
evm.utg13.62	102
evm.utg13.63	343
evm.utg13.64	355
evm.utg13.65	713
evm.utg13.65.1.5c22ea1a	685
evm.utg13.65.2.5c22ea1a	622
evm.utg13.65.2.5c22ea1a.1.5c278fc1	597
evm.utg13.65.2.5c22ea1a.2.5c278fc1	569
evm.utg13.66	713
evm.utg13.66.1.5c22ea17	609
evm.utg13.67	356
evm.utg13.67.1.5c22ea17	356
evm.utg13.68.70.1.5c278fc1	686
evm.utg13.68.70	652
evm.utg13.68.70.2.5c278fc1	613
evm.utg13.68.70.3.5c278fc1	686
evm.utg13.68.70.4.5c278fc1	686
evm.utg13.69	133
evm.utg13.71	968
evm.utg13.71.1.5c278fc1	953
evm.utg13.72	1471
utg13.equina_smart_1393274.mrna2	121
utg13.equina_smart_1393279.mrna2	196
utg13.equina_smart_75763.mrna1	305
utg13.equina_smart_1575038.mrna2	132
evm.utg14.1	470
evm.utg14.2	286
evm.utg14.3	430
evm.utg14.4	736
evm.utg14.4.1.5c22ea85	598
evm.utg14.4.2.5c22ea85	564
evm.utg14.4.1.5c278ff7	518
evm.utg14.5	169
evm.utg14.6	91
evm.utg14.7	172
evm.utg14.8	1493
evm.utg14.9	422
evm.utg14.10	790
evm.utg14.11	126
evm.utg14.12	315
evm.utg14.13	359
evm.utg14.14	285
evm.utg14.15	167
evm.utg14.16	370
evm.utg14.17	333
evm.utg14.18	288
evm.utg14.19	1290
evm.utg14.20	320
evm.utg14.21	422
evm.utg14.22	288
evm.utg14.23	162
evm.utg14.24	352
evm.utg14.25	549
evm.utg14.26	299
evm.utg14.27	805
evm.utg14.28	204
evm.utg14.29	137
evm.utg14.30	89
evm.utg14.31	283
evm.utg14.32	1224
evm.utg14.32.1.5c22ea86	1033
evm.utg14.33	334
evm.utg14.34	543
evm.utg14.35	82
evm.utg14.36	653
evm.utg14.37	238
evm.utg14.38	529
evm.utg14.39	521
evm.utg14.40	259
evm.utg14.41	288
evm.utg14.42	1016
evm.utg14.43	144
evm.utg14.44	78
evm.utg14.45	157
evm.utg14.46	330
evm.utg14.47	376
evm.utg14.48	89
evm.utg14.49	129
evm.utg14.50	453
evm.utg14.51	120
evm.utg14.52	1349
evm.utg14.53	136
evm.utg14.54	123
evm.utg14.55	141
evm.utg14.56	296
evm.utg14.57	327
evm.utg14.59	153
evm.utg14.60	228
evm.utg14.61	308
evm.utg14.62	254
evm.utg14.63	329
evm.utg14.64	413
evm.utg14.67	978
evm.utg14.68	119
evm.utg14.69	83
evm.utg14.70	302
evm.utg14.71	227
evm.utg14.72	916
evm.utg14.73	599
evm.utg14.74	355
evm.utg14.75	124
evm.utg14.76	334
evm.utg14.77	77
evm.utg14.78	198
evm.utg14.79	459
evm.utg14.80	175
evm.utg14.81	188
evm.utg14.82	470
evm.utg14.83	589
evm.utg14.84	452
evm.utg14.85	490
utg14.equina_smart_1433514.mrna2	134
utg14.evm.utg5442.29.mrna5	77
evm.utg14.86	296
evm.utg14.87	312
evm.utg14.88	262
evm.utg14.89	233
evm.utg14.90	406
evm.utg14.91	320
evm.utg18.1	395
evm.utg18.2	252
evm.utg18.3	241
evm.utg18.4	447
evm.utg18.5	469
evm.utg18.5.1.5c22ec0a	420
evm.utg18.6	446
evm.utg18.7	593
evm.utg18.8	599
evm.utg18.9	117
evm.utg18.10	660
evm.utg18.10.1.5c22ec0a	631
evm.utg18.11	785
evm.utg18.12	468
evm.utg18.13	450
evm.utg18.13.1.5c22ec0b	450
utg18.equina_smart_1392376.mrna1	225
evm.utg18.14	580
evm.utg18.15	143
evm.utg18.16	115
evm.utg18.17	433
evm.utg18.18	874
evm.utg18.18.1.5c22ec0b	615
evm.utg18.18.1.5c22ec0b.1.5c27910a	443
evm.utg18.19	1294
evm.utg18.20	224
evm.utg18.21	194
evm.utg18.22	699
evm.utg18.23	234
evm.utg18.24	210
evm.utg18.25	178
evm.utg18.26	195
evm.utg18.27	430
evm.utg18.28	156
evm.utg18.29	769
evm.utg18.30	83
evm.utg18.31	240
utg18.evm.utg1597.50.mrna2	339
evm.utg18.32	91
evm.utg18.33	112
evm.utg18.34	100
evm.utg18.35	154
evm.utg18.36	551
evm.utg18.37	624
evm.utg18.38	1257
evm.utg18.38.1.5c22ec0b	1106
evm.utg18.39	876
evm.utg18.40	647
evm.utg18.40.1.5c22ec04	506
evm.utg18.40.2.5c22ec04	545
evm.utg18.41	166
evm.utg18.42	653
evm.utg18.42.1.5c22ec0c	577
evm.utg18.43	464
evm.utg18.43.1.5c22ec0c	349
utg18.equina_smart_1435850.mrna2	127
evm.utg18.44	180
evm.utg18.44.1.5c22ec05	137
evm.utg18.45	308
evm.utg18.46	186
evm.utg18.47	223
evm.utg18.47.1.5c22ec05	186
evm.utg18.47.1.5c22ec05.1.5c279104	154
evm.utg18.48	92
evm.utg18.49	263
evm.utg18.50	84
evm.utg18.51	766
evm.utg18.52	489
utg18.equina_smart_1629751.mrna1	34
evm.utg18.53	451
evm.utg18.54	358
evm.utg18.55	300
evm.utg18.56	306
evm.utg18.57	583
evm.utg18.58	255
evm.utg18.59	440
evm.utg18.60	576
utg18.evm.utg3787.7.mrna2	272
evm.utg18.61	154
evm.utg18.62	364
evm.utg18.63	188
evm.utg18.64	365
evm.utg18.65	787
evm.utg18.65.1.5c22ec0c	614
evm.utg18.65.1.5c22ec0c.1.5c27910b	557
evm.utg18.65.1.5c22ec0c.2.5c27910b	458
evm.utg18.65.1.5c22ec0c.3.5c27910b	456
evm.utg18.66	360
evm.utg18.67	414
evm.utg18.68	253
evm.utg18.69	168
evm.utg18.70	2467
evm.utg18.70.1.5c22ec06	2207
evm.utg18.70.2.5c22ec06	1808
evm.utg18.71	143
evm.utg18.72	82
evm.utg18.73.1.5c22ec06	1364
evm.utg18.73	1328
utg18.equina_smart_1302533.mrna1	83
evm.utg18.74	1118
evm.utg18.74.1.5c22ec06	868
evm.utg18.75	581
evm.utg18.76	549
evm.utg18.77	844
utg27.equina_smart_1836529.mrna1	65
evm.utg27.1	288
evm.utg27.2	345
utg27.evm.utg15950.2.mrna2	66
evm.utg27.3	135
evm.utg27.4	93
evm.utg27.5	137
evm.utg27.6	375
evm.utg27.7	407
evm.utg27.8	102
evm.utg27.11	135
evm.utg27.12	134
evm.utg27.13	271
evm.utg27.14	568
evm.utg27.14.1.5c22ee06	597
evm.utg27.14.2.5c22ee06	622
evm.utg27.14.3.5c22ee06	488
evm.utg27.14.4.5c22ee07	476
evm.utg27.15	1456
evm.utg27.15.1.5c22ee07	1278
evm.utg27.15.2.5c22ee07	1360
evm.utg27.16.1.5c22ee07	2734
evm.utg27.16	2710
evm.utg27.16.1.5c2792bd	2017
evm.utg27.17	319
evm.utg27.17.1.5c22ee08	249
evm.utg27.18	290
evm.utg27.18.1.5c22ee12	242
evm.utg27.19	319
utg27.equina_smart_1255327.mrna1	109
evm.utg27.20	1145
evm.utg27.21	315
evm.utg27.22	204
evm.utg27.24	622
evm.utg27.24.1.5c22ee12	610
evm.utg27.23	132
evm.utg27.25	140
evm.utg27.26	858
evm.utg27.27	1016
evm.utg27.28	282
evm.utg27.29	219
evm.utg27.30	91
evm.utg27.30.1.5c22ee13	96
evm.utg27.31	134
evm.utg27.32	578
evm.utg27.32.1.5c22ee09	514
evm.utg27.33	589
evm.utg27.33.1.5c22ee13	539
evm.utg27.34	511
evm.utg27.35	215
evm.utg27.36	328
evm.utg27.37	151
evm.utg27.37.1.5c22ee13	151
evm.utg27.38	310
evm.utg27.39	110
utg27.equina_smart_917443.mrna1	57
evm.utg27.40	403
evm.utg27.40.1.5c22ee09	406
evm.utg27.40.2.5c22ee09	406
evm.utg27.40.3.5c22ee09	356
evm.utg27.40.3.5c22ee09.1.5c2792be	258
evm.utg27.41	106
evm.utg27.42	354
evm.utg27.43	122
evm.utg27.44	71
evm.utg27.45	391
evm.utg27.46	309
evm.utg27.47	96
evm.utg27.48	280
evm.utg27.49	376
evm.utg27.50	387
evm.utg27.51	485
evm.utg27.52	73
evm.utg27.53	518
evm.utg27.54	146
evm.utg27.55	493
evm.utg27.56	117
evm.utg27.57	391
evm.utg27.58	531
evm.utg27.58.1.5c22ee0a	448
evm.utg27.59	193
evm.utg27.60	390
evm.utg27.60.1.5c22ee14	389
utg27.equina_smart_1392735.mrna1	258
evm.utg27.61	316
evm.utg27.62	377
evm.utg27.63	708
evm.utg27.64	279
evm.utg27.65	1000
evm.utg27.66	685
evm.utg27.66.1.5c22ee0a	607
evm.utg27.67	105
evm.utg27.68	457
evm.utg27.69	241
evm.utg27.70	296
evm.utg27.71	388
evm.utg27.71.1.5c22ee0a	372
evm.utg27.72	249
evm.utg27.73	391
evm.utg27.74	226
evm.utg27.77	374
evm.utg27.78	428
evm.utg27.78.1.5c22ee0a	373
evm.utg27.78.1.5c22ee0a.1.5c2792c0	263
evm.utg27.79	699
evm.utg27.80	350
evm.utg27.81	159
evm.utg27.82	444
evm.utg27.83	731
evm.utg27.84	380
evm.utg27.85	289
evm.utg27.86	300
evm.utg27.87	254
evm.utg27.88	105
evm.utg27.89	299
evm.utg27.90	300
evm.utg27.91	442
evm.utg27.92	683
evm.utg27.93	514
evm.utg27.94	194
evm.utg27.95	54
evm.utg27.95.1.5c22ee0b	56
evm.utg27.96	232
evm.utg27.97	558
evm.utg27.98	675
evm.utg27.99	128
evm.utg27.100	1218
evm.utg27.100.1.5c22ee16	1022
evm.utg27.101	366
evm.utg27.102	381
evm.utg27.103	342
evm.utg27.104	2758
evm.utg27.105	420
evm.utg27.106	107
evm.utg27.107	422
evm.utg27.108	374
evm.utg27.109	393
evm.utg27.110	405
evm.utg27.111	401
evm.utg27.112	230
evm.utg27.112.1.5c2792c1	161
evm.utg27.113	1171
evm.utg27.114	304
evm.utg27.119	206
evm.utg27.120	97
evm.utg27.121	85
evm.utg27.122	131
evm.utg27.123	437
evm.utg27.124	611
evm.utg27.125	586
evm.utg27.126	635
evm.utg27.127	596
evm.utg27.128	90
evm.utg27.129	799
evm.utg27.130	109
evm.utg27.131	989
evm.utg27.132	1314
evm.utg27.132.1.5c22ee0c	1314
evm.utg27.133	377
evm.utg27.134	73
evm.utg27.135	326
evm.utg27.136	244
evm.utg27.137	310
evm.utg27.138	298
evm.utg27.139	450
evm.utg27.140	324
evm.utg27.141	376
evm.utg27.142	186
evm.utg27.143.1.5c22ee17	960
evm.utg27.143	717
evm.utg27.144	255
evm.utg27.145	866
evm.utg27.146	528
evm.utg27.147	103
evm.utg27.148	351
evm.utg27.149	256
evm.utg27.150	138
evm.utg27.151	264
evm.utg27.152	95
evm.utg27.153	66
evm.utg29.1	511
evm.utg29.2	261
evm.utg29.3	455
evm.utg29.4	911
evm.utg29.5	169
utg29.equina_smart_1847890.mrna2	503
evm.utg29.6	150
evm.utg29.7	84
utg29.equina_smart_1776097.mrna2	41
evm.utg29.8	221
evm.utg29.9	551
evm.utg29.9.1.5c22ee5f	400
evm.utg29.10	70
evm.utg29.12	152
evm.utg29.13	124
evm.utg29.14.18	848
evm.utg29.15	174
evm.utg29.16	174
evm.utg29.17	121
evm.utg29.19	275
evm.utg29.20	298
evm.utg29.21	88
evm.utg29.22	485
evm.utg29.23	178
evm.utg29.24	471
evm.utg31.1	654
evm.utg31.2	1271
evm.utg31.3	331
evm.utg31.4	242
evm.utg31.5	106
evm.utg31.6	382
evm.utg31.7	201
evm.utg31.8	450
evm.utg31.9	135
evm.utg31.10	733
evm.utg31.11	771
evm.utg31.12	652
evm.utg31.13	446
evm.utg31.14	355
evm.utg31.15	165
evm.utg31.16	236
evm.utg31.17	394
utg31.equina_smart_274863.mrna1	102
evm.utg31.18	224
evm.utg31.19	899
evm.utg31.21	280
evm.utg31.22	99
evm.utg31.23	107
evm.utg31.24	92
evm.utg31.25	199
evm.utg31.26	153
evm.utg31.27	599
evm.utg31.28	154
evm.utg31.29	306
evm.utg31.32	121
evm.utg31.33	293
evm.utg31.34	117
evm.utg31.35	83
evm.utg31.36	81
evm.utg31.37	286
evm.utg31.38	562
evm.utg31.39	85
evm.utg31.39.1.5c22eeca	85
evm.utg31.40	443
evm.utg31.41	74
evm.utg31.42	265
evm.utg31.43	98
evm.utg31.44	149
evm.utg31.45	353
evm.utg31.46	83
evm.utg31.47	93
evm.utg31.48	120
evm.utg31.49	258
evm.utg31.50	109
evm.utg31.51	97
evm.utg31.52	177
evm.utg31.53	222
evm.utg31.54	128
evm.utg31.55	88
evm.utg31.56	875
evm.utg31.57	875
evm.utg31.58	247
evm.utg31.59	122
evm.utg31.60	570
utg31.evm.utg622.6.mrna3	349
evm.utg31.61	204
evm.utg31.62	135
evm.utg31.63	152
evm.utg31.64	276
evm.utg31.65	121
evm.utg31.66	227
evm.utg31.67	506
evm.utg31.68	201
evm.utg31.69	432
evm.utg31.70	201
evm.utg31.71	124
evm.utg31.72	97
evm.utg31.73	168
evm.utg31.74	119
evm.utg31.75	206
evm.utg31.76	761
evm.utg31.77	73
evm.utg31.78	336
evm.utg31.79	118
evm.utg31.80	153
evm.utg31.81	101
evm.utg31.82	162
evm.utg31.83	710
evm.utg31.84	207
evm.utg31.85	167
evm.utg31.86	128
evm.utg31.87	87
evm.utg31.88	330
evm.utg31.89	726
evm.utg31.90	388
evm.utg31.91	482
evm.utg31.92	285
evm.utg31.93	74
evm.utg31.94	245
evm.utg34.1	864
evm.utg34.1.1.5c22ef4e	667
evm.utg34.2	206
evm.utg34.3	989
evm.utg34.4	106
evm.utg34.5	841
evm.utg34.6	167
evm.utg34.7	1222
evm.utg34.8	868
evm.utg34.9	377
evm.utg34.10	409
evm.utg34.11	409
evm.utg34.12	586
evm.utg34.13.1.5c22ef50	672
evm.utg34.13	672
evm.utg34.14	823
utg34.equina_smart_1392920.mrna1	102
evm.utg34.15.1.5c22ef50	630
evm.utg34.15	588
evm.utg34.15.1.5c22ef50.1.5c2793c9	554
evm.utg34.16	972
evm.utg34.17	948
evm.utg34.18	142
evm.utg34.19	227
evm.utg34.20	2157
evm.utg34.21	1028
evm.utg35.1	553
evm.utg35.2	2229
evm.utg35.3	276
evm.utg35.4	93
evm.utg35.5	172
evm.utg35.6	763
evm.utg35.7	5299
evm.utg35.8	500
evm.utg35.9	696
evm.utg35.9.1.5c22ef75	570
evm.utg35.10	280
evm.utg35.11	319
evm.utg35.12.1.5c22ef75	296
evm.utg35.12	297
evm.utg35.13	114
evm.utg35.14	564
evm.utg35.15	261
evm.utg35.16	447
evm.utg35.16.1.5c22ef75	388
evm.utg35.17	773
evm.utg35.18	431
evm.utg35.19	410
evm.utg35.20	430
evm.utg35.21	225
evm.utg35.22	296
