# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-M" "-s" "0" "-T" "16" "-t" "exon" "-g" "gene_id" "-a" "equina_database/ref_index/genes.gtf" "-o" "featurecounts/A_Equina_Counts_unstranded.txt" "alignments/10.sorted.bam" "alignments/11.sorted.bam" "alignments/12.sorted.bam" "alignments/13.sorted.bam" "alignments/14.sorted.bam" "alignments/15.sorted.bam" "alignments/16.sorted.bam" "alignments/17.sorted.bam" "alignments/18.sorted.bam" "alignments/19.sorted.bam" "alignments/1.sorted.bam" "alignments/20.sorted.bam" "alignments/21.sorted.bam" "alignments/22.sorted.bam" "alignments/23.sorted.bam" "alignments/24.sorted.bam" "alignments/25.sorted.bam" "alignments/26.sorted.bam" "alignments/27.sorted.bam" "alignments/28.sorted.bam" "alignments/2.sorted.bam" "alignments/30.sorted.bam" "alignments/31.sorted.bam" "alignments/34.sorted.bam" "alignments/36.sorted.bam" "alignments/4.sorted.bam" "alignments/50.sorted.bam" "alignments/5.sorted.bam" "alignments/6.sorted.bam" "alignments/7.sorted.bam" "alignments/8.sorted.bam" "alignments/9.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/10.sorted.bam	alignments/11.sorted.bam	alignments/12.sorted.bam	alignments/13.sorted.bam	alignments/14.sorted.bam	alignments/15.sorted.bam	alignments/16.sorted.bam	alignments/17.sorted.bam	alignments/18.sorted.bam	alignments/19.sorted.bam	alignments/1.sorted.bam	alignments/20.sorted.bam	alignments/21.sorted.bam	alignments/22.sorted.bam	alignments/23.sorted.bam	alignments/24.sorted.bam	alignments/25.sorted.bam	alignments/26.sorted.bam	alignments/27.sorted.bam	alignments/28.sorted.bam	alignments/2.sorted.bam	alignments/30.sorted.bam	alignments/31.sorted.bam	alignments/34.sorted.bam	alignments/36.sorted.bam	alignments/4.sorted.bam	alignments/50.sorted.bam	alignments/5.sorted.bam	alignments/6.sorted.bam	alignments/7.sorted.bam	alignments/8.sorted.bam	alignments/9.sorted.bam
evm.TU.utg4.11	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	101013;105640;106528;106836;107662;108595;108979;109365;110314;110950;111158;111573;112100;113398	101053;105850;106566;106976;107791;108674;109100;109526;110442;111067;111233;111713;112206;113933	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2033	135	260	173	232	48	164	88	249	149	134	371	169	217	112	212	166	142	284	235	228	5	220	329	95	201	186	183	108	241	231	90	45
evm.TU.utg4.12	utg4	115230	116984	-	1755	0	2	42	14	0	4	4	12	6	10	0	3	13	2	8	12	19	12	2	8	0	17	11	4	34	10	20	30	0	5	0	4
evm.TU.utg4.13	utg4	120367	121645	-	1279	577	362	592	552	276	331	260	357	722	332	946	902	300	438	848	432	416	691	481	1197	17	568	722	278	532	722	337	286	988	599	454	129
evm.TU.utg4.14	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	125151;126382;127519;128912;129423;129743;130871;131186;132037;132386;132557;132967;134784;135290	125776;126466;127623;129100;129492;129804;131079;131276;132198;132454;132605;133910;134852;135364	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2805	899	1160	753	2937	3478	888	1403	1008	2763	791	2218	3563	4537	980	7631	1505	1009	2772	986	1169	43	740	2644	1218	1078	783	1033	810	630	875	800	1010
evm.TU.utg4.15	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	138876;138876;139913;139913;140776;140776;141599;141599;141989;141989;144873;144873;145238;145238;145566;145566;145735;145735;146189;146189;148045	139054;139054;140028;140028;140862;140862;141685;141685;142037;142037;144900;144900;145330;145330;145624;145624;145847;145847;146304;146382;148175	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1136	201	251	393	562	249	473	111	337	468	355	490	459	581	262	210	387	524	453	652	503	6	604	1137	205	670	441	296	330	457	676	179	55
evm.TU.utg4.16	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	148290;150122;150828;151644;152968;154632;156829;157216;158185;159977;161410;161729;162386;162868;164104;164825;165062;165426	148373;150221;150895;151732;153052;154715;156998;157339;158250;160074;161507;161811;162479;162997;164203;164911;165195;165886	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2155	513	804	457	451	279	395	713	751	310	174	1215	580	731	615	359	296	358	387	652	324	54	219	720	625	437	757	356	462	541	254	459	452
evm.TU.utg4.17	utg4;utg4	170146;171160	171026;171802	+;+	1524	81	163	161	193	116	77	65	117	107	70	73	97	160	153	182	162	122	246	494	139	133	74	187	62	82	140	133	190	46	106	91	51
evm.TU.utg4.18	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	175743;175743;176301;176301;180624;180624;180857;180857;182030;182030;182664;182664;182892;182892;185480;185480;185652;185652;185917;185917;187475;187475;188064;188064;188643;188643;189984;189984;190324;190324;191750;191750;192090;192090;192920;192920;193418;193418;194857;194857;195484;195484;196117;196117;196514;196514;197361;197361;198015;198015;198676;198676;198797;198797;201734;201734;202085;202085;202580;202580;205468;205468;206972;206972;207786;207786;208401;208401;209325;209325;209889;209889;210485;210485;210662;210662;210844;210844;211736;211736;212055;212055;212372;212372;213497;213497;213828;213828;213996;214530;214530;216349;216349	176208;176208;177203;177203;180725;180725;180885;180885;182086;182086;182704;182704;182967;182967;185548;185548;185718;185718;185969;185969;187528;187528;188113;188113;188691;188691;190096;190096;190408;190408;191810;191810;192143;192143;193005;193005;193506;193506;194950;194950;195552;195552;196156;196156;196554;196554;197397;197397;198076;198076;198726;198726;198856;198856;201840;201840;202154;202154;202670;202670;205545;205545;207106;207106;207891;207891;208485;208485;209408;209408;209918;209918;210526;210526;210742;210742;210955;210955;211863;211863;212171;212171;212487;212487;213547;213547;214052;213891;214052;214562;214562;216673;216599	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4974	675	953	1760	1883	573	936	349	1028	1415	546	2042	2100	1893	781	1098	1015	1490	1471	1428	1359	52	1502	2854	846	1163	1963	1333	2032	992	1239	576	249
evm.TU.utg4.19	utg4;utg4;utg4;utg4;utg4	221502;224953;225990;227830;228493	221794;225061;226076;227907;229590	+;+;+;+;+	1665	956	831	1546	2300	393	1042	215	876	2553	1247	1308	1782	1726	655	1440	1269	1296	1704	2182	1611	65	1445	3333	440	2968	1638	2181	1623	1652	1584	628	238
tRNAscan-SE.tRNA.utg4.Ser(GGA).1	utg4	227037	227108	+	72	2	11	20	0	1	1	2	10	12	1	2	0	11	1	0	1	3	1	23	4	0	4	5	2	4	21	2	14	6	8	2	0
evm.TU.utg4.20	utg4	234562	235185	-	624	84	165	317	303	43	192	78	178	156	247	282	176	180	94	123	202	273	135	256	279	83	457	346	82	532	254	384	272	284	275	143	55
utg4.equina_smart_817336.path2	utg4;utg4;utg4	235655;243918;246087	235769;243974;246127	+;+;+	213	40	109	17	8	8	23	36	21	79	14	93	37	59	13	38	32	38	13	99	27	0	45	33	11	15	34	33	38	27	21	37	82
evm.TU.utg4.21	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	243336;246803;247136;247601;247958;248214;248985;249312;249928;250312;250746;251480;253238	243425;247050;247525;247870;248108;248279;249232;249453;250241;250450;251029;251510;253315	-;-;-;-;-;-;-;-;-;-;-;-;-	2451	26	68	41	69	73	21	33	40	91	6	57	21	80	26	31	28	31	19	64	20	0	20	165	20	30	38	51	145	34	21	35	58
evm.TU.utg4.22	utg4;utg4	258143;258788	258353;259578	+;+	1002	0	6	0	0	4	0	0	0	0	0	4	0	0	0	0	2	1	0	4	0	0	1	0	4	0	0	0	6	0	1	0	0
evm.TU.utg4.23	utg4;utg4;utg4;utg4;utg4;utg4	263425;263697;266986;268958;270499;271465	263472;263867;267087;269032;270550;271496	-;-;-;-;-;-	480	152	43	109	39	91	73	30	177	57	45	796	49	78	259	80	68	37	102	60	35	0	18	41	43	36	149	40	27	47	90	209	39
evm.TU.utg4.24	utg4;utg4	274685;275589	275208;275673	+;+	609	126	130	160	432	43	160	1448	168	253	111	162	315	120	192	261	106	64	154	336	84	0	27	437	239	37	95	30	331	21	248	78	38
evm.TU.utg4.25	utg4	277124	277882	+	759	52	81	82	135	7	79	564	62	140	47	57	161	166	92	121	76	76	176	58	56	0	20	197	213	29	57	35	151	21	109	42	25
evm.TU.utg4.26	utg4;utg4	278140;278763	278380;279286	-;-	765	114	127	125	426	42	136	1238	119	194	96	171	307	101	209	236	123	80	124	314	82	0	25	388	229	28	98	17	307	22	213	61	16
evm.TU.utg4.27	utg4;utg4;utg4;utg4;utg4;utg4	280416;280853;283022;284666;285620;285949	280671;281040;283069;284757;285692;286204	+;+;+;+;+;+	913	1761	2703	2113	2347	3342	2025	2280	1720	4912	2509	4493	4016	3894	1665	3948	2453	3196	3255	4271	3087	220	2197	4992	4166	2703	1992	1983	2640	1974	2229	2467	2291
tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1	utg4	286673	286744	+	72	2	2	0	0	14	9	1	0	7	0	3	6	1	12	0	2	1	2	0	0	0	0	12	2	6	2	4	0	0	1	8	2
evm.TU.utg4.31	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	287791;287791;294546;294546;296756;296756;297137;297137;297499;297499;297637;297637;298056;298056;299210;299210;301712;301712;301961;301961;302079;302079;302671;303031;303603;304402;304680;305041;305390;305600	288001;288001;295169;295169;296861;296861;297196;297196;297554;297554;297725;297725;298132;298132;300522;300522;301797;301797;301991;301991;302153;302224;302726;303137;303712;304574;304747;305132;305510;306033	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3960	260	694	585	792	567	482	172	464	1603	341	867	746	1388	310	1320	702	566	993	1017	688	4	672	1621	374	1167	662	1123	1245	433	403	248	272
evm.TU.utg4.28	utg4	288634	288978	-	345	0	2	0	0	0	0	0	0	6	0	0	2	2	2	0	0	0	0	3	0	0	0	2	2	0	0	0	4	0	4	0	0
evm.TU.utg4.29	utg4;utg4	289145;289634	289306;289837	-;-	366	0	0	0	2	0	0	0	6	2	0	0	0	0	2	2	1	4	3	2	3	0	0	1	0	0	0	0	2	2	4	0	0
evm.TU.utg4.30	utg4	290589	290978	+	390	0	0	3	0	0	0	0	0	0	0	0	4	0	0	4	0	1	0	0	0	0	2	9	0	0	0	0	4	0	0	0	0
evm.TU.utg4.32	utg4;utg4;utg4;utg4;utg4	305788;306142;306448;309938;311322	306039;306345;306549;310041;311625	-;-;-;-;-	966	393	707	383	447	516	203	426	481	776	264	928	1107	1411	269	1644	213	586	611	609	634	0	369	1276	593	791	484	577	731	652	315	219	414
tRNAscan-SE.tRNA.utg4.Cys(ACA).1	utg4	315121	315195	-	75	2	3	2	3	1	3	2	11	4	3	4	4	7	2	1	2	4	0	2	0	2	2	4	2	1	0	2	4	1	1	2	4
evm.TU.utg4.33	utg4	321338	321985	+	648	50	0	0	131	0	0	0	2	30	0	30	71	155	16	4	0	0	0	2	0	0	0	0	1	0	0	0	2	6	0	66	0
evm.TU.utg4.34	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	322860;322860;322860;323197;323197;323197;328536;328536;328536;329272;329272;329272;329737;329737;329737;330553;330553;332274;332274;333401;334201	323011;323011;323011;323290;323290;323290;328594;328594;328594;329354;329354;329354;329779;330076;329779;330609;330609;332337;332365;333465;336271	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3013	1085	1307	1331	902	518	1022	871	1205	1487	877	1398	1336	1420	870	784	1120	1107	1391	1045	1001	0	663	1387	1203	983	1275	995	1690	793	1165	674	547
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).2	utg4	333549	333620	-	72	0	0	0	0	16	0	36	1	1	2	0	0	0	1	4	0	2	2	0	0	0	0	0	1	39	0	28	1	0	3	0	10
evm.TU.utg4.35	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	336417;338090;338667;339430;340126;340979;341212;342097;342601;342757;343202;344377;345332;345744	336537;338165;338796;339488;340232;341067;341344;342179;342640;342854;343304;344496;345426;345815	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1326	152	183	192	186	68	150	103	92	212	80	310	270	313	91	171	140	202	198	286	160	0	108	322	198	104	170	135	307	133	138	130	56
evm.TU.utg4.36	utg4	345987	347537	+	1551	16	55	19	24	9	10	23	10	76	0	58	43	57	10	30	4	31	41	43	17	0	4	52	35	34	19	15	12	46	2	25	12
evm.TU.utg4.37	utg4	350961	351444	+	484	1378	1426	506	1122	591	1097	1237	1221	921	683	1958	2169	978	665	997	462	918	507	1459	1132	3	834	1639	1923	783	1091	633	695	1247	844	1307	972
evm.TU.utg4.38	utg4;utg4;utg4;utg4;utg4;utg4	357048;358405;359228;360535;378369;379876	357612;358935;359334;360605;378569;380428	-;-;-;-;-;-	2028	40	99	76	41	55	32	72	32	218	21	143	55	129	62	50	43	64	52	52	76	0	70	77	68	58	88	35	78	54	35	40	32
evm.TU.utg4.39	utg4;utg4;utg4;utg4;utg4	383825;385653;386964;387559;389734	384590;386266;387115;387697;389823	+;+;+;+;+	1761	180	511	193	115	126	136	212	306	431	71	349	379	387	218	237	63	149	116	762	128	0	164	368	408	331	329	328	508	308	148	285	209
evm.TU.utg4.40	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	393586;394214;396569;397075;397565;397829;397990;398126;398307;399071;399905;400333;400695;401450;401799;402036;402842;406356	393688;394284;396673;397175;397670;397909;398051;398214;398388;399131;399969;400396;400785;401563;401881;402120;402889;406600	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1656	226	404	411	527	151	363	31	272	497	181	1143	434	732	186	469	221	546	584	553	402	7	439	618	172	403	362	340	392	753	304	244	106
tRNAscan-SE.tRNA.utg4.SeC(TCA).1	utg4	394861	394933	-	73	0	2	0	0	0	0	0	2	0	0	1	4	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg4.Pseudo(TGC).3	utg4	409267	409339	-	73	0	0	0	122	4	0	0	0	29	0	0	3	24	0	75	0	0	0	0	0	0	0	57	0	4	0	0	0	0	0	0	0
evm.TU.utg4.41	utg4;utg4;utg4;utg4	411079;412791;417015;418985	411644;413542;417225;419336	-;-;-;-	1881	2	4	2	103	11	4	7	4	234	4	30	82	146	8	254	4	8	10	2	0	0	1	346	4	8	4	8	4	8	2	10	0
evm.TU.utg4.42	utg4;utg4;utg4	420068;424286;424780	420175;424336;424970	+;+;+	350	22	66	18	57	6	30	52	40	21	5	80	39	83	26	43	28	64	28	79	20	1	38	95	62	35	29	42	36	22	10	45	34
evm.TU.utg4.43	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	429124;430852;431502;433025;434342;434566;435387;435705;436242;439695;440627	430697;431229;431732;433156;434487;434778;435614;435965;436370;439822;441522	-;-;-;-;-;-;-;-;-;-;-	4316	611	400	1058	333	185	543	123	705	241	378	841	254	458	869	587	730	325	1340	517	210	6	372	533	134	98	1070	87	417	235	697	280	70
evm.TU.utg4.44	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	444291;444557;446183;446703;447238;448110;448951;449372;449582;450305;450606;452654;453438;454054;455534;457038;457191	444339;444616;446334;446776;447297;448158;449017;449436;449651;450382;450686;452723;453503;454087;455690;457087;457292	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1284	94	196	103	90	36	159	35	123	888	39	255	76	635	121	664	75	135	102	270	177	47	150	159	103	90	196	110	463	414	133	107	25
evm.TU.utg4.45	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	457395;457395;457699;457699;458169;458169;458496;458496;459657;459657;463046	457421;457421;457708;457708;458216;458216;458701;458701;459870;460107;463192	+;+;+;+;+;+;+;+;+;+;+	889	37098	68488	29650	37651	36007	25666	37355	28039	54308	33238	59731	47350	52081	34249	53833	31397	31107	31523	68268	36241	3582	28600	48460	81691	21897	31425	24980	48548	27292	26295	45437	45560
evm.TU.utg4.46	utg4	466772	469906	-	3135	440	389	543	212	69	325	173	629	271	83	945	184	416	134	198	152	276	245	487	307	0	254	279	255	508	858	557	365	298	241	319	205
evm.TU.utg4.47	utg4;utg4;utg4	475728;476671;479587	475807;476899;481185	+;+;+	1908	118508	182724	132430	161184	90488	90053	102251	90647	131903	113798	197883	166867	130922	103305	136150	115845	86912	107954	161605	112004	131	85330	148713	236205	76815	103734	65735	173798	106514	114165	148738	124390
evm.TU.utg4.48	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	482633;482633;484600;484600;485149;485149;486673;486673;489956;489956;491069;491069;493585;495601;495601;497142;497142;497292;497292	482917;482917;484757;484757;485278;485278;486885;486885;490111;490111;491209;491209;493743;495684;495684;497212;497212;497513;497513	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1619	893	511	760	1156	358	1278	796	1154	660	689	2075	1453	685	479	492	815	1535	645	616	1100	39	1869	3352	568	2413	1093	1314	842	835	930	416	263
evm.TU.utg4.49	utg4;utg4;utg4	500214;503404;505222	500766;503479;505230	-;-;-	638	3772	4293	2312	2034	1392	2318	2679	3566	3763	2188	5049	4029	4565	2232	2814	2245	2335	3511	4729	3288	6	3082	4961	3479	2844	3722	2394	2303	3663	2668	4582	2321
evm.TU.utg4.50	utg4	507191	509694	-	2504	1079	933	1152	864	486	650	883	959	1068	478	2310	1134	997	529	799	541	755	818	1172	768	147	623	1332	1123	1458	1146	1124	708	796	571	907	538
evm.TU.utg4.51	utg4;utg4;utg4;utg4	509869;511404;517221;518067	510552;511744;517495;518481	+;+;+;+	1715	261	269	231	391	109	313	246	281	196	261	680	193	260	193	188	163	286	144	292	262	4	182	593	260	357	438	192	207	293	155	251	239
evm.TU.utg4.52	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	524193;525903;526525;526801;527361;528021;528447;528598;528893;529236;529460;533741	524251;525993;526585;526830;527437;528051;528492;528658;528938;529338;529499;533863	+;+;+;+;+;+;+;+;+;+;+;+	768	407	668	417	387	346	230	862	506	464	96	1482	675	499	611	532	146	675	296	365	561	0	469	579	775	398	567	587	707	246	296	341	628
evm.TU.utg4.53	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	533982;534617;535400;536019;536132;536301;537289;537582;537582;538009;538009;538009;538437;538437;538437;539584;539584;539584;539953;539953;539953;540636;540636;540636;541513;541513;541513;541947;541947;541947;543783;543783;543783;544198;544198;544198;544930;544930;544930;545627;545627;545627;549055;549055;549055	534277;534779;535581;536145;536526;536526;537821;537821;537821;538252;538252;538252;538646;538646;538646;539760;539760;539760;540190;540190;540190;540822;540822;540822;541681;541681;541681;542096;542096;542096;543964;543964;543964;544330;544330;544330;545171;545171;545171;545824;545824;545824;549276;549276;549276	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4034	10081	3823	8192	4152	1813	4141	5088	12229	3295	1851	19684	4547	3737	5653	1919	2497	4076	2622	8096	3618	19	4592	4293	7982	7169	14419	5653	7925	8859	3200	9324	2082
evm.TU.utg4.54	utg4;utg4;utg4	550785;556691;557472	553369;556701;557620	+;+;+	2745	280	177	756	537	82	406	128	106	183	34	1703	513	258	352	139	345	333	434	221	587	23	215	998	333	610	757	113	707	116	1104	150	171
evm.TU.utg4.55	utg4;utg4	558814;558988	558901;559555	-;-	656	23	7	47	89	55	39	23	39	39	0	23	101	38	26	48	25	36	12	24	1	89	0	76	46	55	27	35	57	8	13	9	7
evm.TU.utg4.56	utg4	565809	566117	+	309	2	5	0	0	0	0	4	0	0	0	0	0	1	0	4	1	2	0	2	1	0	0	6	6	2	0	1	10	0	0	0	0
tRNAscan-SE.tRNA.utg4.SeC(TCA).2	utg4	567326	567398	+	73	0	2	1	0	0	0	1	0	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	4	0	1	5	2	0	3	1	0
evm.TU.utg4.57	utg4	571218	571523	-	306	14	12	31	17	10	19	49	25	9	10	3	31	5	46	9	12	6	32	21	14	0	4	16	5	4	39	13	47	17	24	7	4
evm.TU.utg4.59	utg4	572478	573089	-	612	69	31	43	37	12	54	72	126	3	64	30	25	13	164	23	39	10	61	14	7	0	9	67	68	20	82	14	64	14	47	36	14
evm.TU.utg4.61	utg4;utg4;utg4;utg4	578326;578671;578944;579651	578341;578837;579102;580808	+;+;+;+	1500	20	96	74	68	33	16	35	54	225	20	57	28	98	38	33	35	47	16	104	46	0	51	107	73	85	40	107	115	64	35	41	69
evm.TU.utg4.62	utg4;utg4;utg4;utg4;utg4	580959;581931;582504;583118;583764	581654;582190;582918;583202;583924	-;-;-;-;-	1617	65	97	55	139	61	20	163	55	184	25	120	115	263	45	191	22	81	24	142	68	2	73	179	109	93	54	116	263	77	25	38	79
evm.TU.utg4.63	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	586496;587155;587442;593774;594652;594883;598366;599103	586890;587202;587624;593901;594807;594946;598867;599717	-;-;-;-;-;-;-;-	2091	3548	536	5402	3144	456	5952	1116	4037	1175	2110	6657	3968	673	3036	322	1831	6976	2504	2045	5192	14	4564	5681	3604	3406	6757	1713	2848	854	5968	4139	575
