# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-M" "-s" "2" "-T" "16" "-t" "exon" "-g" "gene_id" "-a" "equina_database/ref_index/genes.gtf" "-o" "featurecounts/A_Equina_Counts_stranded.txt" "alignments/10.sorted.bam" "alignments/11.sorted.bam" "alignments/12.sorted.bam" "alignments/13.sorted.bam" "alignments/14.sorted.bam" "alignments/15.sorted.bam" "alignments/16.sorted.bam" "alignments/17.sorted.bam" "alignments/18.sorted.bam" "alignments/19.sorted.bam" "alignments/1.sorted.bam" "alignments/20.sorted.bam" "alignments/21.sorted.bam" "alignments/22.sorted.bam" "alignments/23.sorted.bam" "alignments/24.sorted.bam" "alignments/25.sorted.bam" "alignments/26.sorted.bam" "alignments/27.sorted.bam" "alignments/28.sorted.bam" "alignments/2.sorted.bam" "alignments/30.sorted.bam" "alignments/31.sorted.bam" "alignments/34.sorted.bam" "alignments/36.sorted.bam" "alignments/4.sorted.bam" "alignments/50.sorted.bam" "alignments/5.sorted.bam" "alignments/6.sorted.bam" "alignments/7.sorted.bam" "alignments/8.sorted.bam" "alignments/9.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/10.sorted.bam	alignments/11.sorted.bam	alignments/12.sorted.bam	alignments/13.sorted.bam	alignments/14.sorted.bam	alignments/15.sorted.bam	alignments/16.sorted.bam	alignments/17.sorted.bam	alignments/18.sorted.bam	alignments/19.sorted.bam	alignments/1.sorted.bam	alignments/20.sorted.bam	alignments/21.sorted.bam	alignments/22.sorted.bam	alignments/23.sorted.bam	alignments/24.sorted.bam	alignments/25.sorted.bam	alignments/26.sorted.bam	alignments/27.sorted.bam	alignments/28.sorted.bam	alignments/2.sorted.bam	alignments/30.sorted.bam	alignments/31.sorted.bam	alignments/34.sorted.bam	alignments/36.sorted.bam	alignments/4.sorted.bam	alignments/50.sorted.bam	alignments/5.sorted.bam	alignments/6.sorted.bam	alignments/7.sorted.bam	alignments/8.sorted.bam	alignments/9.sorted.bam
evm.TU.utg4.31	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	287791;287791;294546;294546;296756;296756;297137;297137;297499;297499;297637;297637;298056;298056;299210;299210;301712;301712;301961;301961;302079;302079;302671;303031;303603;304402;304680;305041;305390;305600	288001;288001;295169;295169;296861;296861;297196;297196;297554;297554;297725;297725;298132;298132;300522;300522;301797;301797;301991;301991;302153;302224;302726;303137;303712;304574;304747;305132;305510;306033	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3960	254	460	416	512	366	345	167	319	926	290	551	559	1040	272	968	458	421	714	593	406	4	404	1105	307	823	426	721	797	284	251	170	228
evm.TU.utg4.28	utg4	288634	288978	-	345	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0
evm.TU.utg4.29	utg4;utg4	289145;289634	289306;289837	-;-	366	0	0	0	1	0	0	0	6	2	0	0	0	0	0	2	0	4	1	0	3	0	0	1	0	0	0	0	0	2	2	0	0
evm.TU.utg4.30	utg4	290589	290978	+	390	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0
evm.TU.utg4.32	utg4;utg4;utg4;utg4;utg4	305788;306142;306448;309938;311322	306039;306345;306549;310041;311625	-;-;-;-;-	966	244	484	229	341	351	196	265	375	485	262	510	862	1030	252	1191	203	447	520	422	402	0	212	898	402	529	348	387	568	396	225	220	293
tRNAscan-SE.tRNA.utg4.Cys(ACA).1	utg4	315121	315195	-	75	0	0	2	2	0	0	0	6	2	0	1	3	3	2	1	0	4	0	1	0	1	0	3	1	0	0	1	0	0	0	0	2
evm.TU.utg4.33	utg4	321338	321985	+	648	15	0	0	90	0	0	0	2	19	0	10	44	66	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	30	0
evm.TU.utg4.34	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	322860;322860;322860;323197;323197;323197;328536;328536;328536;329272;329272;329272;329737;329737;329737;330553;330553;332274;332274;333401;334201	323011;323011;323011;323290;323290;323290;328594;328594;328594;329354;329354;329354;329779;330076;329779;330609;330609;332337;332365;333465;336271	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3013	614	657	569	418	269	492	446	569	792	391	751	682	704	371	407	588	559	660	493	508	0	313	627	547	479	652	473	827	384	585	369	278
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).2	utg4	333549	333620	-	72	0	0	0	0	11	0	15	0	2	2	0	0	0	0	0	0	2	1	0	0	0	0	0	2	13	0	22	2	0	2	0	6
evm.TU.utg4.35	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	336417;338090;338667;339430;340126;340979;341212;342097;342601;342757;343202;344377;345332;345744	336537;338165;338796;339488;340232;341067;341344;342179;342640;342854;343304;344496;345426;345815	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1326	69	66	114	85	46	90	57	60	113	34	184	147	185	47	90	66	99	108	145	73	0	39	173	111	45	92	60	135	64	67	74	20
evm.TU.utg4.36	utg4	345987	347537	+	1551	8	10	12	4	5	4	18	6	32	0	21	19	24	10	13	2	11	23	22	6	0	0	34	15	14	9	10	3	20	1	13	8
evm.TU.utg4.37	utg4	350961	351444	+	484	678	768	266	577	331	553	581	633	403	316	936	1081	507	301	485	251	453	261	716	522	1	422	795	922	365	569	332	354	604	429	671	471
evm.TU.utg4.38	utg4;utg4;utg4;utg4;utg4;utg4	357048;358405;359228;360535;378369;379876	357612;358935;359334;360605;378569;380428	-;-;-;-;-;-	2028	17	60	52	21	15	20	35	12	102	6	69	29	63	36	21	27	26	25	24	38	0	32	24	23	26	45	12	30	18	10	9	14
evm.TU.utg4.39	utg4;utg4;utg4;utg4;utg4	383825;385653;386964;387559;389734	384590;386266;387115;387697;389823	+;+;+;+;+	1761	92	205	76	60	71	49	104	154	237	48	175	164	220	109	135	38	67	60	392	68	0	107	176	205	161	144	161	243	134	65	127	122
evm.TU.utg4.40	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	393586;394214;396569;397075;397565;397829;397990;398126;398307;399071;399905;400333;400695;401450;401799;402036;402842;406356	393688;394284;396673;397175;397670;397909;398051;398214;398388;399131;399969;400396;400785;401563;401881;402120;402889;406600	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1656	98	171	219	296	79	166	16	132	247	84	570	204	337	117	268	104	277	304	287	199	3	226	303	83	231	171	171	186	417	163	107	54
tRNAscan-SE.tRNA.utg4.SeC(TCA).1	utg4	394861	394933	-	73	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg4.Pseudo(TGC).3	utg4	409267	409339	-	73	0	0	0	66	4	0	0	0	19	0	0	3	10	0	36	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
evm.TU.utg4.41	utg4;utg4;utg4;utg4	411079;412791;417015;418985	411644;413542;417225;419336	-;-;-;-	1881	2	2	0	65	7	2	0	2	113	2	11	46	83	6	125	0	2	2	2	0	0	1	149	0	8	4	4	4	0	0	2	0
evm.TU.utg4.42	utg4;utg4;utg4	420068;424286;424780	420175;424336;424970	+;+;+	350	6	38	9	34	4	18	24	16	8	1	44	22	38	17	28	20	26	12	34	6	0	24	52	22	12	13	22	19	6	2	16	10
evm.TU.utg4.43	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	429124;430852;431502;433025;434342;434566;435387;435705;436242;439695;440627	430697;431229;431732;433156;434487;434778;435614;435965;436370;439822;441522	-;-;-;-;-;-;-;-;-;-;-	4316	321	177	531	159	87	264	69	354	119	170	420	134	185	413	269	386	132	662	245	89	2	178	294	64	50	538	38	193	112	369	150	24
evm.TU.utg4.44	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	444291;444557;446183;446703;447238;448110;448951;449372;449582;450305;450606;452654;453438;454054;455534;457038;457191	444339;444616;446334;446776;447297;448158;449017;449436;449651;450382;450686;452723;453503;454087;455690;457087;457292	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1284	21	110	66	52	23	88	15	63	457	21	127	23	340	48	360	55	69	49	150	98	13	85	82	61	49	110	67	193	227	45	58	14
evm.TU.utg4.45	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	457395;457395;457699;457699;458169;458169;458496;458496;459657;459657;463046	457421;457421;457708;457708;458216;458216;458701;458701;459870;460107;463192	+;+;+;+;+;+;+;+;+;+;+	889	17746	34209	14784	18616	17760	12954	18149	13952	26081	16476	29094	23332	25483	16740	26337	15158	15096	15309	33467	17717	1731	14211	24154	40347	10716	15270	12243	23792	13585	12854	22144	22829
evm.TU.utg4.46	utg4	466772	469906	-	3135	216	201	264	110	44	173	100	322	135	39	448	88	221	62	101	63	136	122	255	154	0	127	137	122	273	417	298	167	156	122	154	108
evm.TU.utg4.47	utg4;utg4;utg4	475728;476671;479587	475807;476899;481185	+;+;+	1908	56733	92333	65876	80910	44643	44755	50143	45307	64216	56093	98522	83142	65786	51537	67597	57339	42714	53276	80108	55257	66	42603	73364	118186	37914	51967	32737	85998	52442	55823	73067	62655
evm.TU.utg4.48	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	482633;482633;484600;484600;485149;485149;486673;486673;489956;489956;491069;491069;493585;495601;495601;497142;497142;497292;497292	482917;482917;484757;484757;485278;485278;486885;486885;490111;490111;491209;491209;493743;495684;495684;497212;497212;497513;497513	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1619	449	236	372	536	179	624	381	609	348	332	1044	730	320	229	257	389	790	293	294	589	21	924	1762	271	1104	466	700	397	377	427	210	125
evm.TU.utg4.49	utg4;utg4;utg4	500214;503404;505222	500766;503479;505230	-;-;-	638	1900	2125	1178	1018	650	1141	1340	1851	1906	1089	2547	1973	2449	1135	1396	1147	1215	1885	2305	1712	0	1569	2488	1711	1435	1857	1239	1221	1745	1353	2170	1131
evm.TU.utg4.50	utg4	507191	509694	-	2504	518	447	566	419	231	321	428	458	619	262	1166	504	475	257	347	265	409	411	578	396	65	261	701	500	754	584	487	323	372	300	381	285
evm.TU.utg4.51	utg4;utg4;utg4;utg4	509869;511404;517221;518067	510552;511744;517495;518481	+;+;+;+	1715	129	119	105	193	36	158	115	125	108	148	379	91	131	122	69	91	151	58	140	136	2	92	268	139	163	230	102	114	146	92	126	128
evm.TU.utg4.52	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	524193;525903;526525;526801;527361;528021;528447;528598;528893;529236;529460;533741	524251;525993;526585;526830;527437;528051;528492;528658;528938;529338;529499;533863	+;+;+;+;+;+;+;+;+;+;+;+	768	196	379	207	211	160	131	482	249	269	41	770	338	233	315	293	68	339	148	168	297	0	222	325	400	211	291	299	362	106	163	146	308
evm.TU.utg4.53	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	533982;534617;535400;536019;536132;536301;537289;537582;537582;538009;538009;538009;538437;538437;538437;539584;539584;539584;539953;539953;539953;540636;540636;540636;541513;541513;541513;541947;541947;541947;543783;543783;543783;544198;544198;544198;544930;544930;544930;545627;545627;545627;549055;549055;549055	534277;534779;535581;536145;536526;536526;537821;537821;537821;538252;538252;538252;538646;538646;538646;539760;539760;539760;540190;540190;540190;540822;540822;540822;541681;541681;541681;542096;542096;542096;543964;543964;543964;544330;544330;544330;545171;545171;545171;545824;545824;545824;549276;549276;549276	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4034	4871	1859	3933	1920	910	1970	2448	5963	1585	980	9348	2232	1831	2676	933	1174	1976	1252	3832	1778	7	2196	2018	3812	3518	7026	2866	3814	4226	1593	4578	1054
evm.TU.utg4.54	utg4;utg4;utg4	550785;556691;557472	553369;556701;557620	+;+;+	2745	148	81	338	279	45	212	63	47	83	15	808	249	143	208	67	189	182	233	127	275	9	94	461	185	307	362	45	355	63	528	78	87
evm.TU.utg4.55	utg4;utg4	558814;558988	558901;559555	-;-	656	11	4	10	36	29	21	12	25	22	0	13	55	15	12	37	17	17	3	15	1	43	0	31	22	28	3	16	40	5	10	5	1
evm.TU.utg4.56	utg4	565809	566117	+	309	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	0	2	1	0	0	6	2	2	0	0	6	0	0	0	0
tRNAscan-SE.tRNA.utg4.SeC(TCA).2	utg4	567326	567398	+	73	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0
evm.TU.utg4.57	utg4	571218	571523	-	306	10	4	16	9	5	18	31	8	6	8	1	21	3	16	3	5	2	16	10	10	0	2	11	0	1	25	7	18	9	11	1	4
evm.TU.utg4.59	utg4	572478	573089	-	612	25	21	25	11	6	30	41	75	1	34	9	12	9	72	9	19	5	23	3	2	0	4	33	29	9	33	7	29	12	23	25	7
evm.TU.utg4.61	utg4;utg4;utg4;utg4	578326;578671;578944;579651	578341;578837;579102;580808	+;+;+;+	1500	8	56	41	31	16	2	20	12	94	5	22	12	57	9	17	10	18	12	50	23	0	31	52	38	55	12	45	63	36	17	14	49
evm.TU.utg4.62	utg4;utg4;utg4;utg4;utg4	580959;581931;582504;583118;583764	581654;582190;582918;583202;583924	-;-;-;-;-	1617	34	38	16	94	38	7	89	32	96	13	63	73	135	20	85	17	38	18	80	37	0	30	68	51	32	29	53	129	25	11	29	27
evm.TU.utg4.63	utg4;utg4;utg4;utg4;utg4;utg4;utg4;utg4	586496;587155;587442;593774;594652;594883;598366;599103	586890;587202;587624;593901;594807;594946;598867;599717	-;-;-;-;-;-;-;-	2091	1722	256	2604	1503	241	2884	563	2131	617	1062	3285	1958	315	1469	147	939	3505	1241	1067	2571	9	2323	2780	1771	1685	3392	872	1323	442	2967	1995	262
tRNAscan-SE.tRNA.utg4.Pseudo(AGA).4	utg4	588946	589017	+	72	1	0	0	2	75	0	5	0	0	0	1	13	0	1	0	1	26	2	1	0	1	0	0	3	35	0	26	1	0	1	0	18
