contig	duplicated_BUSCO_unique_ids	duplicated_BUSCO_records	duplicated_BUSCO_ids	duplicated_BUSCO_region_span	on_BUSCO_duplication_rich_scaffold	BUSCO_duplication_scaffold_threshold
utg190	1	1	570262at33208	utg190:1454-2300	no	3
utg1900	1	3	578582at33208	utg1900:12525-108804	no	3
utg19074	1	1	514565at33208	utg19074:205553-210976	no	3
utg1910	3	3	586690at33208;606958at33208;608011at33208	utg1910:611487-675919	yes	3
utg1918	1	1	325183at33208	utg1918:114264-124497	no	3
utg1919	2	3	295775at33208;616149at33208	utg1919:2442-537305	no	3
utg1923	1	3	601768at33208	utg1923:7106-62133	no	3
utg1931	2	4	398202at33208;586719at33208	utg1931:7619-804521	no	3
utg19396	1	1	535268at33208	utg19396:53580-59191	no	3
utg194	1	2	490248at33208	utg194:363666-369048	no	3
utg1972	4	7	218441at33208;268397at33208;399092at33208;587688at33208	utg1972:1606-983482	yes	3
utg19866	1	2	412542at33208	utg19866:2508-86321	no	3
utg2007	2	2	468359at33208;623444at33208	utg2007:180163-278034	no	3
utg2017	3	3	445031at33208;545063at33208;553411at33208	utg2017:87906-363144	yes	3
utg203	1	1	587407at33208	utg203:1234170-1238499	no	3
utg20618	1	2	581621at33208	utg20618:32375-45412	no	3
utg207	3	4	166097at33208;556337at33208;638541at33208	utg207:191206-1490337	yes	3
utg20736	2	2	223234at33208;515377at33208	utg20736:3535-5757	no	3
utg2083	1	3	131349at33208	utg2083:1672-536521	no	3
utg2099	3	6	239597at33208;462325at33208;560584at33208	utg2099:7578-277984	yes	3
utg2100	2	2	568949at33208;644034at33208	utg2100:11839-39126	no	3
utg2108	1	2	468248at33208	utg2108:311550-319540	no	3
utg2111	1	1	455941at33208	utg2111:1108-1365	no	3
utg21228	2	2	357580at33208;561943at33208	utg21228:1150-6402	no	3
utg2123	1	1	340558at33208	utg2123:106680-115282	no	3
utg2129	3	6	320390at33208;339319at33208;429011at33208	utg2129:43128-1513754	yes	3
utg214	2	3	119252at33208;514121at33208	utg214:369498-607359	no	3
utg2156	1	1	467744at33208	utg2156:4092-6169	no	3
utg216	1	2	268134at33208	utg216:481-110864	no	3
utg217	2	2	470523at33208;535268at33208	utg217:4477-12775	no	3
utg21766	2	2	273040at33208;572434at33208	utg21766:1169-121674	no	3
utg219	4	4	157109at33208;421685at33208;427789at33208;517311at33208	utg219:1424-4381	yes	3
utg2200	1	2	534808at33208	utg2200:25917-508352	no	3
utg2205	1	4	45934at33208	utg2205:7482-148400	no	3
utg22299	1	1	384187at33208	utg22299:42604-45111	no	3
utg225	1	1	452574at33208	utg225:1631-5055	no	3
utg2255	1	1	348761at33208	utg2255:135001-138875	no	3
utg22693	1	1	109109at33208	utg22693:81816-101716	no	3
utg2298	1	1	505248at33208	utg2298:8807-9793	no	3
utg2303	5	7	534312at33208;561054at33208;561417at33208;601967at33208;622270at33208	utg2303:2674-350258	yes	3
utg234	3	3	433216at33208;446000at33208;618421at33208	utg234:1487-3435	yes	3
utg2350	2	2	318483at33208;398607at33208	utg2350:12805-18141	no	3
utg2353	1	3	395147at33208	utg2353:1630-142470	no	3
utg236	1	1	352854at33208	utg236:4190-5826	no	3
utg237	2	2	219856at33208;569294at33208	utg237:8724-52192	no	3
utg2411	1	1	434863at33208	utg2411:171-3547	no	3
utg2417	2	2	401196at33208;510522at33208	utg2417:81868-136263	no	3
utg2428	2	3	440493at33208;592094at33208	utg2428:883-75490	no	3
utg243	1	1	443659at33208	utg243:544097-546708	no	3
utg24316	1	2	596973at33208	utg24316:15421-21999	no	3
utg2433	1	1	463071at33208	utg2433:35593-73097	no	3
utg24357	1	1	344611at33208	utg24357:98960-100084	no	3
utg2483	1	2	389367at33208	utg2483:7382-14503	no	3
utg2521	2	3	195986at33208;548732at33208	utg2521:10993-70182	no	3
utg256	1	2	259581at33208	utg256:78-80120	no	3
utg2581	1	1	633619at33208	utg2581:134432-140613	no	3
utg259	2	2	315393at33208;526673at33208	utg259:17376-183721	no	3
utg262	2	2	452208at33208;529708at33208	utg262:3028-5252	no	3
utg2667	1	1	514565at33208	utg2667:86676-90159	no	3
utg2674	1	1	465651at33208	utg2674:978-2158	no	3
utg2682	1	1	638541at33208	utg2682:76239-78598	no	3
utg27	2	3	457777at33208;504292at33208	utg27:16779-133681	no	3
utg27318	1	1	427349at33208	utg27318:3360-4669	no	3
utg2757	3	5	14776at33208;284059at33208;5951at33208	utg2757:3822-739576	yes	3
utg276	2	4	524148at33208;580851at33208	utg276:6753-146846	no	3
utg2798	4	8	344338at33208;390192at33208;474387at33208;526673at33208	utg2798:61181-441401	yes	3
utg280	4	4	206858at33208;378768at33208;539234at33208;564286at33208	utg280:30251-395941	yes	3
utg2801	1	1	231700at33208	utg2801:54291-62493	no	3
utg28028	2	4	511386at33208;625091at33208	utg28028:12795-41674	no	3
utg2814	1	2	532728at33208	utg2814:5424-121598	no	3
utg2818	1	1	315393at33208	utg2818:1704-15641	no	3
utg2858	1	1	353286at33208	utg2858:220-5598	no	3
utg2929	1	2	359324at33208	utg2929:62389-71764	no	3
utg293	1	1	461193at33208	utg293:596311-602562	no	3
utg2967	2	3	502691at33208;606539at33208	utg2967:145015-155571	no	3
utg298	2	2	364383at33208;521343at33208	utg298:1700-95765	no	3
utg301	1	2	532406at33208	utg301:302618-308734	no	3
utg3013	1	1	428202at33208	utg3013:12045-21129	no	3
utg3019	2	2	581475at33208;589901at33208	utg3019:254544-297071	no	3
utg302	3	3	518569at33208;539600at33208;564234at33208	utg302:17-135884	yes	3
utg3041	3	3	109109at33208;286553at33208;395556at33208	utg3041:9901-10844	yes	3
utg307	1	2	584023at33208	utg307:14144-230840	no	3
utg30804	1	1	563426at33208	utg30804:2910-4142	no	3
utg3092	3	3	517525at33208;566916at33208;611279at33208	utg3092:4500-343063	yes	3
utg30988	1	3	414571at33208	utg30988:4827-15355	no	3
utg3117	1	1	215654at33208	utg3117:8934-10012	no	3
utg31256	1	4	455941at33208	utg31256:67489-77689	no	3
utg3164	1	1	495389at33208	utg3164:219017-219959	no	3
utg3174	3	5	535367at33208;601886at33208;606795at33208	utg3174:1897-261469	yes	3
utg3181	1	1	584333at33208	utg3181:22183-22883	no	3
utg320	2	3	353286at33208;448196at33208	utg320:14617-1554311	no	3
utg3201	2	2	383313at33208;432287at33208	utg3201:656-214281	no	3
utg3235	1	1	577339at33208	utg3235:945-13301	no	3
utg3260	1	1	435253at33208	utg3260:108366-124290	no	3
utg3283	1	1	435253at33208	utg3283:127462-137256	no	3
utg334	1	1	581006at33208	utg334:2808-4038	no	3
utg3365	4	4	422158at33208;447400at33208;486743at33208;573237at33208	utg3365:7065-607966	yes	3
utg338	4	6	130256at33208;452208at33208;529708at33208;631107at33208	utg338:5209-206468	yes	3
utg3380	4	4	352600at33208;586690at33208;606958at33208;608011at33208	utg3380:863-212713	yes	3
utg34	1	1	367551at33208	utg34:24794-30437	no	3
utg343339	2	2	389527at33208;478073at33208	utg343339:310-8780	no	3
utg344	1	1	413334at33208	utg344:6028-11688	no	3
utg3452	2	2	134492at33208;620546at33208	utg3452:284-98207	no	3
utg34639	1	1	584333at33208	utg34639:21370-22023	no	3
utg3470	1	1	378316at33208	utg3470:11667-21903	no	3
utg35	1	1	563426at33208	utg35:134037-135737	no	3
utg356	3	3	186707at33208;271297at33208;574311at33208	utg356:979710-1004529	yes	3
utg3605	1	1	515640at33208	utg3605:10-3464	no	3
utg364	1	5	334336at33208	utg364:79448-90009	no	3
utg370	2	2	273040at33208;572434at33208	utg370:2769-54895	no	3
utg372	1	1	424392at33208	utg372:9734-11577	no	3
utg3753	2	2	474302at33208;519777at33208	utg3753:1881-3017	no	3
utg376	1	3	545389at33208	utg376:396788-406797	no	3
utg378	2	2	349064at33208;84980at33208	utg378:469055-1495461	no	3
utg379	4	5	311758at33208;465703at33208;581006at33208;581543at33208	utg379:2-733615	yes	3
utg3797	1	1	147873at33208	utg3797:736-4214	no	3
utg382	1	3	630073at33208	utg382:202839-207602	no	3
utg3834	1	1	495207at33208	utg3834:5707-12439	no	3
utg3839	1	2	202545at33208	utg3839:1096-737759	no	3
utg386	2	2	266469at33208;495311at33208	utg386:180248-191486	no	3
utg3872	1	1	152977at33208	utg3872:1160-26086	no	3
utg3878	2	2	602148at33208;615531at33208	utg3878:30299-188146	no	3
utg3884	2	3	115878at33208;501788at33208	utg3884:30859-260111	no	3
utg389	1	2	111746at33208	utg389:136548-182412	no	3
utg3891	2	2	608869at33208;617020at33208	utg3891:23223-26461	no	3
utg3906	1	1	127766at33208	utg3906:14904-39168	no	3
utg3913	1	1	526487at33208	utg3913:261499-267759	no	3
utg3980	2	2	139188at33208;471787at33208	utg3980:4465-27366	no	3
utg4	3	3	332870at33208;384187at33208;568022at33208	utg4:16926-463192	yes	3
utg401	2	3	428754at33208;566447at33208	utg401:1545-292800	no	3
utg402	2	2	339127at33208;515640at33208	utg402:7950-77575	no	3
utg405	2	2	412930at33208;439736at33208	utg405:7556-758013	no	3
utg40621	1	1	393291at33208	utg40621:1967-11509	no	3
utg408	2	2	339127at33208;345099at33208	utg408:5656-10186	no	3
utg411	1	1	300303at33208	utg411:11547-12668	no	3
utg413	2	2	535367at33208;601886at33208	utg413:340-678563	no	3
utg415	4	7	387878at33208;585809at33208;591391at33208;606048at33208	utg415:1184-1221817	yes	3
utg4155	2	2	563358at33208;580896at33208	utg4155:15481-15825	no	3
utg4157	3	4	158962at33208;312577at33208;524165at33208	utg4157:3531-281062	yes	3
utg4172	1	1	387878at33208	utg4172:6530-9522	no	3
utg4177	3	4	261284at33208;523376at33208;551632at33208	utg4177:1484-362075	yes	3
utg418	3	3	239597at33208;462325at33208;560584at33208	utg418:16075-416004	yes	3
utg4194	1	1	427349at33208	utg4194:18225-39216	no	3
utg4202	1	1	516659at33208	utg4202:1084-2813	no	3
utg4231	1	1	589901at33208	utg4231:23240-33153	no	3
utg4318	1	2	584333at33208	utg4318:221929-245840	no	3
utg432	1	2	359369at33208	utg432:1938-849366	no	3
utg4327	1	1	581475at33208	utg4327:5692-7291	no	3
utg435	3	4	152327at33208;453052at33208;487987at33208	utg435:7690-446236	yes	3
utg436	1	1	367596at33208	utg436:266654-285389	no	3
utg438	1	1	465651at33208	utg438:198492-203737	no	3
utg43821	1	2	395919at33208	utg43821:15484-27517	no	3
utg4455	2	3	412930at33208;514565at33208	utg4455:20261-330412	no	3
utg4464	1	1	164767at33208	utg4464:10556-22893	no	3
utg4501	2	2	334331at33208;445091at33208	utg4501:2155-91871	no	3
utg45540	1	2	107151at33208	utg45540:44962-83229	no	3
utg456	1	3	393291at33208	utg456:826-123810	no	3
utg4576	3	3	411755at33208;522988at33208;637971at33208	utg4576:884-365994	yes	3
utg4605	1	1	442823at33208	utg4605:1719-8018	no	3
utg4610	1	2	547341at33208	utg4610:7597-236874	no	3
utg4661	1	1	566527at33208	utg4661:150152-152711	no	3
utg4665	1	2	462325at33208	utg4665:6513-25763	no	3
utg467	2	2	349064at33208;545744at33208	utg467:84923-302266	no	3
utg47	1	1	449189at33208	utg47:3351-5448	no	3
utg470	3	4	395948at33208;477939at33208;591498at33208	utg470:5793-686835	yes	3
utg4716	1	1	578354at33208	utg4716:9294-13102	no	3
utg477	1	2	467142at33208	utg477:26563-32932	no	3
utg479	3	3	302921at33208;367493at33208;603673at33208	utg479:1700671-1821388	yes	3
utg48	1	2	524322at33208	utg48:387636-405916	no	3
utg4856	2	2	311758at33208;465703at33208	utg4856:20879-69769	no	3
utg4880	1	1	618339at33208	utg4880:82776-84740	no	3
utg4886	1	1	353768at33208	utg4886:13052-14062	no	3
utg4898	1	1	603609at33208	utg4898:54040-57311	no	3
utg49	1	1	340558at33208	utg49:53439-61061	no	3
utg4907	2	3	444160at33208;561248at33208	utg4907:1153-280752	no	3
utg4922	1	2	495207at33208	utg4922:3427-362404	no	3
utg496	2	3	389527at33208;478073at33208	utg496:308983-328725	no	3
utg4972	3	6	119591at33208;194754at33208;527406at33208	utg4972:108468-253119	yes	3
utg498	3	8	123923at33208;523534at33208;606048at33208	utg498:7663-1100654	yes	3
utg5033	1	1	467744at33208	utg5033:192749-201576	no	3
utg505	1	1	359324at33208	utg505:9879-13862	no	3
utg5074	1	1	468359at33208	utg5074:86817-98772	no	3
utg5080	1	1	413334at33208	utg5080:10249-15968	no	3
utg5087	1	1	554010at33208	utg5087:1858-12660	no	3
utg512	4	4	119252at33208;393419at33208;449189at33208;514121at33208	utg512:1602-525588	yes	3
utg52	3	3	429751at33208;434068at33208;549988at33208	utg52:4231-497633	yes	3
utg526	2	4	576633at33208;642773at33208	utg526:340-192298	no	3
utg5290	4	4	534312at33208;561054at33208;601967at33208;622270at33208	utg5290:15829-432656	yes	3
utg532	1	1	581621at33208	utg532:139294-147907	no	3
utg535	2	4	393419at33208;533666at33208	utg535:12977-288854	no	3
utg5367	1	1	524148at33208	utg5367:274384-293321	no	3
utg5390	2	2	134492at33208;620546at33208	utg5390:219795-291997	no	3
utg544	1	1	325183at33208	utg544:714-4065	no	3
utg54553	1	1	623444at33208	utg54553:21180-24914	no	3
utg55	6	12	189414at33208;338191at33208;421732at33208;478984at33208;600462at33208;92367at33208	utg55:289-1913956	yes	3
utg55532	1	1	524165at33208	utg55532:15702-17678	no	3
utg560	2	2	216563at33208;348449at33208	utg560:104731-152721	no	3
utg564	1	1	192250at33208	utg564:267626-276250	no	3
utg5689	1	1	441575at33208	utg5689:1608-3680	no	3
utg577	1	1	563679at33208	utg577:557176-559574	no	3
utg580	1	1	344611at33208	utg580:2422-3996	no	3
utg5815	1	1	416175at33208	utg5815:72325-75409	no	3
utg5885	2	2	450643at33208;502407at33208	utg5885:21566-31726	no	3
utg590	1	2	438133at33208	utg590:3520-86072	no	3
utg594	2	2	219856at33208;569294at33208	utg594:6435-335167	no	3
utg5950	2	2	108764at33208;622156at33208	utg5950:233-49946	no	3
utg597	5	9	164767at33208;168924at33208;474302at33208;519777at33208;537470at33208	utg597:9016-1152855	yes	3
utg599	2	2	216563at33208;348449at33208	utg599:106219-156546	no	3
utg600	1	3	197549at33208	utg600:869-33792	no	3
utg6035	2	2	219856at33208;569294at33208	utg6035:115428-192475	no	3
utg607	5	8	201397at33208;401679at33208;435678at33208;511386at33208;625091at33208	utg607:424-206733	yes	3
utg6072	1	1	563679at33208	utg6072:39900-42622	no	3
utg612	3	3	300303at33208;395948at33208;477939at33208	utg612:21162-320222	yes	3
utg616	1	1	441575at33208	utg616:137-4441	no	3
utg62	10	10	387079at33208;401196at33208;445031at33208;510522at33208;517686at33208;545063at33208;553411at33208;563084at33208;595010at33208;636041at33208	utg62:850-1442289	yes	3
utg622	4	4	157109at33208;421685at33208;427789at33208;517311at33208	utg622:1945-542293	yes	3
utg6220	1	3	99987at33208	utg6220:14899-147631	no	3
utg625	1	1	559576at33208	utg625:2642-2968	no	3
utg6293	1	1	366814at33208	utg6293:4422-14091	no	3
utg6334	1	1	16244at33208	utg6334:32630-73807	no	3
utg637	1	1	235430at33208	utg637:18465-22680	no	3
utg6373	1	1	366814at33208	utg6373:17150-25135	no	3
utg6379	1	1	535524at33208	utg6379:81001-89814	no	3
utg64	2	2	274992at33208;308610at33208	utg64:52564-80396	no	3
utg6459	1	2	543124at33208	utg6459:2069-397821	no	3
utg6477	1	1	449139at33208	utg6477:61-2440	no	3
utg6504	2	3	274992at33208;308610at33208	utg6504:1971-215558	no	3
utg659	1	1	464286at33208	utg659:549-8932	no	3
utg666	2	2	393895at33208;401220at33208	utg666:45176-163944	no	3
utg6821	1	1	623995at33208	utg6821:1505-7047	no	3
utg6843	1	1	580851at33208	utg6843:177134-181512	no	3
utg6851	1	1	452574at33208	utg6851:13988-15832	no	3
utg686	1	1	16244at33208	utg686:10843-67248	no	3
utg6924	1	1	535524at33208	utg6924:15043-23430	no	3
utg693	1	1	443659at33208	utg693:598015-600797	no	3
utg6958	2	2	318483at33208;398607at33208	utg6958:2817-6755	no	3
utg6976	2	2	157138at33208;517525at33208	utg6976:67115-110101	no	3
utg699	2	2	516659at33208;577339at33208	utg699:200623-1135940	no	3
utg7	1	1	590416at33208	utg7:43604-49402	no	3
utg7008	1	1	424392at33208	utg7008:138830-145185	no	3
utg7048	2	2	453052at33208;487987at33208	utg7048:9496-13815	no	3
utg7145	2	4	424569at33208;623995at33208	utg7145:417-497991	no	3
utg7148	1	1	580062at33208	utg7148:147702-153098	no	3
utg715	3	7	206786at33208;255924at33208;361203at33208	utg715:127-745161	yes	3
utg72	2	4	546305at33208;571149at33208	utg72:877-190997	no	3
utg7217	1	1	389367at33208	utg7217:2196-3460	no	3
utg7244	1	1	601768at33208	utg7244:4084-14223	no	3
utg7289	1	1	419502at33208	utg7289:116019-120589	no	3
utg729	4	7	168850at33208;456998at33208;516716at33208;520011at33208	utg729:349798-1133447	yes	3
utg73	2	3	501396at33208;525542at33208	utg73:558978-1036428	no	3
utg734	1	2	587399at33208	utg734:197-218163	no	3
utg736	2	4	439736at33208;515425at33208	utg736:998-369955	no	3
utg7412	1	1	616149at33208	utg7412:50304-52268	no	3
utg750	4	8	245567at33208;356503at33208;496219at33208;530431at33208	utg750:13267-480116	yes	3
utg7522	1	1	628231at33208	utg7522:373-1791	no	3
utg7595	2	2	344442at33208;535782at33208	utg7595:4441-5574	no	3
utg761	2	3	554815at33208;602587at33208	utg761:538-195978	no	3
utg762	1	1	147873at33208	utg762:19931-25703	no	3
utg77	4	6	333062at33208;390402at33208;517525at33208;596973at33208	utg77:19730-976278	yes	3
utg777	4	6	360753at33208;400042at33208;409186at33208;532930at33208	utg777:3487-590351	yes	3
utg78	3	4	261614at33208;462897at33208;76852at33208	utg78:8114-278885	yes	3
utg7821	1	2	551620at33208	utg7821:1132-222796	no	3
utg7840	1	1	549156at33208	utg7840:82909-86232	no	3
utg785	1	1	378033at33208	utg785:2856-11125	no	3
utg7855	1	1	495100at33208	utg7855:8104-9578	no	3
utg7888	1	1	488559at33208	utg7888:170-3004	no	3
utg790	3	3	206858at33208;539234at33208;564286at33208	utg790:72701-170576	yes	3
utg7909	1	1	428202at33208	utg7909:17660-18292	no	3
utg791	1	2	438133at33208	utg791:2832-49013	no	3
utg798	4	5	215654at33208;566916at33208;611279at33208;622560at33208	utg798:215-474960	yes	3
utg8	3	3	422158at33208;447400at33208;486743at33208	utg8:5299-815433	yes	3
utg801	1	2	625769at33208	utg801:13571-336067	no	3
utg8380	1	1	348761at33208	utg8380:136778-140422	no	3
utg8494	1	1	231700at33208	utg8494:472889-478499	no	3
utg857	2	2	289928at33208;569303at33208	utg857:22571-50059	no	3
utg858	1	1	416175at33208	utg858:49224-70102	no	3
utg86	2	2	517525at33208;561417at33208	utg86:2218-3665	no	3
utg8609	1	1	227453at33208	utg8609:306-4528	no	3
utg861	2	4	455512at33208;532693at33208	utg861:964-346411	no	3
utg86134	1	1	334336at33208	utg86134:955-11942	no	3
utg8672	1	1	570262at33208	utg8672:55568-63688	no	3
utg868	3	4	378033at33208;534757at33208;535650at33208	utg868:1339-736710	yes	3
utg8726	1	1	390402at33208	utg8726:72274-76838	no	3
utg8820	1	1	127766at33208	utg8820:109856-130819	no	3
utg8851	1	1	521343at33208	utg8851:5879-13460	no	3
utg890	1	1	628231at33208	utg890:2894-6265	no	3
utg896	2	2	102804at33208;227979at33208	utg896:6114-7495	no	3
utg9023	1	1	367596at33208	utg9023:96825-109637	no	3
utg910	2	5	191938at33208;570717at33208	utg910:30701-1617024	no	3
utg911	1	2	249486at33208	utg911:11772-74905	no	3
utg9110	2	2	157138at33208;517525at33208	utg9110:860-29175	no	3
utg912	1	1	448196at33208	utg912:303831-307515	no	3
utg9150	1	1	491252at33208	utg9150:8058-8862	no	3
utg92	5	9	344442at33208;355210at33208;517525at33208;535782at33208;578354at33208	utg92:4878-1319143	yes	3
utg9216	1	1	623324at33208	utg9216:34592-36742	no	3
utg9227	1	1	367596at33208	utg9227:782-1806	no	3
utg924	3	3	429751at33208;434068at33208;549988at33208	utg924:182814-432405	yes	3
