contig	n_dark_candidate_ids	n_genes	n_transcripts	annotation_classes	candidate_region_span
utg10628	1	26	50	function_dark_no_current_annotation	utg10628:1131-140839
utg107	5	68	155	function_dark_no_current_annotation	utg107:3288-536440
utg10709	1	6	10	function_dark_no_current_annotation	utg10709:18913-43619
utg1073	2	16	36	function_dark_no_current_annotation	utg1073:1791-199905
utg1079	10	74	146	function_dark_no_current_annotation	utg1079:133-341501
utg10824	1	7	12	function_dark_no_current_annotation	utg10824:1550-51874
utg109	21	127	306	function_dark_no_current_annotation	utg109:5979-1142044
utg1091	6	65	138	function_dark_no_current_annotation	utg1091:4746-702213
utg10933	2	16	30	function_dark_no_current_annotation	utg10933:3476-72295
utg10963	2	9	16	function_dark_no_current_annotation	utg10963:18710-104400
utg1101	13	83	164	function_dark_no_current_annotation	utg1101:16560-536742
utg11096	1	23	54	function_dark_no_current_annotation	utg11096:20183-321889
utg1112	1	2	2	function_dark_no_current_annotation	utg1112:48218-49746
utg11123	1	11	32	function_dark_no_current_annotation	utg11123:6971-157422
utg111395	1	4	6	function_dark_no_current_annotation	utg111395:1075-52421
utg112	3	65	130	function_dark_no_current_annotation	utg112:13980-450773
utg11219	1	6	10	function_dark_no_current_annotation	utg11219:3255-34679
utg1127	2	69	172	function_dark_no_current_annotation	utg1127:4483-599726
utg113	4	29	64	function_dark_no_current_annotation	utg113:10961-390703
utg1132	1	5	8	function_dark_no_current_annotation	utg1132:8867-70277
utg113218	2	6	10	function_dark_no_current_annotation	utg113218:4424-51178
utg11341	1	6	10	function_dark_no_current_annotation	utg11341:1347-32842
utg1137	10	55	118	function_dark_no_current_annotation	utg1137:8157-507419
utg114	1	15	39	function_dark_no_current_annotation	utg114:28287-205781
utg1140	2	24	46	function_dark_no_current_annotation	utg1140:146-258362
utg11411	1	31	66	function_dark_no_current_annotation	utg11411:6734-274652
utg11415	5	52	135	function_dark_no_current_annotation	utg11415:263-379653
utg1143	14	60	118	function_dark_no_current_annotation	utg1143:17048-426393
utg11494	2	12	22	function_dark_no_current_annotation	utg11494:8863-112175
utg11497	5	19	36	function_dark_no_current_annotation	utg11497:404-60562
utg115298	2	7	12	function_dark_no_current_annotation	utg115298:5511-38343
utg11599	1	3	4	function_dark_no_current_annotation	utg11599:13278-15434
utg116	23	370	902	function_dark_no_current_annotation	utg116:4141-2965329
utg1162	3	35	80	function_dark_no_current_annotation	utg1162:8390-303713
utg11695	2	5	8	function_dark_no_current_annotation	utg11695:3164-28906
utg117	1	28	58	function_dark_no_current_annotation	utg117:8374-173360
utg11700	1	10	18	function_dark_no_current_annotation	utg11700:9276-83676
utg1172	1	8	18	function_dark_no_current_annotation	utg1172:8102-86526
utg11763	2	10	18	function_dark_no_current_annotation	utg11763:777-61758
utg1177	3	24	53	function_dark_no_current_annotation	utg1177:14896-181554
utg11814	3	16	38	function_dark_no_current_annotation	utg11814:22-101446
utg1184	2	23	44	function_dark_no_current_annotation	utg1184:8375-148784
utg11905	2	12	27	function_dark_no_current_annotation	utg11905:5801-112796
utg1194	2	28	86	function_dark_no_current_annotation	utg1194:8497-303720
utg1201	1	31	70	function_dark_no_current_annotation	utg1201:372-298588
utg12030	3	19	44	function_dark_no_current_annotation	utg12030:1121-154392
utg1204	4	54	128	function_dark_no_current_annotation	utg1204:3093-545438
utg1205	16	159	384	function_dark_no_current_annotation	utg1205:568-1387016
utg1221	1	26	64	function_dark_no_current_annotation	utg1221:15151-220580
utg12230	2	15	28	function_dark_no_current_annotation	utg12230:12813-102689
utg1230	5	40	89	function_dark_no_current_annotation	utg1230:1471-250645
utg12336	3	34	66	function_dark_no_current_annotation	utg12336:2365-180738
utg1234	3	32	70	function_dark_no_current_annotation	utg1234:7013-266007
utg12341	1	7	12	function_dark_no_current_annotation	utg12341:2417-37183
utg1236	6	46	104	function_dark_no_current_annotation	utg1236:3195-469256
utg12382	1	28	66	function_dark_no_current_annotation	utg12382:8348-263410
utg1239	3	30	60	function_dark_no_current_annotation	utg1239:2676-325715
utg1243	1	2	2	function_dark_no_current_annotation	utg1243:69684-70529
utg12476	1	12	22	function_dark_no_current_annotation	utg12476:1281-53658
utg1249	5	29	60	function_dark_no_current_annotation	utg1249:5080-196809
utg125	28	192	418	function_dark_no_current_annotation	utg125:4684-2107110
utg1251	1	13	38	function_dark_no_current_annotation	utg1251:3534-145514
utg1253	10	90	182	function_dark_no_current_annotation	utg1253:5022-586587
utg12551	3	41	80	function_dark_no_current_annotation	utg12551:3622-230066
utg12553	2	9	26	function_dark_no_current_annotation	utg12553:5666-87777
utg1256	6	30	58	function_dark_no_current_annotation	utg1256:1791-193954
utg125632	2	6	10	function_dark_no_current_annotation	utg125632:3955-28257
utg1257	1	11	20	function_dark_no_current_annotation	utg1257:21015-66947
utg126	15	170	417	function_dark_no_current_annotation	utg126:1112-1289203
utg12644	4	14	26	function_dark_no_current_annotation	utg12644:5531-71419
utg1265	1	5	8	function_dark_no_current_annotation	utg1265:1128-161479
utg12655	6	58	139	function_dark_no_current_annotation	utg12655:6920-376353
utg12688	1	28	60	function_dark_no_current_annotation	utg12688:2243-229720
utg1270	3	39	101	function_dark_no_current_annotation	utg1270:1821-383084
utg1271	19	110	218	function_dark_no_current_annotation	utg1271:707-838121
utg1272	17	185	441	function_dark_no_current_annotation	utg1272:1387-1388793
utg12724	2	18	34	function_dark_no_current_annotation	utg12724:562-91255
utg1277	1	50	150	function_dark_no_current_annotation	utg1277:263-362063
utg1278	9	89	236	function_dark_no_current_annotation	utg1278:12966-520957
utg1281	2	37	78	function_dark_no_current_annotation	utg1281:616-398760
utg1285	8	99	236	function_dark_no_current_annotation	utg1285:1406-698849
utg12875	1	29	58	function_dark_no_current_annotation	utg12875:23-222782
utg12878	1	6	12	function_dark_no_current_annotation	utg12878:3993-63338
utg12889	1	24	63	function_dark_no_current_annotation	utg12889:3908-249255
utg12897	4	25	50	function_dark_no_current_annotation	utg12897:9138-226868
utg129	8	94	202	function_dark_no_current_annotation	utg129:815-853721
utg1290	3	61	156	function_dark_no_current_annotation	utg1290:2001-669464
utg12900	1	14	26	function_dark_no_current_annotation	utg12900:18334-111952
utg129201	1	10	18	function_dark_no_current_annotation	utg129201:15565-82141
utg12937	1	8	16	function_dark_no_current_annotation	utg12937:1803-59110
utg12968	1	14	33	function_dark_no_current_annotation	utg12968:23741-189749
utg12986	3	75	173	function_dark_no_current_annotation	utg12986:478-612868
utg13	10	73	169	function_dark_no_current_annotation	utg13:3480-1270421
utg1302	3	32	62	function_dark_no_current_annotation	utg1302:16350-329648
utg13050	2	7	12	function_dark_no_current_annotation	utg13050:6580-58588
utg13091	2	16	32	function_dark_no_current_annotation	utg13091:5254-150700
utg1319	1	6	15	function_dark_no_current_annotation	utg1319:14408-41859
utg13276	2	7	14	function_dark_no_current_annotation	utg13276:1255-45548
utg1330	1	25	60	function_dark_no_current_annotation	utg1330:1539-359628
utg13322	7	14	26	function_dark_no_current_annotation	utg13322:2019-107696
utg13368	4	13	24	function_dark_no_current_annotation	utg13368:683-96290
utg1337	4	34	75	function_dark_no_current_annotation	utg1337:35053-423372
utg1345	12	87	182	function_dark_no_current_annotation	utg1345:8291-676715
utg1347	3	25	48	function_dark_no_current_annotation	utg1347:3774-207326
utg13474	7	39	76	function_dark_no_current_annotation	utg13474:16784-283848
utg13496	2	13	34	function_dark_no_current_annotation	utg13496:16900-229784
utg13510	1	19	39	function_dark_no_current_annotation	utg13510:2296-153725
utg1355	1	2	2	function_dark_no_current_annotation	utg1355:172096-172469
utg1358	6	46	123	function_dark_no_current_annotation	utg1358:7149-599680
utg13597	3	15	32	function_dark_no_current_annotation	utg13597:3754-52894
utg13607	1	10	18	function_dark_no_current_annotation	utg13607:11735-121668
utg1363	3	65	158	function_dark_no_current_annotation	utg1363:3162-474751
utg1372	1	27	54	function_dark_no_current_annotation	utg1372:7964-255993
utg13730	1	25	52	function_dark_no_current_annotation	utg13730:3318-337777
utg1378	6	30	64	function_dark_no_current_annotation	utg1378:578-172531
utg13793	3	34	74	function_dark_no_current_annotation	utg13793:11830-359757
utg1381	7	48	94	function_dark_no_current_annotation	utg1381:214-242980
utg138951	1	3	4	function_dark_no_current_annotation	utg138951:1518-9775
utg1395	10	62	130	function_dark_no_current_annotation	utg1395:10901-514151
utg13959	6	16	30	function_dark_no_current_annotation	utg13959:468-88236
utg1396	3	32	78	function_dark_no_current_annotation	utg1396:867-267913
utg1398	3	46	99	function_dark_no_current_annotation	utg1398:2537-276246
utg13981	3	30	58	function_dark_no_current_annotation	utg13981:23108-146824
utg139996	1	6	10	function_dark_no_current_annotation	utg139996:19490-53738
utg14	7	89	184	function_dark_no_current_annotation	utg14:1411-807703
utg14007	2	7	9	function_dark_no_current_annotation	utg14007:11213-58147
utg14021	10	48	94	function_dark_no_current_annotation	utg14021:4079-274270
utg1403	3	43	90	function_dark_no_current_annotation	utg1403:759-297958
utg1404	4	34	75	function_dark_no_current_annotation	utg1404:12754-340618
utg1416	1	16	30	function_dark_no_current_annotation	utg1416:9539-124932
utg14160	2	6	10	function_dark_no_current_annotation	utg14160:6220-42479
utg14280	1	2	2	function_dark_no_current_annotation	utg14280:116961-117196
utg14287	6	53	108	function_dark_no_current_annotation	utg14287:790-473742
utg1432	6	43	105	function_dark_no_current_annotation	utg1432:269-393271
utg14366	2	24	49	function_dark_no_current_annotation	utg14366:953-192054
utg144	11	87	191	function_dark_no_current_annotation	utg144:6342-989425
utg14412	1	2	2	function_dark_no_current_annotation	utg14412:32420-34588
utg145	10	88	186	function_dark_no_current_annotation	utg145:5582-643846
utg1450	1	5	8	function_dark_no_current_annotation	utg1450:5767-25987
utg1452	1	17	35	function_dark_no_current_annotation	utg1452:1325-111373
utg14533	6	32	64	function_dark_no_current_annotation	utg14533:7253-239115
utg1455	4	42	88	function_dark_no_current_annotation	utg1455:12009-427521
utg14556	1	10	18	function_dark_no_current_annotation	utg14556:853-65520
utg1459	1	16	30	function_dark_no_current_annotation	utg1459:1971-169787
utg146	5	33	88	function_dark_no_current_annotation	utg146:19897-222283
utg1463	1	35	78	function_dark_no_current_annotation	utg1463:1344-264076
utg1464	1	12	24	function_dark_no_current_annotation	utg1464:3206-142776
utg1465	9	66	130	function_dark_no_current_annotation	utg1465:6327-315143
utg1468	2	14	26	function_dark_no_current_annotation	utg1468:469-81806
utg14683	2	12	22	function_dark_no_current_annotation	utg14683:6116-44605
utg14731	4	31	60	function_dark_no_current_annotation	utg14731:1556-144137
utg1475	1	18	36	function_dark_no_current_annotation	utg1475:3454-211913
utg14892	1	10	20	function_dark_no_current_annotation	utg14892:1932-55541
utg14902	2	34	77	function_dark_no_current_annotation	utg14902:1411-201577
utg14913	5	19	36	function_dark_no_current_annotation	utg14913:53-106170
utg14923	4	13	24	function_dark_no_current_annotation	utg14923:1978-65186
utg1497	1	27	54	function_dark_no_current_annotation	utg1497:2076-224729
utg1498	4	16	36	function_dark_no_current_annotation	utg1498:14534-155622
utg150	7	100	262	function_dark_no_current_annotation	utg150:9291-896610
utg15013	2	30	85	function_dark_no_current_annotation	utg15013:7989-313847
utg15014	2	6	10	function_dark_no_current_annotation	utg15014:14146-40879
utg15156	2	28	76	function_dark_no_current_annotation	utg15156:897-315466
utg15164	3	54	112	function_dark_no_current_annotation	utg15164:571-434445
utg1517	4	31	60	function_dark_no_current_annotation	utg1517:321-129168
utg15197	2	30	58	function_dark_no_current_annotation	utg15197:7367-201591
utg152	8	74	196	function_dark_no_current_annotation	utg152:20591-749844
utg15210	1	23	44	function_dark_no_current_annotation	utg15210:13878-209408
utg15226	2	18	36	function_dark_no_current_annotation	utg15226:77-150482
utg15232	1	7	12	function_dark_no_current_annotation	utg15232:31073-57220
utg15244	1	2	2	function_dark_no_current_annotation	utg15244:28940-36749
utg1525	4	39	76	function_dark_no_current_annotation	utg1525:13218-385194
utg152524	1	9	18	function_dark_no_current_annotation	utg152524:1841-46423
utg15281	7	35	68	function_dark_no_current_annotation	utg15281:284-284483
utg1530	2	44	105	function_dark_no_current_annotation	utg1530:4005-486863
utg1542	2	48	114	function_dark_no_current_annotation	utg1542:917-406208
utg15427	2	11	20	function_dark_no_current_annotation	utg15427:9012-75294
utg15453	2	13	24	function_dark_no_current_annotation	utg15453:48-71188
utg15522	1	6	10	function_dark_no_current_annotation	utg15522:6693-116792
utg1555	3	51	134	function_dark_no_current_annotation	utg1555:648-311931
utg15552	1	21	42	function_dark_no_current_annotation	utg15552:4306-150004
utg15556	1	5	8	function_dark_no_current_annotation	utg15556:15325-46722
utg15578	2	8	14	function_dark_no_current_annotation	utg15578:245-32305
utg15585	3	4	6	function_dark_no_current_annotation	utg15585:141475-161315
utg15629	3	13	24	function_dark_no_current_annotation	utg15629:1048-82676
utg1563	1	5	8	function_dark_no_current_annotation	utg1563:11853-37059
utg1565	4	116	324	function_dark_no_current_annotation	utg1565:3122-956059
utg15686	2	7	14	function_dark_no_current_annotation	utg15686:524-29330
utg1569	3	9	16	function_dark_no_current_annotation	utg1569:1876-46245
utg157399	1	4	6	function_dark_no_current_annotation	utg157399:6578-20197
utg1575	3	42	92	function_dark_no_current_annotation	utg1575:38344-404483
utg1579	4	5	8	function_dark_no_current_annotation	utg1579:34230-299214
utg1581	1	2	2	function_dark_no_current_annotation	utg1581:80062-80784
utg15813	5	27	54	function_dark_no_current_annotation	utg15813:2749-145784
utg15832	1	11	20	function_dark_no_current_annotation	utg15832:7291-71136
utg15839	1	4	6	function_dark_no_current_annotation	utg15839:15336-41211
utg1588	1	2	2	function_dark_no_current_annotation	utg1588:28391-42487
utg1594	2	7	12	function_dark_no_current_annotation	utg1594:1845-97182
utg15941	1	9	16	function_dark_no_current_annotation	utg15941:86-37817
utg1596	1	4	6	function_dark_no_current_annotation	utg1596:8010-38679
utg15960	3	6	10	function_dark_no_current_annotation	utg15960:583-46424
utg159686	1	4	6	function_dark_no_current_annotation	utg159686:2375-36320
utg160	4	43	106	function_dark_no_current_annotation	utg160:1693-338382
utg16027	1	24	61	function_dark_no_current_annotation	utg16027:5893-161748
utg16030	4	16	30	function_dark_no_current_annotation	utg16030:5907-148004
utg16036	5	54	120	function_dark_no_current_annotation	utg16036:22886-335536
utg1609	7	93	238	function_dark_no_current_annotation	utg1609:4575-982892
utg16091	2	14	28	function_dark_no_current_annotation	utg16091:358-60671
utg16094	1	24	46	function_dark_no_current_annotation	utg16094:10071-124306
utg16180	2	9	16	function_dark_no_current_annotation	utg16180:13978-58455
utg162	6	72	162	function_dark_no_current_annotation	utg162:1807-670853
utg16223	4	35	72	function_dark_no_current_annotation	utg16223:13994-403370
utg162231	1	3	4	function_dark_no_current_annotation	utg162231:18535-38090
utg1623	7	40	82	function_dark_no_current_annotation	utg1623:1650-265271
utg16283	2	19	40	function_dark_no_current_annotation	utg16283:1531-130970
utg163	17	101	241	function_dark_no_current_annotation	utg163:9338-735801
utg16443	5	29	80	function_dark_no_current_annotation	utg16443:523-210042
utg16444	5	28	54	function_dark_no_current_annotation	utg16444:9751-247565
utg1645	4	22	42	function_dark_no_current_annotation	utg1645:3149-124825
utg1648	6	50	114	function_dark_no_current_annotation	utg1648:9594-450525
utg16484	1	4	6	function_dark_no_current_annotation	utg16484:29115-36115
utg1654	1	15	28	function_dark_no_current_annotation	utg1654:238-105171
utg1662	1	3	4	function_dark_no_current_annotation	utg1662:10471-61903
utg1663	10	65	158	function_dark_no_current_annotation	utg1663:7714-620252
utg166658	1	4	6	function_dark_no_current_annotation	utg166658:17374-39685
utg16690	1	2	2	function_dark_no_current_annotation	utg16690:71024-77568
utg167	6	26	50	function_dark_no_current_annotation	utg167:13257-184130
utg1683	11	72	187	function_dark_no_current_annotation	utg1683:756-496436
utg1684	3	21	55	function_dark_no_current_annotation	utg1684:53-153108
utg1686	1	19	42	function_dark_no_current_annotation	utg1686:2701-241047
utg169038	2	7	12	function_dark_no_current_annotation	utg169038:17730-34741
utg1691	5	35	70	function_dark_no_current_annotation	utg1691:7-326871
utg1694	11	73	171	function_dark_no_current_annotation	utg1694:3386-668257
utg1696	1	22	44	function_dark_no_current_annotation	utg1696:1531-127636
utg1698	1	18	34	function_dark_no_current_annotation	utg1698:4594-99307
utg1708	7	64	130	function_dark_no_current_annotation	utg1708:435-522370
utg17102	3	19	36	function_dark_no_current_annotation	utg17102:10120-116409
utg17181	2	20	38	function_dark_no_current_annotation	utg17181:380-78854
utg172	7	149	385	function_dark_no_current_annotation	utg172:2965-968473
utg1721	2	62	133	function_dark_no_current_annotation	utg1721:6331-676924
utg17212	1	14	28	function_dark_no_current_annotation	utg17212:497-99201
utg1724	1	26	50	function_dark_no_current_annotation	utg1724:617-122031
utg17293	3	15	28	function_dark_no_current_annotation	utg17293:747-128207
utg173190	3	9	16	function_dark_no_current_annotation	utg173190:2752-50340
utg1734	5	33	64	function_dark_no_current_annotation	utg1734:5369-174310
utg17372	1	2	2	function_dark_no_current_annotation	utg17372:155736-158256
utg1745	1	13	26	function_dark_no_current_annotation	utg1745:5066-93660
utg174599	1	5	8	function_dark_no_current_annotation	utg174599:11127-37891
utg1746	1	26	56	function_dark_no_current_annotation	utg1746:107-316467
utg1748	3	39	88	function_dark_no_current_annotation	utg1748:3060-338184
utg17508	2	6	14	function_dark_no_current_annotation	utg17508:8808-37722
utg17511	1	28	60	function_dark_no_current_annotation	utg17511:27686-333018
utg1754	4	59	118	function_dark_no_current_annotation	utg1754:16783-446892
utg17555	1	5	8	function_dark_no_current_annotation	utg17555:1327-40335
utg17588	2	14	26	function_dark_no_current_annotation	utg17588:1701-117121
utg17602	2	17	32	function_dark_no_current_annotation	utg17602:4795-195291
utg17612	10	39	76	function_dark_no_current_annotation	utg17612:4277-201755
utg1765	8	31	85	function_dark_no_current_annotation	utg1765:779-219745
utg17667	1	6	10	function_dark_no_current_annotation	utg17667:52-48225
utg178	8	66	149	function_dark_no_current_annotation	utg178:305-525416
utg17809	1	16	33	function_dark_no_current_annotation	utg17809:4181-169583
utg1781	5	70	146	function_dark_no_current_annotation	utg1781:469-551431
utg1786	2	40	109	function_dark_no_current_annotation	utg1786:1740-445252
utg1796	6	27	52	function_dark_no_current_annotation	utg1796:33049-273891
utg1799	5	16	32	function_dark_no_current_annotation	utg1799:3736-131031
utg17994	2	18	40	function_dark_no_current_annotation	utg17994:222-107249
utg18	14	80	195	function_dark_no_current_annotation	utg18:7935-727975
utg180	5	77	197	function_dark_no_current_annotation	utg180:1171-846024
utg1800	3	35	72	function_dark_no_current_annotation	utg1800:836-405222
utg18019	1	14	28	function_dark_no_current_annotation	utg18019:3859-147359
utg18028	5	34	70	function_dark_no_current_annotation	utg18028:1216-249531
utg18036	1	19	36	function_dark_no_current_annotation	utg18036:24593-160347
utg18063	1	4	6	function_dark_no_current_annotation	utg18063:118-25887
utg181	3	28	62	function_dark_no_current_annotation	utg181:4655-307999
utg18118	3	23	44	function_dark_no_current_annotation	utg18118:32174-167326
utg18125	5	22	44	function_dark_no_current_annotation	utg18125:7264-231873
utg1818	2	38	80	function_dark_no_current_annotation	utg1818:2261-393000
utg1819	4	55	112	function_dark_no_current_annotation	utg1819:9644-489927
utg18228	1	6	10	function_dark_no_current_annotation	utg18228:4755-65132
utg18233	1	2	2	function_dark_no_current_annotation	utg18233:86171-87012
utg1825	10	73	188	function_dark_no_current_annotation	utg1825:4364-956280
utg1828	4	28	54	function_dark_no_current_annotation	utg1828:448-192169
utg18294	2	48	102	function_dark_no_current_annotation	utg18294:24-370955
utg183	5	45	104	function_dark_no_current_annotation	utg183:7118-373100
utg18409	2	15	32	function_dark_no_current_annotation	utg18409:3171-212679
utg1846	16	103	260	function_dark_no_current_annotation	utg1846:3352-926556
utg18506	5	13	24	function_dark_no_current_annotation	utg18506:2567-89169
utg18553	3	24	50	function_dark_no_current_annotation	utg18553:11994-233361
utg186	1	22	44	function_dark_no_current_annotation	utg186:5558-310444
utg18622	1	5	10	function_dark_no_current_annotation	utg18622:3062-79075
utg18633	5	27	52	function_dark_no_current_annotation	utg18633:3178-157717
utg18650	3	18	34	function_dark_no_current_annotation	utg18650:6308-62519
utg1866	3	32	64	function_dark_no_current_annotation	utg1866:6393-199611
utg18686	4	35	68	function_dark_no_current_annotation	utg18686:4975-182039
utg18855	1	13	26	function_dark_no_current_annotation	utg18855:3845-131949
utg1890	4	20	42	function_dark_no_current_annotation	utg1890:6442-270459
utg18927	6	41	82	function_dark_no_current_annotation	utg18927:6920-246788
utg18932	4	5	8	function_dark_no_current_annotation	utg18932:8786-71926
utg1897	7	124	264	function_dark_no_current_annotation	utg1897:2770-887320
utg190	10	83	191	function_dark_no_current_annotation	utg190:1454-621442
utg1900	5	54	143	function_dark_no_current_annotation	utg1900:1194-344635
utg19074	1	27	63	function_dark_no_current_annotation	utg19074:649-314521
utg1910	12	112	312	function_dark_no_current_annotation	utg1910:1703-745844
utg1918	2	18	36	function_dark_no_current_annotation	utg1918:2292-151574
utg1919	12	118	298	function_dark_no_current_annotation	utg1919:2442-940891
utg192	17	92	184	function_dark_no_current_annotation	utg192:389-698688
utg1923	1	14	37	function_dark_no_current_annotation	utg1923:7106-140851
utg1925	6	64	165	function_dark_no_current_annotation	utg1925:183-551981
utg1931	11	101	253	function_dark_no_current_annotation	utg1931:7619-869414
utg19356	1	15	28	function_dark_no_current_annotation	utg19356:837-105186
utg1936	5	22	42	function_dark_no_current_annotation	utg1936:16992-222006
utg19396	1	7	12	function_dark_no_current_annotation	utg19396:10698-59191
utg194	3	109	278	function_dark_no_current_annotation	utg194:1697-833899
utg19545	1	7	12	function_dark_no_current_annotation	utg19545:1473-54716
utg19590	3	17	32	function_dark_no_current_annotation	utg19590:19612-120907
utg19612	1	8	14	function_dark_no_current_annotation	utg19612:11976-123116
utg1962	4	49	119	function_dark_no_current_annotation	utg1962:4775-324303
utg19673	4	24	46	function_dark_no_current_annotation	utg19673:3192-205722
utg1972	2	131	346	function_dark_no_current_annotation	utg1972:1606-1040722
utg1982	3	31	60	function_dark_no_current_annotation	utg1982:18293-141558
utg19866	3	27	68	function_dark_no_current_annotation	utg19866:2508-229601
utg1995	2	16	30	function_dark_no_current_annotation	utg1995:12364-88452
utg2007	5	60	144	function_dark_no_current_annotation	utg2007:2777-547164
utg20076	5	16	30	function_dark_no_current_annotation	utg20076:4638-93483
utg20090	2	10	18	function_dark_no_current_annotation	utg20090:3133-39462
utg2012	2	31	64	function_dark_no_current_annotation	utg2012:7975-247372
utg2013	3	23	44	function_dark_no_current_annotation	utg2013:466-140917
utg2016	1	12	26	function_dark_no_current_annotation	utg2016:10479-83494
utg2017	3	50	112	function_dark_no_current_annotation	utg2017:1102-459081
utg2018	2	32	86	function_dark_no_current_annotation	utg2018:13610-336860
utg20197	3	8	14	function_dark_no_current_annotation	utg20197:13419-114593
utg2024	13	32	64	function_dark_no_current_annotation	utg2024:20837-586286
utg203	13	150	321	function_dark_no_current_annotation	utg203:9386-1352935
utg2045	2	17	32	function_dark_no_current_annotation	utg2045:13875-150967
utg20635	1	2	2	function_dark_no_current_annotation	utg20635:152360-153381
utg20678	4	24	48	function_dark_no_current_annotation	utg20678:1586-148554
utg20679	1	8	14	function_dark_no_current_annotation	utg20679:9081-65203
utg207	17	147	360	function_dark_no_current_annotation	utg207:9719-1563816
utg2070	2	13	36	function_dark_no_current_annotation	utg2070:8662-108911
utg2071	13	90	195	function_dark_no_current_annotation	utg2071:8659-766485
utg2073	11	59	131	function_dark_no_current_annotation	utg2073:452-492069
utg20736	1	17	42	function_dark_no_current_annotation	utg20736:3535-93447
utg20788	2	10	18	function_dark_no_current_annotation	utg20788:692-116463
utg20813	9	28	54	function_dark_no_current_annotation	utg20813:13138-250391
utg2083	7	74	194	function_dark_no_current_annotation	utg2083:1672-630165
utg209	6	68	137	function_dark_no_current_annotation	utg209:54-536765
utg209609	1	7	12	function_dark_no_current_annotation	utg209609:8816-25888
utg2097	4	37	72	function_dark_no_current_annotation	utg2097:6517-305265
utg2099	9	84	226	function_dark_no_current_annotation	utg2099:7578-582234
utg2100	7	52	114	function_dark_no_current_annotation	utg2100:1470-466679
utg2108	2	51	110	function_dark_no_current_annotation	utg2108:2427-390954
utg21085	1	10	18	function_dark_no_current_annotation	utg21085:4302-24986
utg2110	1	9	16	function_dark_no_current_annotation	utg2110:150-57116
utg2115	2	38	79	function_dark_no_current_annotation	utg2115:2163-296033
utg21228	2	30	62	function_dark_no_current_annotation	utg21228:1150-196502
utg2123	5	49	107	function_dark_no_current_annotation	utg2123:647-560515
utg2129	12	210	517	function_dark_no_current_annotation	utg2129:123-1764365
utg213	2	26	54	function_dark_no_current_annotation	utg213:6746-277074
utg214	10	77	170	function_dark_no_current_annotation	utg214:258-727955
utg2155	3	11	24	function_dark_no_current_annotation	utg2155:19101-156237
utg2156	4	48	125	function_dark_no_current_annotation	utg2156:4092-512123
utg21580	1	2	2	function_dark_no_current_annotation	utg21580:43363-43983
utg2159	6	47	101	function_dark_no_current_annotation	utg2159:9111-487820
utg216	1	23	53	function_dark_no_current_annotation	utg216:481-225653
utg217	7	57	158	function_dark_no_current_annotation	utg217:4477-419858
utg21766	1	43	99	function_dark_no_current_annotation	utg21766:1169-292130
utg2185	1	2	2	function_dark_no_current_annotation	utg2185:74985-77602
utg21873	2	24	46	function_dark_no_current_annotation	utg21873:3394-112884
