dark_cluster_id	representative_id	candidate_id	cluster_size	cluster_members	cluster_method
dark_cluster_000012	utg542.equina_smart_1888803.mrna2	utg542.equina_smart_1888803.mrna2	1	utg542.equina_smart_1888803.mrna2	exact_python_fallback
dark_cluster_000013	utg1079.equina_smart_1888803.mrna3	utg1079.equina_smart_1888803.mrna3	1	utg1079.equina_smart_1888803.mrna3	exact_python_fallback
dark_cluster_000014	utg144.equina_smart_793647.mrna1	utg144.equina_smart_793647.mrna1	1	utg144.equina_smart_793647.mrna1	exact_python_fallback
dark_cluster_000015	evm.utg4607.24	evm.utg4607.24	1	evm.utg4607.24	exact_python_fallback
dark_cluster_000016	evm.utg14366.20	evm.utg14366.20	2	evm.utg14366.20;evm.utg14366.23	exact_python_fallback
dark_cluster_000016	evm.utg14366.20	evm.utg14366.23	2	evm.utg14366.20;evm.utg14366.23	exact_python_fallback
dark_cluster_000017	utg7145.equina_smart_823821.mrna1	utg7145.equina_smart_823821.mrna1	1	utg7145.equina_smart_823821.mrna1	exact_python_fallback
dark_cluster_000018	utg5996.equina_smart_961746.mrna2	utg5996.equina_smart_961746.mrna2	1	utg5996.equina_smart_961746.mrna2	exact_python_fallback
dark_cluster_000019	evm.utg16443.25	evm.utg16443.25	1	evm.utg16443.25	exact_python_fallback
dark_cluster_000020	utg29536.equina_smart_1767923.mrna2	utg29536.equina_smart_1767923.mrna2	1	utg29536.equina_smart_1767923.mrna2	exact_python_fallback
dark_cluster_000021	evm.utg7652.5	evm.utg7652.5	1	evm.utg7652.5	exact_python_fallback
dark_cluster_000022	utg64.equina_smart_363863.mrna1	utg64.equina_smart_363863.mrna1	1	utg64.equina_smart_363863.mrna1	exact_python_fallback
dark_cluster_000023	utg1236.equina_smart_1597874.mrna6	utg1236.equina_smart_1597874.mrna6	1	utg1236.equina_smart_1597874.mrna6	exact_python_fallback
dark_cluster_000024	utg1799.equina_smart_1597874.mrna1	utg1799.equina_smart_1597874.mrna1	3	utg1799.equina_smart_1597874.mrna1;utg1799.equina_smart_1597874.mrna2;utg5367.equina_smart_1597874.mrna3	exact_python_fallback
dark_cluster_000024	utg1799.equina_smart_1597874.mrna1	utg1799.equina_smart_1597874.mrna2	3	utg1799.equina_smart_1597874.mrna1;utg1799.equina_smart_1597874.mrna2;utg5367.equina_smart_1597874.mrna3	exact_python_fallback
dark_cluster_000024	utg1799.equina_smart_1597874.mrna1	utg5367.equina_smart_1597874.mrna3	3	utg1799.equina_smart_1597874.mrna1;utg1799.equina_smart_1597874.mrna2;utg5367.equina_smart_1597874.mrna3	exact_python_fallback
dark_cluster_000025	evm.utg5885.20	evm.utg5885.20	4	evm.utg5885.20;evm.utg5885.59;evm.utg5885.89;evm.utg5885.91	exact_python_fallback
dark_cluster_000025	evm.utg5885.20	evm.utg5885.59	4	evm.utg5885.20;evm.utg5885.59;evm.utg5885.89;evm.utg5885.91	exact_python_fallback
dark_cluster_000025	evm.utg5885.20	evm.utg5885.89	4	evm.utg5885.20;evm.utg5885.59;evm.utg5885.89;evm.utg5885.91	exact_python_fallback
dark_cluster_000025	evm.utg5885.20	evm.utg5885.91	4	evm.utg5885.20;evm.utg5885.59;evm.utg5885.89;evm.utg5885.91	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.14	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.39	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.4	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.48	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.5	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.59	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.67	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000026	evm.utg3443.14	evm.utg3443.72	8	evm.utg3443.14;evm.utg3443.39;evm.utg3443.4;evm.utg3443.48;evm.utg3443.5;evm.utg3443.59;evm.utg3443.67;evm.utg3443.72	exact_python_fallback
dark_cluster_000027	evm.utg10069.4	evm.utg10069.4	1	evm.utg10069.4	exact_python_fallback
dark_cluster_000028	evm.utg560.14	evm.utg560.14	2	evm.utg560.14;evm.utg560.9	exact_python_fallback
dark_cluster_000028	evm.utg560.14	evm.utg560.9	2	evm.utg560.14;evm.utg560.9	exact_python_fallback
dark_cluster_000029	evm.utg12336.33	evm.utg12336.33	1	evm.utg12336.33	exact_python_fallback
dark_cluster_000030	evm.utg2013.14	evm.utg2013.14	2	evm.utg2013.14;evm.utg2013.20	exact_python_fallback
dark_cluster_000030	evm.utg2013.14	evm.utg2013.20	2	evm.utg2013.14;evm.utg2013.20	exact_python_fallback
dark_cluster_000031	evm.utg129.42	evm.utg129.42	4	evm.utg129.42;evm.utg129.50;evm.utg129.71;evm.utg129.73	exact_python_fallback
dark_cluster_000031	evm.utg129.42	evm.utg129.50	4	evm.utg129.42;evm.utg129.50;evm.utg129.71;evm.utg129.73	exact_python_fallback
dark_cluster_000031	evm.utg129.42	evm.utg129.71	4	evm.utg129.42;evm.utg129.50;evm.utg129.71;evm.utg129.73	exact_python_fallback
dark_cluster_000031	evm.utg129.42	evm.utg129.73	4	evm.utg129.42;evm.utg129.50;evm.utg129.71;evm.utg129.73	exact_python_fallback
dark_cluster_000032	evm.utg8672.7	evm.utg8672.7	1	evm.utg8672.7	exact_python_fallback
dark_cluster_000033	utg891.equina_smart_1824870.mrna5	utg891.equina_smart_1824870.mrna5	1	utg891.equina_smart_1824870.mrna5	exact_python_fallback
dark_cluster_000034	utg162.evm.utg7234.5.1.5c22f393.1.5c27974f.mrna3	utg162.evm.utg7234.5.1.5c22f393.1.5c27974f.mrna3	1	utg162.evm.utg7234.5.1.5c22f393.1.5c27974f.mrna3	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.133	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.161	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.177	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.178	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.21	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.222	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.42	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.47	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.77	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.8	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.89	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000035	evm.utg324.133	evm.utg324.92	12	evm.utg324.133;evm.utg324.161;evm.utg324.177;evm.utg324.178;evm.utg324.21;evm.utg324.222;evm.utg324.42;evm.utg324.47;evm.utg324.77;evm.utg324.8;evm.utg324.89;evm.utg324.92	exact_python_fallback
dark_cluster_000036	utg4046.equina_smart_1453245.mrna1	utg4046.equina_smart_1453245.mrna1	1	utg4046.equina_smart_1453245.mrna1	exact_python_fallback
dark_cluster_000037	utg597.equina_smart_230871.mrna1	utg597.equina_smart_230871.mrna1	1	utg597.equina_smart_230871.mrna1	exact_python_fallback
dark_cluster_000038	utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.mrna1	1	utg203.equina_smart_1403064.mrna1	exact_python_fallback
dark_cluster_000039	utg9561.equina_smart_1466778.mrna1	utg9561.equina_smart_1466778.mrna1	1	utg9561.equina_smart_1466778.mrna1	exact_python_fallback
dark_cluster_000040	evm.utg4604.17	evm.utg4604.17	1	evm.utg4604.17	exact_python_fallback
dark_cluster_000041	evm.utg45865.6	evm.utg45865.6	1	evm.utg45865.6	exact_python_fallback
dark_cluster_000042	evm.utg27318.7	evm.utg27318.7	1	evm.utg27318.7	exact_python_fallback
dark_cluster_000043	utg245.equina_smart_21613.mrna1	utg245.equina_smart_21613.mrna1	1	utg245.equina_smart_21613.mrna1	exact_python_fallback
dark_cluster_000044	utg1137.equina_smart_711747.mrna5	utg1137.equina_smart_711747.mrna5	1	utg1137.equina_smart_711747.mrna5	exact_python_fallback
dark_cluster_000045	utg1101.equina_smart_711747.mrna7	utg1101.equina_smart_711747.mrna7	1	utg1101.equina_smart_711747.mrna7	exact_python_fallback
dark_cluster_000046	evm.utg456.7	evm.utg456.7	1	evm.utg456.7	exact_python_fallback
dark_cluster_000047	utg382.equina_smart_263936.mrna1	utg382.equina_smart_263936.mrna1	1	utg382.equina_smart_263936.mrna1	exact_python_fallback
dark_cluster_000048	evm.utg34691.19	evm.utg34691.19	3	evm.utg34691.19;evm.utg34691.20;evm.utg34691.7	exact_python_fallback
dark_cluster_000048	evm.utg34691.19	evm.utg34691.20	3	evm.utg34691.19;evm.utg34691.20;evm.utg34691.7	exact_python_fallback
dark_cluster_000048	evm.utg34691.19	evm.utg34691.7	3	evm.utg34691.19;evm.utg34691.20;evm.utg34691.7	exact_python_fallback
dark_cluster_000049	evm.utg1140.8	evm.utg1140.8	1	evm.utg1140.8	exact_python_fallback
dark_cluster_000050	utg348.equina_smart_991203.mrna1	utg348.equina_smart_991203.mrna1	1	utg348.equina_smart_991203.mrna1	exact_python_fallback
dark_cluster_000051	utg6834.equina_smart_1461561.mrna1	utg6834.equina_smart_1461561.mrna1	1	utg6834.equina_smart_1461561.mrna1	exact_python_fallback
dark_cluster_000052	evm.utg7217.50	evm.utg7217.50	1	evm.utg7217.50	exact_python_fallback
dark_cluster_000053	utg544.equina_smart_1392946.mrna2	utg544.equina_smart_1392946.mrna2	1	utg544.equina_smart_1392946.mrna2	exact_python_fallback
dark_cluster_000054	evm.utg28077.1	evm.utg28077.1	3	evm.utg28077.1;evm.utg28077.5;evm.utg28077.7	exact_python_fallback
dark_cluster_000054	evm.utg28077.1	evm.utg28077.5	3	evm.utg28077.1;evm.utg28077.5;evm.utg28077.7	exact_python_fallback
dark_cluster_000054	evm.utg28077.1	evm.utg28077.7	3	evm.utg28077.1;evm.utg28077.5;evm.utg28077.7	exact_python_fallback
dark_cluster_000055	evm.utg413.14	evm.utg413.14	2	evm.utg413.14;evm.utg413.22	exact_python_fallback
dark_cluster_000055	evm.utg413.14	evm.utg413.22	2	evm.utg413.14;evm.utg413.22	exact_python_fallback
dark_cluster_000056	evm.utg3753.62	evm.utg3753.62	1	evm.utg3753.62	exact_python_fallback
dark_cluster_000057	evm.utg1270.21	evm.utg1270.21	1	evm.utg1270.21	exact_python_fallback
dark_cluster_000058	utg1931.equina_smart_1119346.mrna1	utg1931.equina_smart_1119346.mrna1	1	utg1931.equina_smart_1119346.mrna1	exact_python_fallback
dark_cluster_000059	utg150.equina_smart_1119346.mrna2	utg150.equina_smart_1119346.mrna2	1	utg150.equina_smart_1119346.mrna2	exact_python_fallback
dark_cluster_000060	evm.utg160.10	evm.utg160.10	4	evm.utg160.10;evm.utg160.34;evm.utg160.35;evm.utg160.40	exact_python_fallback
dark_cluster_000060	evm.utg160.10	evm.utg160.34	4	evm.utg160.10;evm.utg160.34;evm.utg160.35;evm.utg160.40	exact_python_fallback
dark_cluster_000060	evm.utg160.10	evm.utg160.35	4	evm.utg160.10;evm.utg160.34;evm.utg160.35;evm.utg160.40	exact_python_fallback
dark_cluster_000060	evm.utg160.10	evm.utg160.40	4	evm.utg160.10;evm.utg160.34;evm.utg160.35;evm.utg160.40	exact_python_fallback
dark_cluster_000061	utg3906.equina_smart_1453000.mrna1	utg3906.equina_smart_1453000.mrna1	1	utg3906.equina_smart_1453000.mrna1	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.11	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.21	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.22	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.37	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.41	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000062	evm.utg734.11	evm.utg734.47	6	evm.utg734.11;evm.utg734.21;evm.utg734.22;evm.utg734.37;evm.utg734.41;evm.utg734.47	exact_python_fallback
dark_cluster_000063	evm.utg2529.31	evm.utg2529.31	1	evm.utg2529.31	exact_python_fallback
dark_cluster_000064	evm.utg16444.15	evm.utg16444.15	3	evm.utg16444.15;evm.utg16444.25;evm.utg16444.4	exact_python_fallback
dark_cluster_000064	evm.utg16444.15	evm.utg16444.25	3	evm.utg16444.15;evm.utg16444.25;evm.utg16444.4	exact_python_fallback
dark_cluster_000064	evm.utg16444.15	evm.utg16444.4	3	evm.utg16444.15;evm.utg16444.25;evm.utg16444.4	exact_python_fallback
dark_cluster_000065	evm.utg9602.31	evm.utg9602.31	1	evm.utg9602.31	exact_python_fallback
dark_cluster_000066	evm.utg18063.3	evm.utg18063.3	1	evm.utg18063.3	exact_python_fallback
dark_cluster_000067	evm.utg761.6	evm.utg761.6	1	evm.utg761.6	exact_python_fallback
dark_cluster_000068	evm.utg382.17	evm.utg382.17	1	evm.utg382.17	exact_python_fallback
dark_cluster_000069	evm.utg109.74	evm.utg109.74	1	evm.utg109.74	exact_python_fallback
dark_cluster_000070	evm.utg203.137	evm.utg203.137	2	evm.utg203.137;evm.utg203.41	exact_python_fallback
dark_cluster_000070	evm.utg203.137	evm.utg203.41	2	evm.utg203.137;evm.utg203.41	exact_python_fallback
dark_cluster_000071	evm.utg2379.16	evm.utg2379.16	1	evm.utg2379.16	exact_python_fallback
dark_cluster_000072	evm.utg334.13	evm.utg334.13	1	evm.utg334.13	exact_python_fallback
dark_cluster_000073	evm.utg577.27	evm.utg577.27	1	evm.utg577.27	exact_python_fallback
dark_cluster_000074	evm.utg209609.5	evm.utg209609.5	1	evm.utg209609.5	exact_python_fallback
dark_cluster_000075	evm.utg1143.34	evm.utg1143.34	1	evm.utg1143.34	exact_python_fallback
dark_cluster_000076	evm.utg1137.51	evm.utg1137.51	1	evm.utg1137.51	exact_python_fallback
dark_cluster_000077	evm.utg32914.1	evm.utg32914.1	1	evm.utg32914.1	exact_python_fallback
dark_cluster_000078	evm.utg34096.6	evm.utg34096.6	1	evm.utg34096.6	exact_python_fallback
dark_cluster_000079	evm.utg549.12	evm.utg549.12	1	evm.utg549.12	exact_python_fallback
dark_cluster_000080	evm.utg1846.31	evm.utg1846.31	1	evm.utg1846.31	exact_python_fallback
dark_cluster_000081	utg225.equina_smart_1124481.mrna2	utg225.equina_smart_1124481.mrna2	1	utg225.equina_smart_1124481.mrna2	exact_python_fallback
dark_cluster_000082	evm.utg2367.9	evm.utg2367.9	1	evm.utg2367.9	exact_python_fallback
dark_cluster_000083	evm.utg2299.18	evm.utg2299.18	2	evm.utg2299.18;evm.utg2299.6	exact_python_fallback
dark_cluster_000083	evm.utg2299.18	evm.utg2299.6	2	evm.utg2299.18;evm.utg2299.6	exact_python_fallback
dark_cluster_000084	evm.utg7522.59	evm.utg7522.59	1	evm.utg7522.59	exact_python_fallback
dark_cluster_000085	evm.utg1819.34	evm.utg1819.34	3	evm.utg1819.34;evm.utg1819.35;evm.utg1819.52	exact_python_fallback
dark_cluster_000085	evm.utg1819.34	evm.utg1819.35	3	evm.utg1819.34;evm.utg1819.35;evm.utg1819.52	exact_python_fallback
dark_cluster_000085	evm.utg1819.34	evm.utg1819.52	3	evm.utg1819.34;evm.utg1819.35;evm.utg1819.52	exact_python_fallback
dark_cluster_000086	evm.utg4428.17	evm.utg4428.17	2	evm.utg4428.17;evm.utg4428.7	exact_python_fallback
dark_cluster_000086	evm.utg4428.17	evm.utg4428.7	2	evm.utg4428.17;evm.utg4428.7	exact_python_fallback
dark_cluster_000087	evm.utg6924.23	evm.utg6924.23	2	evm.utg6924.23;evm.utg6924.34	exact_python_fallback
dark_cluster_000087	evm.utg6924.23	evm.utg6924.34	2	evm.utg6924.23;evm.utg6924.34	exact_python_fallback
dark_cluster_000088	evm.utg2071.18	evm.utg2071.18	1	evm.utg2071.18	exact_python_fallback
dark_cluster_000089	evm.utg117.9	evm.utg117.9	1	evm.utg117.9	exact_python_fallback
dark_cluster_000090	evm.utg11494.12	evm.utg11494.12	2	evm.utg11494.12;evm.utg11494.2	exact_python_fallback
dark_cluster_000090	evm.utg11494.12	evm.utg11494.2	2	evm.utg11494.12;evm.utg11494.2	exact_python_fallback
dark_cluster_000091	evm.utg431.37	evm.utg431.37	1	evm.utg431.37	exact_python_fallback
dark_cluster_000092	evm.utg18553.5	evm.utg18553.5	2	evm.utg18553.5;evm.utg18553.9	exact_python_fallback
dark_cluster_000092	evm.utg18553.5	evm.utg18553.9	2	evm.utg18553.5;evm.utg18553.9	exact_python_fallback
dark_cluster_000093	evm.utg10470.36	evm.utg10470.36	1	evm.utg10470.36	exact_python_fallback
dark_cluster_000094	evm.utg2303.52	evm.utg2303.52	1	evm.utg2303.52	exact_python_fallback
dark_cluster_000095	evm.utg10588.6	evm.utg10588.6	1	evm.utg10588.6	exact_python_fallback
dark_cluster_000096	evm.utg7403.3	evm.utg7403.3	1	evm.utg7403.3	exact_python_fallback
dark_cluster_000097	evm.utg126.60	evm.utg126.60	1	evm.utg126.60	exact_python_fallback
dark_cluster_000098	evm.utg4977.1	evm.utg4977.1	2	evm.utg4977.1;evm.utg4977.6	exact_python_fallback
dark_cluster_000098	evm.utg4977.1	evm.utg4977.6	2	evm.utg4977.1;evm.utg4977.6	exact_python_fallback
dark_cluster_000099	evm.utg7289.1	evm.utg7289.1	1	evm.utg7289.1	exact_python_fallback
dark_cluster_000100	evm.utg259.10	evm.utg259.10	1	evm.utg259.10	exact_python_fallback
dark_cluster_000101	evm.utg4879.2	evm.utg4879.2	1	evm.utg4879.2	exact_python_fallback
dark_cluster_000102	evm.utg217.22	evm.utg217.22	4	evm.utg217.22;evm.utg217.24;evm.utg217.25;evm.utg217.26	exact_python_fallback
dark_cluster_000102	evm.utg217.22	evm.utg217.24	4	evm.utg217.22;evm.utg217.24;evm.utg217.25;evm.utg217.26	exact_python_fallback
dark_cluster_000102	evm.utg217.22	evm.utg217.25	4	evm.utg217.22;evm.utg217.24;evm.utg217.25;evm.utg217.26	exact_python_fallback
dark_cluster_000102	evm.utg217.22	evm.utg217.26	4	evm.utg217.22;evm.utg217.24;evm.utg217.25;evm.utg217.26	exact_python_fallback
dark_cluster_000103	evm.utg16180.1	evm.utg16180.1	1	evm.utg16180.1	exact_python_fallback
dark_cluster_000104	evm.utg293.32	evm.utg293.32	1	evm.utg293.32	exact_python_fallback
dark_cluster_000105	evm.utg221.20	evm.utg221.20	2	evm.utg221.20;evm.utg221.38	exact_python_fallback
dark_cluster_000105	evm.utg221.20	evm.utg221.38	2	evm.utg221.20;evm.utg221.38	exact_python_fallback
dark_cluster_000106	utg8494.equina_smart_1464943.mrna1	utg8494.equina_smart_1464943.mrna1	1	utg8494.equina_smart_1464943.mrna1	exact_python_fallback
dark_cluster_000107	utg31256.equina_smart_1477605.mrna1	utg31256.equina_smart_1477605.mrna1	1	utg31256.equina_smart_1477605.mrna1	exact_python_fallback
dark_cluster_000108	evm.utg7412.30	evm.utg7412.30	1	evm.utg7412.30	exact_python_fallback
dark_cluster_000109	evm.utg5290.18	evm.utg5290.18	1	evm.utg5290.18	exact_python_fallback
dark_cluster_000110	evm.utg52.84	evm.utg52.84	1	evm.utg52.84	exact_python_fallback
dark_cluster_000111	evm.utg8494.2	evm.utg8494.2	5	evm.utg8494.2;evm.utg8494.21;evm.utg8494.38;evm.utg8494.88;evm.utg8494.97	exact_python_fallback
dark_cluster_000111	evm.utg8494.2	evm.utg8494.21	5	evm.utg8494.2;evm.utg8494.21;evm.utg8494.38;evm.utg8494.88;evm.utg8494.97	exact_python_fallback
dark_cluster_000111	evm.utg8494.2	evm.utg8494.38	5	evm.utg8494.2;evm.utg8494.21;evm.utg8494.38;evm.utg8494.88;evm.utg8494.97	exact_python_fallback
dark_cluster_000111	evm.utg8494.2	evm.utg8494.88	5	evm.utg8494.2;evm.utg8494.21;evm.utg8494.38;evm.utg8494.88;evm.utg8494.97	exact_python_fallback
dark_cluster_000111	evm.utg8494.2	evm.utg8494.97	5	evm.utg8494.2;evm.utg8494.21;evm.utg8494.38;evm.utg8494.88;evm.utg8494.97	exact_python_fallback
dark_cluster_000112	evm.utg56260.1	evm.utg56260.1	2	evm.utg56260.1;evm.utg56260.2	exact_python_fallback
dark_cluster_000112	evm.utg56260.1	evm.utg56260.2	2	evm.utg56260.1;evm.utg56260.2	exact_python_fallback
dark_cluster_000113	evm.utg279.3	evm.utg279.3	1	evm.utg279.3	exact_python_fallback
dark_cluster_000114	evm.utg542.23	evm.utg542.23	1	evm.utg542.23	exact_python_fallback
dark_cluster_000115	evm.utg1662.1	evm.utg1662.1	1	evm.utg1662.1	exact_python_fallback
dark_cluster_000116	evm.utg456.20	evm.utg456.20	1	evm.utg456.20	exact_python_fallback
dark_cluster_000117	evm.utg4695.41	evm.utg4695.41	1	evm.utg4695.41	exact_python_fallback
dark_cluster_000118	evm.utg4613.43	evm.utg4613.43	1	evm.utg4613.43	exact_python_fallback
dark_cluster_000119	evm.utg1345.27	evm.utg1345.27	1	evm.utg1345.27	exact_python_fallback
