# BUSCO version is: 5.3.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2024-01-08, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
65302at33208	Complete	utg1378.equina_smart_123138.mrna2	1517.4	1007	https://v10-1.orthodb.org/?query=65302at33208	DNA damage-binding protein 1
66018at33208	Complete	evm.utg116.355	1590.9	869	https://v10-1.orthodb.org/?query=66018at33208	DNA2/NAM7 helicase, AAA domain
75406at33208	Complete	evm.utg432.77	545.9	498	https://v10-1.orthodb.org/?query=75406at33208	Tetratricopeptide repeat
76852at33208	Duplicated	evm.utg1005.32.1.5c22e7a7	899.0	873	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	evm.utg1005.32	897.9	898	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
76852at33208	Duplicated	evm.utg78.12	895.6	865	https://v10-1.orthodb.org/?query=76852at33208	TRAPP III complex, Trs85
84980at33208	Duplicated	evm.utg18726.18	894.4	568	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
84980at33208	Duplicated	evm.utg378.175	894.1	567	https://v10-1.orthodb.org/?query=84980at33208	26S proteasome non-ATPase regulatory subunit 1
88053at33208	Duplicated	evm.utg1087.20	529.3	540	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	evm.utg1087.20.1.5c22e86f	529.3	540	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	evm.utg1087.20.2.5c22e86f	528.7	540	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
88053at33208	Duplicated	evm.utg1087.20.3.5c22e86f	474.3	473	https://v10-1.orthodb.org/?query=88053at33208	Exocyst complex component 2
92367at33208	Duplicated	evm.utg55.185.1.5c22f22c	400.3	571	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
92367at33208	Duplicated	evm.utg55.185	400.1	570	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
92367at33208	Duplicated	evm.utg55.185.2.5c22f22c	390.1	469	https://v10-1.orthodb.org/?query=92367at33208	WD40 repeat
99614at33208	Duplicated	evm.utg12986.12	1425.6	937	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99614at33208	Duplicated	evm.utg1398.44	1329.1	861	https://v10-1.orthodb.org/?query=99614at33208	WASH complex, subunit strumpellin
99987at33208	Duplicated	evm.utg6220.15	692.9	540	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
99987at33208	Duplicated	evm.utg6220.15.1.5c22f2e5	692.9	540	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
99987at33208	Duplicated	evm.utg6220.15.2.5c22f2e5	648.1	515	https://v10-1.orthodb.org/?query=99987at33208	WD40 repeat
102804at33208	Duplicated	evm.utg1025.24	1284.5	896	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
102804at33208	Duplicated	evm.utg896.25	1284.1	896	https://v10-1.orthodb.org/?query=102804at33208	FACT complex subunit Spt16 domain
103854at33208	Complete	evm.utg2216.35	717.0	639	https://v10-1.orthodb.org/?query=103854at33208	WD40/YVTN repeat-like-containing domain superfamily
107151at33208	Duplicated	evm.utg45540.8	1179.9	696	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107151at33208	Duplicated	evm.utg45540.8.1.5c22f11a	1123.9	653	https://v10-1.orthodb.org/?query=107151at33208	pre-mRNA-processing factor 6
107574at33208	Complete	evm.utg370.74.76.79	597.5	615	https://v10-1.orthodb.org/?query=107574at33208	TRAPP II complex, TRAPPC10
108764at33208	Duplicated	evm.utg1049.5	473.2	470	https://v10-1.orthodb.org/?query=108764at33208	general transcription factor 3C polypeptide 3
108764at33208	Duplicated	evm.utg5950.5	471.4	470	https://v10-1.orthodb.org/?query=108764at33208	general transcription factor 3C polypeptide 3
109109at33208	Duplicated	evm.utg22693.8	1081.2	567	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
109109at33208	Duplicated	evm.utg3041.2	1068.9	591	https://v10-1.orthodb.org/?query=109109at33208	Helicase, C-terminal
111730at33208	Complete	evm.utg163.79	878.8	619	https://v10-1.orthodb.org/?query=111730at33208	WD40-repeat-containing domain
111746at33208	Duplicated	evm.utg389.12	699.5	642	https://v10-1.orthodb.org/?query=111746at33208	WD40 repeat
111746at33208	Duplicated	evm.utg18125.5	645.9	574	https://v10-1.orthodb.org/?query=111746at33208	WD40 repeat
111746at33208	Duplicated	evm.utg389.12.1.5c22f032	636.1	572	https://v10-1.orthodb.org/?query=111746at33208	WD40 repeat
114954at33208	Missing
115878at33208	Duplicated	evm.utg3884.20	537.9	398	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
115878at33208	Duplicated	evm.utg3884.20.1.5c22f02b	508.7	380	https://v10-1.orthodb.org/?query=115878at33208	DNA helicase, DnaB-like, C-terminal
118209at33208	Duplicated	evm.utg1846.89	1597.4	858	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
118209at33208	Duplicated	evm.utg1846.89.1.5c22ec31	1586.8	845	https://v10-1.orthodb.org/?query=118209at33208	Tetratricopeptide repeat
119252at33208	Duplicated	evm.utg214.60	844.4	552	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119252at33208	Duplicated	evm.utg512.26	840.7	550	https://v10-1.orthodb.org/?query=119252at33208	Aminoacyl-tRNA synthetase, class II
119591at33208	Duplicated	evm.utg1337.4	1501.0	984	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
119591at33208	Duplicated	evm.utg4972.25	1386.8	923	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
119591at33208	Duplicated	evm.utg1337.4.1.5c22ea39	1282.4	816	https://v10-1.orthodb.org/?query=119591at33208	WD40 repeat
121127at33208	Complete	evm.utg910.45	609.1	679	https://v10-1.orthodb.org/?query=121127at33208	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
123923at33208	Duplicated	evm.utg498.138	312.4	400	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
123923at33208	Duplicated	evm.utg498.138.1.5c22f1a2	306.3	371	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
123923at33208	Duplicated	evm.utg498.138.2.5c2795b6	293.9	336	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
123923at33208	Duplicated	evm.utg498.138.1.5c2795b6	283.3	317	https://v10-1.orthodb.org/?query=123923at33208	RINT-1/Tip20
124302at33208	Complete	evm.utg2108.49	966.9	792	https://v10-1.orthodb.org/?query=124302at33208	Trafficking protein particle complex subunit 11
127766at33208	Duplicated	evm.utg3906.3	847.1	640	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
127766at33208	Duplicated	evm.utg8820.15	730.0	489	https://v10-1.orthodb.org/?query=127766at33208	Vesicle tethering protein p115, armadillo tether-repeat
129179at33208	Complete	evm.utg372.34	891.7	598	https://v10-1.orthodb.org/?query=129179at33208	Cleavage and polyadenylation specificity factor 2, C-terminal
130245at33208	Complete	evm.utg2129.122	600.2	409	https://v10-1.orthodb.org/?query=130245at33208	MIF4G-like, type 1
130256at33208	Duplicated	evm.utg338.35	702.6	600	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
130256at33208	Duplicated	evm.utg338.35.1.5c22ef49	701.1	593	https://v10-1.orthodb.org/?query=130256at33208	AARP2CN
131349at33208	Duplicated	evm.utg2083.54.2.5c22ece7	1466.3	917	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	evm.utg2083.54	1466.2	917	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131349at33208	Duplicated	evm.utg2083.54.1.5c22ece7	1466.2	917	https://v10-1.orthodb.org/?query=131349at33208	Aminoacyl-tRNA synthetase, class Ia
131848at33208	Complete	evm.utg415.63	721.8	529	https://v10-1.orthodb.org/?query=131848at33208	UPF0505 family
132087at33208	Complete	evm.utg861.116	919.1	779	https://v10-1.orthodb.org/?query=132087at33208	Symplekin/Pta1, N-terminal
134492at33208	Duplicated	evm.utg5390.25	1184.6	854	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
134492at33208	Duplicated	evm.utg3452.1	1149.5	840	https://v10-1.orthodb.org/?query=134492at33208	Transcription initiation factor TFIID subunit 2
135294at33208	Duplicated	evm.utg1846.83	775.9	563	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
135294at33208	Duplicated	evm.utg1846.83.1.5c22ec31	774.7	564	https://v10-1.orthodb.org/?query=135294at33208	Rab-GTPase-TBC domain
137383at33208	Complete	evm.utg104.24	620.1	475	https://v10-1.orthodb.org/?query=137383at33208	Tetratricopeptide repeat
139188at33208	Duplicated	evm.utg3980.2	703.5	572	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
139188at33208	Duplicated	evm.utg17212.9	673.1	543	https://v10-1.orthodb.org/?query=139188at33208	Conserved oligomeric Golgi complex, subunit 4
143619at33208	Complete	evm.utg52.2	385.6	327	https://v10-1.orthodb.org/?query=143619at33208	GPI transamidase component PIG-T
143997at33208	Complete	evm.utg2100.45	544.0	382	https://v10-1.orthodb.org/?query=143997at33208	Tetratricopeptide repeat
146671at33208	Complete	evm.utg7549.16	793.3	686	https://v10-1.orthodb.org/?query=146671at33208	NFACT protein, C-terminal
147873at33208	Duplicated	evm.utg3797.11	956.6	565	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
147873at33208	Duplicated	evm.utg762.45	956.3	565	https://v10-1.orthodb.org/?query=147873at33208	Crooked neck pre-mRNA splicing factor 1
148067at33208	Complete	evm.utg1931.61	779.1	822	https://v10-1.orthodb.org/?query=148067at33208	Nrap protein, domain 3
148325at33208	Missing
152327at33208	Duplicated	evm.utg435.68	512.9	377	https://v10-1.orthodb.org/?query=152327at33208	FAD/NAD(P)-binding domain
152327at33208	Duplicated	evm.utg435.68.1.5c22f0e7	455.6	322	https://v10-1.orthodb.org/?query=152327at33208	FAD/NAD(P)-binding domain
152977at33208	Duplicated	evm.utg3872.79	517.8	388	https://v10-1.orthodb.org/?query=152977at33208	Dymeclin
152977at33208	Duplicated	evm.utg1201.24	516.7	388	https://v10-1.orthodb.org/?query=152977at33208	Dymeclin
153034at33208	Complete	evm.utg377.24	798.2	502	https://v10-1.orthodb.org/?query=153034at33208	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
157109at33208	Duplicated	evm.utg622.65	259.6	218	https://v10-1.orthodb.org/?query=157109at33208	Zinc finger C2H2-type
157109at33208	Duplicated	evm.utg219.73	258.9	218	https://v10-1.orthodb.org/?query=157109at33208	Zinc finger C2H2-type
157138at33208	Duplicated	evm.utg9110.4	370.2	488	https://v10-1.orthodb.org/?query=157138at33208	Neurochondrin
157138at33208	Duplicated	evm.utg6976.9	367.6	488	https://v10-1.orthodb.org/?query=157138at33208	Neurochondrin
158845at33208	Duplicated	evm.utg1629.21	468.4	486	https://v10-1.orthodb.org/?query=158845at33208	exocyst complex component 8
158845at33208	Duplicated	evm.utg1629.21.1.5c22eb7e	458.2	453	https://v10-1.orthodb.org/?query=158845at33208	exocyst complex component 8
158962at33208	Duplicated	evm.utg170.22	833.9	577	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
158962at33208	Duplicated	evm.utg4157.46.47	829.6	574	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
158962at33208	Duplicated	evm.utg4157.46.47.1.5c2794d5	741.2	510	https://v10-1.orthodb.org/?query=158962at33208	DNA mismatch repair protein Mlh1, C-terminal
162821at33208	Complete	evm.utg3834.16	649.3	421	https://v10-1.orthodb.org/?query=162821at33208	Glycosyl hydrolase family 63, C-terminal
164767at33208	Duplicated	evm.utg597.204	913.5	710	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
164767at33208	Duplicated	evm.utg4464.3	882.1	695	https://v10-1.orthodb.org/?query=164767at33208	WD40 repeat
166097at33208	Duplicated	evm.utg11700.8	818.7	491	https://v10-1.orthodb.org/?query=166097at33208	Methylglyoxal synthase-like domain
166097at33208	Duplicated	evm.utg207.52	739.3	493	https://v10-1.orthodb.org/?query=166097at33208	Methylglyoxal synthase-like domain
168850at33208	Duplicated	evm.utg729.146	696.2	488	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168850at33208	Duplicated	evm.utg116.23	668.5	397	https://v10-1.orthodb.org/?query=168850at33208	Sec1-like protein
168924at33208	Duplicated	evm.utg597.144	636.3	576	https://v10-1.orthodb.org/?query=168924at33208	ER membrane protein complex subunit 1, C-terminal
168924at33208	Duplicated	evm.utg597.144.1.5c22f2a9	636.3	576	https://v10-1.orthodb.org/?query=168924at33208	ER membrane protein complex subunit 1, C-terminal
169864at33208	Complete	evm.utg217.27	557.3	601	https://v10-1.orthodb.org/?query=169864at33208	CCAAT-binding factor
172677at33208	Complete	evm.utg1972.75	141.0	179	https://v10-1.orthodb.org/?query=172677at33208	Sphingomyelin phosphodiesterase 4
176247at33208	Duplicated	evm.utg116.323	372.5	322	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
176247at33208	Duplicated	evm.utg116.323.1.5c22e927	349.8	304	https://v10-1.orthodb.org/?query=176247at33208	Tyrosyl-DNA phosphodiesterase I
177718at33208	Complete	evm.utg1278.33	554.7	393	https://v10-1.orthodb.org/?query=177718at33208	WD40 repeat
177858at33208	Missing
178537at33208	Complete	evm.utg1972.30	986.5	465	https://v10-1.orthodb.org/?query=178537at33208	Radical SAM
179485at33208	Complete	evm.utg7821.35	501.5	425	https://v10-1.orthodb.org/?query=179485at33208	WD40 repeat
180808at33208	Complete	evm.utg7217.25	671.7	445	https://v10-1.orthodb.org/?query=180808at33208	FAD/NAD(P)-binding domain
182834at33208	Complete	evm.utg1056.68	528.7	351	https://v10-1.orthodb.org/?query=182834at33208	anaphase-promoting complex subunit 2
184508at33208	Fragmented	evm.utg301.152	304.3	225	https://v10-1.orthodb.org/?query=184508at33208	SERRATE/Ars2 , C-terminal
184717at33208	Complete	evm.utg320.87	951.9	523	https://v10-1.orthodb.org/?query=184717at33208	ATP-binding cassette sub-family E member 1
186208at33208	Complete	evm.utg309.37	1218.8	705	https://v10-1.orthodb.org/?query=186208at33208	RNA cytidine acetyltransferase
186707at33208	Duplicated	evm.utg356.141	492.0	527	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
186707at33208	Duplicated	evm.utg9251.10	452.5	471	https://v10-1.orthodb.org/?query=186707at33208	Exocyst complex component 7
187280at33208	Complete	evm.utg5578.4	747.4	520	https://v10-1.orthodb.org/?query=187280at33208	SCP2 sterol-binding domain
189414at33208	Duplicated	evm.utg55.5	619.4	537	https://v10-1.orthodb.org/?query=189414at33208	MIF4G-like domain superfamily
189414at33208	Duplicated	evm.utg1162.13	585.1	676	https://v10-1.orthodb.org/?query=189414at33208	MIF4G-like domain superfamily
190726at33208	Complete	evm.utg364.25	576.0	393	https://v10-1.orthodb.org/?query=190726at33208	Eukaryotic translation initiation factor 3 subunit D
191938at33208	Duplicated	evm.utg910.174	464.9	447	https://v10-1.orthodb.org/?query=191938at33208	Regulator of MON1-CCZ1
191938at33208	Duplicated	evm.utg910.174.1.5c22f4f4	417.1	447	https://v10-1.orthodb.org/?query=191938at33208	Regulator of MON1-CCZ1
192250at33208	Duplicated	evm.utg109.32	433.1	298	https://v10-1.orthodb.org/?query=192250at33208	pre-mRNA-splicing factor SLU7
192250at33208	Duplicated	evm.utg564.38	425.7	301	https://v10-1.orthodb.org/?query=192250at33208	pre-mRNA-splicing factor SLU7
194754at33208	Duplicated	evm.utg4972.11.3.5c22f18d	1029.7	773	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
194754at33208	Duplicated	evm.utg4972.11.2.5c22f18d	1029.5	773	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
194754at33208	Duplicated	evm.utg4972.11.1.5c22f18d	1027.7	773	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
194754at33208	Duplicated	evm.utg4972.11	1027.6	773	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
194754at33208	Duplicated	evm.utg1337.14	1021.9	769	https://v10-1.orthodb.org/?query=194754at33208	Saccharopine dehydrogenase, C-terminal
195986at33208	Duplicated	evm.utg2521.2	935.5	655	https://v10-1.orthodb.org/?query=195986at33208	cell division cycle 5-like protein
195986at33208	Duplicated	evm.utg2521.2.1.5c22edc5	829.5	572	https://v10-1.orthodb.org/?query=195986at33208	cell division cycle 5-like protein
196950at33208	Complete	evm.utg97204.11	615.5	437	https://v10-1.orthodb.org/?query=196950at33208	RNA recognition motif domain
197549at33208	Duplicated	evm.utg600.2	232.9	461	https://v10-1.orthodb.org/?query=197549at33208	Pentatricopeptide repeat
197549at33208	Duplicated	evm.utg600.2.2.5c22f295	226.9	375	https://v10-1.orthodb.org/?query=197549at33208	Pentatricopeptide repeat
197549at33208	Duplicated	evm.utg600.2.1.5c22f295	205.0	465	https://v10-1.orthodb.org/?query=197549at33208	Pentatricopeptide repeat
197652at33208	Complete	evm.utg3872.12	778.1	443	https://v10-1.orthodb.org/?query=197652at33208	WD40 repeat
200997at33208	Complete	evm.utg693.31	591.6	459	https://v10-1.orthodb.org/?query=200997at33208	Signal recognition particle subunit SRP68
201397at33208	Duplicated	evm.utg607.12	711.1	498	https://v10-1.orthodb.org/?query=201397at33208	WD40 repeat
201397at33208	Duplicated	evm.utg607.12.1.5c22f2ae	710.6	498	https://v10-1.orthodb.org/?query=201397at33208	WD40 repeat
202545at33208	Duplicated	evm.utg3839.1	507.8	370	https://v10-1.orthodb.org/?query=202545at33208	Wntless Wnt ligand secretion mediator
202545at33208	Duplicated	evm.utg3839.88	505.8	371	https://v10-1.orthodb.org/?query=202545at33208	Wntless Wnt ligand secretion mediator
203128at33208	Complete	evm.utg750.12	849.4	438	https://v10-1.orthodb.org/?query=203128at33208	tRNA-splicing ligase, RtcB
203698at33208	Complete	evm.utg207.129	1121.4	820	https://v10-1.orthodb.org/?query=203698at33208	Helicase, C-terminal
205220at33208	Fragmented	evm.utg21625.2	124.2	257	https://v10-1.orthodb.org/?query=205220at33208	Kelch repeat type 1
206786at33208	Duplicated	evm.utg715.34	529.6	369	https://v10-1.orthodb.org/?query=206786at33208	Nmd3, N-terminal
206786at33208	Duplicated	evm.utg715.34.1.5c22f385	513.5	325	https://v10-1.orthodb.org/?query=206786at33208	Nmd3, N-terminal
206858at33208	Duplicated	evm.utg790.17	628.6	509	https://v10-1.orthodb.org/?query=206858at33208	Rhodanese-like domain
206858at33208	Duplicated	evm.utg280.7	624.3	508	https://v10-1.orthodb.org/?query=206858at33208	Rhodanese-like domain
207599at33208	Complete	evm.utg7149.17	491.6	374	https://v10-1.orthodb.org/?query=207599at33208	Mre11, DNA-binding
208219at33208	Complete	evm.utg498.132	458.5	453	https://v10-1.orthodb.org/?query=208219at33208	RNA polymerase I specific transcription initiation factor RRN3
210614at33208	Duplicated	evm.utg1663.51	691.8	672	https://v10-1.orthodb.org/?query=210614at33208	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
210614at33208	Duplicated	evm.utg1663.51.1.5c22eb9f	617.5	628	https://v10-1.orthodb.org/?query=210614at33208	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
212972at33208	Complete	utg432.equina_smart_1063438.mrna1	682.7	625	https://v10-1.orthodb.org/?query=212972at33208	digestive organ expansion factor homolog
214788at33208	Complete	evm.utg1127.54	683.6	531	https://v10-1.orthodb.org/?query=214788at33208	Conserved oligomeric Golgi complex subunit 6
215654at33208	Duplicated	evm.utg3117.4	600.9	433	https://v10-1.orthodb.org/?query=215654at33208	splicing factor 3A subunit 3
215654at33208	Duplicated	evm.utg798.78	600.7	433	https://v10-1.orthodb.org/?query=215654at33208	splicing factor 3A subunit 3
216257at33208	Complete	evm.utg109.17	386.6	335	https://v10-1.orthodb.org/?query=216257at33208	Helicase, C-terminal
216563at33208	Duplicated	evm.utg599.24	284.3	282	https://v10-1.orthodb.org/?query=216563at33208	Cytochrome b5-like heme/steroid binding domain
216563at33208	Duplicated	evm.utg560.10	271.4	283	https://v10-1.orthodb.org/?query=216563at33208	Cytochrome b5-like heme/steroid binding domain
218441at33208	Duplicated	utg12986.equina_smart_188718.mrna2	262.8	248	https://v10-1.orthodb.org/?query=218441at33208	Protein kintoun
218441at33208	Duplicated	evm.utg1972.120	225.9	213	https://v10-1.orthodb.org/?query=218441at33208	Protein kintoun
219795at33208	Complete	evm.utg1290.34	568.2	534	https://v10-1.orthodb.org/?query=219795at33208	CCR4-NOT transcription complex subunit 10
219856at33208	Duplicated	evm.utg237.8	671.7	394	https://v10-1.orthodb.org/?query=219856at33208	Ubiquitin specific peptidase 39
219856at33208	Duplicated	evm.utg6035.19	651.1	394	https://v10-1.orthodb.org/?query=219856at33208	Ubiquitin specific peptidase 39
219856at33208	Duplicated	evm.utg594.39	617.5	364	https://v10-1.orthodb.org/?query=219856at33208	Ubiquitin specific peptidase 39
222489at33208	Complete	evm.utg4155.23	248.3	461	https://v10-1.orthodb.org/?query=222489at33208	WD40 repeat
223234at33208	Duplicated	evm.utg20736.11	335.9	358	https://v10-1.orthodb.org/?query=223234at33208	Protoporphyrinogen oxidase
223234at33208	Duplicated	evm.utg10628.4	319.0	358	https://v10-1.orthodb.org/?query=223234at33208	Protoporphyrinogen oxidase
224280at33208	Complete	evm.utg1432.2	811.9	439	https://v10-1.orthodb.org/?query=224280at33208	Signal recognition particle, SRP54 subunit, GTPase domain
226335at33208	Complete	evm.utg370.6	606.7	363	https://v10-1.orthodb.org/?query=226335at33208	Homogentisate 1,2-dioxygenase
226941at33208	Complete	evm.utg2614.14	599.6	396	https://v10-1.orthodb.org/?query=226941at33208	acetyl-coenzyme A transporter 1
227087at33208	Complete	evm.utg2994.51	962.2	748	https://v10-1.orthodb.org/?query=227087at33208	Clathrin, heavy chain/VPS, 7-fold repeat
227453at33208	Duplicated	evm.utg8609.14	535.3	430	https://v10-1.orthodb.org/?query=227453at33208	negative elongation factor B
227453at33208	Duplicated	evm.utg1571.17.1.5c22eb3e	534.6	430	https://v10-1.orthodb.org/?query=227453at33208	negative elongation factor B
227453at33208	Duplicated	evm.utg1571.17	534.2	430	https://v10-1.orthodb.org/?query=227453at33208	negative elongation factor B
227979at33208	Duplicated	evm.utg1025.18	928.4	592	https://v10-1.orthodb.org/?query=227979at33208	protein VAC14 homolog
227979at33208	Duplicated	evm.utg896.29	862.2	566	https://v10-1.orthodb.org/?query=227979at33208	protein VAC14 homolog
231157at33208	Complete	evm.utg1931.76	567.7	430	https://v10-1.orthodb.org/?query=231157at33208	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
231700at33208	Duplicated	evm.utg2801.41	515.2	733	https://v10-1.orthodb.org/?query=231700at33208	siRNA-mediated silencing protein NRDE-2
231700at33208	Duplicated	evm.utg8494.49	499.5	756	https://v10-1.orthodb.org/?query=231700at33208	siRNA-mediated silencing protein NRDE-2
234290at33208	Complete	evm.utg868.41	725.7	472	https://v10-1.orthodb.org/?query=234290at33208	Leucine-rich repeat
235149at33208	Complete	evm.utg15506.10	416.8	467	https://v10-1.orthodb.org/?query=235149at33208	Signal recognition particle subunit SRP72
235430at33208	Duplicated	evm.utg637.5	478.4	364	https://v10-1.orthodb.org/?query=235430at33208	U3 small nucleolar RNA-associated protein 15, C-terminal
235430at33208	Duplicated	evm.utg18553.20	466.2	355	https://v10-1.orthodb.org/?query=235430at33208	U3 small nucleolar RNA-associated protein 15, C-terminal
235458at33208	Complete	evm.utg194.106	352.4	282	https://v10-1.orthodb.org/?query=235458at33208	tRNA (uracil-O(2)-)-methyltransferase
239016at33208	Complete	evm.utg7289.38	448.5	405	https://v10-1.orthodb.org/?query=239016at33208	CDC45 family
239149at33208	Missing
239597at33208	Duplicated	evm.utg418.54	558.8	525	https://v10-1.orthodb.org/?query=239597at33208	translation initiation factor eIF-2B subunit epsilon
239597at33208	Duplicated	evm.utg2099.29	558.4	522	https://v10-1.orthodb.org/?query=239597at33208	translation initiation factor eIF-2B subunit epsilon
240437at33208	Complete	evm.utg172.13	445.8	256	https://v10-1.orthodb.org/?query=240437at33208	rRNA adenine N(6)-methyltransferase
244863at33208	Complete	evm.utg5454.4	579.8	586	https://v10-1.orthodb.org/?query=244863at33208	E3 UFM1-protein ligase 1
